Index,Type,ID,blend,wave,e_wave,F(0),E(0),F(I),E(I),F(II),E(II),F(III),E(III),F(IV),E(IV),F(MYSO),E(MYSO),wl_obs,Notes,H2_index
7,"Fe, Ni",[Fe III] 4607.12+,True,4606.288035594971,0.117208178930649,0.03040255814062678,0.0028507427795968353,0.049103359896675934,0.012934423858154638,,,0.007849689979812181,0.00509840638944057,,,0.07150345084569389,0.007478929897765029,,,
35,High Perm,O II 4641.81+,True,4639.437584588859,0.5244482484024906,,,,,,,0.018774929549197978,0.010915824534522047,0.06251601505338926,0.026229131673482987,,,,,
42,High Perm,O II 4649.13+,True,4649.788163887461,0.0998230183418855,,,,,,,0.10282161534003083,0.013410023819774365,0.15919061001121354,0.01271270974640425,,,,,
49,"Fe, Ni",[Fe III] 4658.10,False,4658.225504950848,0.0474076910353041,0.10812994415146161,0.013793673287631985,0.13680120005961816,0.07828028384489995,0.16208385196602046,0.006147216940653659,0.07393521839430742,0.013832337306443548,,,0.7910488877924691,0.09361610087875472,,,
71,High Neb,He II  4685.68,False,4685.422797235856,0.0557181665136209,,,,,,,,,0.23352604603514776,0.010409314494603092,,,,,
83,"Fe, Ni",[Fe III] 4701.62,False,4701.557106781689,0.0700155079054178,0.03420828483753078,0.024288942840880873,,,0.06308373131191061,0.019141795028381727,0.037854479260823054,0.011379415159505803,,,0.2604408654876808,0.014587919581157271,,,
91,High Neb,[Ar IV] 4711.37+,True,4711.662440996016,0.1195039954837116,,,,,,,0.45544328638263676,0.21410403817918744,1.6290525695208427,0.15574263272859817,,,,,
110,"Fe, Ni",[Fe III] 4734.00,False,4733.308167706148,0.5954326248834941,,,,,,,,,,,0.06737699736825649,0.03209476991979939,,,
114,High Neb,[Ar IV] 4740.17,False,4740.073806274292,0.0628480202443614,,,,,,,0.2770318945703018,0.024586348969604304,1.4669336146030074,0.07375509880616325,,,,,
126,"Fe, Ni",[Fe III] 4754.81,False,4755.091582137107,0.0840180183812499,0.03535631371929947,0.01500473302957019,0.059015176292598004,0.04781211516994128,0.053868405448298184,0.005854449096032003,0.006965990970967476,0.003500970702007377,,,0.17819064142157998,0.011976979669060016,,,
138,"Fe, Ni",[Fe III] 4769.53,False,4769.249605156487,0.1972485234615103,,,,,,,0.01624786733003179,0.005514399392916842,,,0.09282815785643414,0.014648173658266908,,,
174,"Fe, Ni",[Fe II] 4814.534,False,4814.23893099208,0.0676317415310872,0.01474067828541757,0.007525125026170795,,,0.04859774979893869,0.009412844817461446,,,,,0.35147256039694935,0.019016561088028735,,,
211,Med Neb,H I 4861.32,False,4861.149338482432,0.039455153649914,100.0,3.7196712170526096,100.0,3.1564122919931217,100.0,3.6237875319031736,100.0,3.767709468374071,100.0,3.637909613196005,100.0,4.097074872992631,,,
227,"Fe, Ni",[Fe III] 4881.073,False,4880.757686024043,0.051213443232538,0.05138677572049304,0.004989568460526146,0.05942198242246094,0.02080245776948785,0.08633673323631547,0.012048829319694733,0.017769558008546717,0.006552524515651592,,,0.433399018548865,0.017756684826791998,,,
260,Med Neb,He I 4921.93,False,4921.849916629984,0.0438070804524832,0.8956527159863588,0.033094209580705594,0.828088479821083,0.038603975864747765,0.9724349525918107,0.03407962896239692,1.1612920444335546,0.057817627524107636,1.0239940881442644,0.03943278418582407,0.4129468762867902,0.07993680553674223,,,
268,"Fe, Ni",[Fe III] 4930.64,False,4928.316735730454,0.159109024305228,0.052395231392094906,0.019324658132362258,0.2974524672796989,0.25392985035470883,0.04007636974884865,0.007125856320569845,0.05478488145634833,0.006973415228157728,,,0.05546903657710319,0.027424802952445253,,,
289,Med Neb,[O III] 4958.91,False,4958.723650478452,0.0375591767296628,119.36600325987682,3.58663104956098,180.32216353980448,5.906109368085811,107.72963937603014,3.421437224170415,144.0444591100662,5.347708686960668,180.11506077376657,6.665007604348967,44.928249935163514,1.3524596561410118,,,
