,Index,H2_line,Vhi,Jhi,Vlo,Jlo,wl_mic,wl_lab,I_Inorm,Excit_hi_K,g_u_h_nu_Aul,F(0),E(0),F(MYSO),E(MYSO)
54,2942,3-0 S(0),3.0,2.0,0.0,0.0,0.8272653,8272.65A,7.753e-05,17387.183,2.591e-19,0.1660508567953188,0.0047254957393106,0.0328768301027997,0.0163927662562051
67,3142,3-0 Q(2),3.0,2.0,0.0,2.0,0.8522571,8522.57A,6.514e-05,17387.183,2.177e-19,0.1093014690887702,0.004602094519262,0.0445410550363738,0.003112643681301
47,2692,3-0 S(3),3.0,5.0,0.0,3.0,0.7959753,7959.75A,0.0001731,19085.761,5.361e-18,0.1929134731729453,0.0589209827170974,0.0980503830953639,0.0129226327835608
73,3263,3-0 Q(5),3.0,5.0,0.0,5.0,0.8674348,8674.35A,4.185e-05,19085.761,1.296e-18,0.0486857421690107,0.0224889610050183,0.0297292568625178,0.0148508885372092
76,3355,4-1 S(0),4.0,2.0,1.0,0.0,0.8789121,8789.12A,0.0001395,22352.468,8.401e-19,0.1933394644490904,0.0089643997792402,0.0613244324136871,0.003417994119092
84,3570,4-1 Q(2),4.0,2.0,1.0,2.0,0.9057204,9057.20A,0.0001223,22352.468,7.367e-19,0.2007742468681283,0.0066083434641074,,
10,1616,4-0 Q(3),4.0,3.0,0.0,3.0,0.6615094,6615.09A,7.425e-06,22758.987,1.507e-19,0.008415229129743,0.0028548038321124,0.0054845946303621,0.000450812443435
72,3252,4-1 S(1),4.0,3.0,1.0,1.0,0.865972,8659.72A,0.000291,22758.987,5.904e-18,0.3801804613238291,0.0271889583360665,0.0422477199586988,0.0118138497339202
86,3603,4-1 Q(3),4.0,3.0,1.0,3.0,0.9099254,9099.25A,0.0001424,22758.987,2.89e-18,0.2074032274898112,0.0173414553771161,0.1952397846650795,0.1435273933873841
68,3164,4-1 S(2),4.0,4.0,1.0,2.0,0.8549876,8549.88A,0.0002369,23294.809,3.504e-18,0.2110160631316082,0.0149213852875548,0.037104383759637,0.0028087494464624
89,3649,4-1 Q(4),4.0,4.0,1.0,4.0,0.9155564,9155.56A,8.157e-05,23294.809,1.206e-18,0.0655454956973454,0.0125374022225957,,
34,2263,4-0 O(7),4.0,5.0,0.0,7.0,0.7426272,7426.27A,1.357e-06,23954.871,7.127e-20,0.0173961675533385,0.0019740325156167,0.0703345572298815,0.0120758979166286
64,3091,4-1 S(3),4.0,5.0,1.0,3.0,0.8459289,8459.29A,0.0003106,23954.871,1.632e-17,0.4689732975756843,0.0651992682222142,0.2077886995539792,0.0248972312204087
3,1300,4-0 S(5),4.0,7.0,0.0,5.0,0.6221627,6221.63A,2.736e-05,25622.762,3.523e-18,0.0374989164697699,0.0023647818414807,0.0233321374043188,0.0025934521852355
61,2991,4-1 S(5),4.0,7.0,1.0,5.0,0.8334662,8334.66A,0.0002372,25622.762,3.054e-17,0.5172646773859385,0.0623336261648402,0.3554785116351278,0.0282107869882164
16,1744,5-1 S(1),5.0,3.0,1.0,1.0,0.677675,6776.75A,5.883e-05,27374.175,1.848e-18,0.0554025458886653,0.0059568834012263,0.0250828305607614,0.0024502658218301
22,1958,5-1 Q(3),5.0,3.0,1.0,3.0,0.7042984,7042.98A,2.067e-05,27374.175,6.493e-19,0.0363999299910411,0.0018041584672063,0.0201176031901222,0.0032928230685152
13,1640,5-1 S(4),5.0,6.0,1.0,4.0,0.6645578,6645.58A,4.027e-05,29228.502,3.032e-18,0.0357542118086038,0.0022356222266938,0.0203635258656431,0.0007828919168513
80,3481,5-2 S(4),5.0,6.0,2.0,4.0,0.8946146,8946.15A,0.0001896,29228.502,1.427e-17,0.1527940609323557,0.0280270011015132,0.0686446598114324,0.01952363664598
11,1626,5-1 S(5),5.0,7.0,1.0,5.0,0.6629043,6629.04A,6.059e-05,30063.086,1.272e-17,0.0630947574128125,0.0162293162675963,0.1175087958567515,0.0570060259213456
79,3439,5-2 S(5),5.0,7.0,2.0,5.0,0.8893806,8893.81A,0.0002646,30063.086,5.554e-17,0.2032870075800964,0.0400399204247235,0.1094987014453587,0.0122705192009522
58,2967,4-1 S(9),4.0,11.0,1.0,9.0,0.8304069,8304.07A,0.0001604,30138.666,5.613e-17,0.1686361224840495,0.0402201437557666,0.0526196129767591,0.0138945585748904
59,2969,4-1 S(9),4.0,11.0,1.0,9.0,0.8304069,8304.07A,0.0001604,30138.666,5.613e-17,0.1290716566490921,0.0101691768965205,0.1588440735078876,0.0615077060752867
32,2114,6-2 S(1),6.0,3.0,2.0,1.0,0.7238214,7238.21A,8.941e-05,31661.077,4.329e-18,0.06613220865165,0.0165014599626523,0.0195439122125858,0.016033488780067
37,2345,6-2 Q(3),6.0,3.0,2.0,3.0,0.7526433,7526.43A,3.441e-05,31661.077,1.666e-18,0.0672171835671596,0.0002228587934899,0.0307499182024959,0.0008228061203241
12,1632,5-1 S(7),5.0,9.0,1.0,7.0,0.6636694,6636.69A,4.82e-05,32014.382,2.08e-17,0.0596435567298588,0.007284917732502,0.1579339668571249,0.0627605935852155
77,3405,5-2 S(7),5.0,9.0,2.0,7.0,0.8850658,8850.66A,0.0001837,32014.382,7.926e-17,0.2293706715467665,0.0157214810902303,0.089079118122141,0.0097657258250787
15,1682,5-1 S(9),5.0,11.0,1.0,9.0,0.6699112,6699.11A,5.069e-05,34288.459,2.823e-17,0.0277203370731206,0.0021104958719137,0.0115635309904413,0.0022828322812969
78,3435,5-2 S(9),5.0,11.0,2.0,9.0,0.8888854,8888.85A,0.0001695,34288.459,9.436e-17,0.089201121523841,0.0112737435482627,0.0217792816460757,0.0031404322006141
2,1190,7-2 S(0),7.0,2.0,2.0,0.0,0.6083077,6083.08A,1.069e-05,35280.972,1.974e-19,0.0085713905460039,0.0041248698641353,0.0137537742159506,0.000963164755128
44,2602,7-3 S(0),7.0,2.0,3.0,0.0,0.7847681,7847.68A,5.749e-05,35280.972,1.061e-18,0.157061148056847,0.051995405685117,0.0389680412558109,0.0116353133548676
49,2754,7-3 Q(2),7.0,2.0,3.0,2.0,0.8038439,8038.44A,4.539e-05,35280.972,8.377e-19,0.0654773322188439,0.0076456495363124,0.0182725628330969,0.0074279373445611
1,1153,7-2 S(1),7.0,3.0,2.0,1.0,0.603746,6037.46A,2.367e-05,35613.272,1.657e-18,0.035878717192095,0.0034063328943525,0.0223621855852961,0.0048016711325638
41,2538,7-3 S(1),7.0,3.0,3.0,1.0,0.7768489,7768.49A,0.000112,35613.272,7.842e-18,0.113538649102526,0.0079523686369307,0.0232614141612215,0.0078913047122829
