 3998.78  8.9E-05  | S II  3998.76, 
 4004.94  3.2E-05  | N IV  4004.88, Fe I  4004.83, Al I  4004.90, Ca XIX  4005.00, 
 4009.26  1.9E-03  | He I  4009.26, 
 4015.93  4.1E-05  | [Co IV]  4015.86, 
 4018.47  1.2E-05  | Fe II]  4018.49, 
 4023.99  2.1E-04  | He I  4023.98, 
 4026.21  2.1E-02  | C III  4026.20, 
 4027.21  3.4E-04  | Fe I  4027.10, 
 4028.22  5.5E-05  | S V  4028.20, 
 4032.78  9.8E-05  | S II  4032.77, Ne II  4032.81, 
 4035.17  7.1E-05  | N II  4035.08, 
 4041.30  1.2E-04  | O II  4041.28, 
 4043.46  4.0E-05  | N II  4043.53, 
 4058.29  4.2E-05  | N II  4058.16, 
 4065.23  5.5E-05  | Fe III  4065.25, [Fe IV]  4065.28, 
 4067.33  3.6E-05  | [Fe III]  4067.30, 
 4068.67  1.8E-02  | [S II]  4068.60, 
 4069.63  2.0E-04  | O II  4069.62, 
 4069.89  2.0E-04  | O II  4069.88, 
 4072.15  3.3E-04  | O II  4072.15, 
 4074.51  1.0E-04  | C II  4074.48, 
 4075.89  4.4E-04  | O II  4075.86, 
 4076.37  7.6E-03  | [S II]  4076.35, 
 4078.81  5.6E-05  | O II  4078.84, 
 4079.64  2.5E-05  | [Fe III]  4079.70, 
 4082.32  5.3E-05  | N II  4082.27, 
 4083.87  4.8E-05  | [Fe II]  4083.78, O II  4083.90, 
 4084.67  4.7E-05  | [Co IV]  4084.59, 
 4085.10  7.6E-05  | O II  4085.11, 
 4087.15  4.5E-05  | O II  4087.15, 
 4089.29  1.1E-04  | O II  4089.29, 
 4092.92  3.2E-05  | O II  4092.93, 
 4093.92  4.9E-05  | N III  4093.68, Na I  4093.88, 
 4095.65  4.2E-05  | O II  4095.64, 
 4096.51  2.8E-05  | [Fe III]  4096.61, 
 4097.26  1.2E-04  | O II  4097.22, O II  4097.26, 
 4101.74  2.5E-01  | H I  4101.73, 
 4104.75  1.6E-04  | O II  4104.72, 
 4105.00  4.6E-05  | O II  4104.99, 
 4108.45  5.5E-05  | Fe II]  4108.45, 
 4110.77  7.5E-05  | O II  4110.79, N II  4110.83, 
 4113.03  8.2E-05  | Mn II  4113.02, 
 4119.21  2.2E-04  | O II  4119.22, 
 4120.31  6.8E-05  | O II  4120.28, 
 4120.83  2.1E-03  | He I  4120.81, 
 4121.43  1.7E-04  | N II  4121.46, 
 4123.66  1.9E-05  | N II  4123.68, 
 4128.57  1.6E-04  | C III  4128.55, C III  4128.56, 
 4131.76  3.7E-04  | [Fe II]  4131.50, 
 4132.79  8.3E-05  | N III  4132.80, O II  4132.80, 
 4140.00  2.8E-05  | O I  4139.92, O I  4139.92, 
 4143.76  3.1E-03  | He I  4143.76, 
 4146.05  5.9E-05  | Ne II  4146.06, 
 4153.29  1.8E-04  | O II  4153.30, 
 4156.33  1.6E-04  | N II  4156.36, 
 4161.14  2.2E-05  | N II  4161.15, 
 4167.28  3.8E-05  | Al II  4167.24, Mg I  4167.27, 
 4169.00  4.6E-04  | He I  4168.97, 
 4176.14  6.4E-05  | N II  4176.16, 
 4185.43  8.1E-05  | O II  4185.44, 
 4187.37  3.4E-05  | Fe III  4187.37, Al II  4187.41, N II  4187.43, 
 4188.38  1.2E-05  | O I  4188.30, O I  4188.30, 
 4189.78  1.2E-04  | O II  4189.79, 
 4192.17  2.4E-05  | [Cr III]  4192.12, 
 4196.81  5.6E-05  | N II  4196.72, 
 4208.04  6.1E-05  | [Fe IV]  4208.08, 
 4211.32  8.1E-05  | O I  4211.30, 
 4219.75  1.5E-05  | Ne II  4219.74, 
 4236.93  3.0E-05  | C III  4236.91, C III  4236.91, N II  4236.93, 
 4241.81  6.9E-05  | N II  4241.79, 
 4246.86  3.1E-05  | Ti III  4246.85, 
 4253.92  7.3E-05  | O II  4253.89, O II  4253.91, 
 4256.13  4.3E-05  | Cr II  4256.11, Fe I  4256.11, 
 4259.51  4.6E-05  | Cr II  4259.46, N II  4259.68, Ne I  4259.74, 
 4267.16  5.7E-03  | C II  4267.18, 
 4271.88  5.8E-05  | Ca III  4271.89, 
 4275.54  6.5E-05  | O II  4275.55, 
 4276.82  7.8E-05  | [Fe II]  4276.83, 
 4277.48  3.3E-05  | O II  4277.43, O II  4277.43, 
 4280.55  2.5E-05  | Ne II  4280.58, 
 4281.25  1.9E-05  | Ne II  4281.25, 
 4282.96  2.6E-05  | O II  4282.96, 
 4285.70  3.0E-05  | O II  4285.68, 
 4287.23  5.5E-05  | [Fe II]  4287.22, 
 4287.55  8.3E-05  | [Fe II]  4287.39, [Co II]  4287.50, 
 4292.41  8.9E-05  | Ni I  4292.35, 
 4294.78  5.9E-05  | O II  4294.78, 
 4300.45  3.4E-05  | Ne II  4300.39, Ar II  4300.45, 
 4303.13  1.0E-05  | O II  4303.07, 
 4303.82  6.6E-05  | O II  4303.82, 
 4306.07  6.9E-05  | [Fe II]  4305.89, O II  4305.97, 
 4307.27  1.2E-04  | O II  4307.23, 
 4317.12  1.6E-04  | O II  4317.14, 
 4318.58  8.6E-05  | Mn II  4318.53, C II  4318.61, 
 4319.62  8.3E-05  | O II  4319.63, 
 4321.60  8.0E-05  | C II  4321.66, 
 4323.33  9.3E-05  | Ne II  4323.31, 
 4325.87  1.7E-04  | Fe I  4325.76, C II  4325.83, 
 4329.88  7.0E-05  | N II  4329.86, 
 4335.87  9.2E-05  | S I  4335.80, 
 4336.83  3.7E-05  | O II  4336.86, 
 4340.47  4.5E-01  | H I  4340.46, 
 4345.55  1.9E-04  | O II  4345.56, 
 4347.99  5.1E-05  | Ne II  4348.06, 
 4349.41  3.3E-04  | O II  4349.43, 
 4351.27  8.0E-05  | O II  4351.26, 
 4359.38  9.0E-05  | [Fe II]  4359.33, 
 4363.19  9.3E-03  | [O III]  4363.21, 
 4366.88  1.4E-04  | O II  4366.89, 
 4368.26  9.6E-04  | O I  4368.24, 
 4376.58  1.5E-05  | C II  4376.58, 
 4387.93  5.5E-03  | He I  4387.93, 
 4390.55  5.9E-05  | C III  4390.50, Mg II  4390.57, 
 4391.96  2.2E-05  | Ne II  4391.99, Ne II  4391.99, 
 4393.48  4.5E-05  | O II  4393.44, 
 4396.59  1.6E-05  | O I  4396.56, 
 4411.17  1.6E-05  | C II  4411.15, 
 4413.61  2.7E-05  | [Fe II]  4413.78, 
 4413.94  2.1E-05  | [Fe II]  4413.78, 
 4414.89  3.0E-04  | O II  4414.90, 
 4416.09  1.6E-05  | [Fe II]  4416.27, 
 4416.51  2.6E-05  | Si III  4416.50, 
 4416.97  2.0E-04  | O II  4416.97, 
 4418.95  3.2E-05  | Fe II  4418.96, 
 4432.69  3.6E-05  | N II  4432.73, 
 4433.77  2.8E-05  | Ne I  4433.72, 
 4437.55  7.9E-04  | He I  4437.55, 
 4447.06  3.8E-05  | N II  4447.03, 
 4448.25  8.9E-06  | O II  4448.19, O II  4448.37, 
 4448.83  1.0E-05  | O II  4448.85, 
 4452.26  8.8E-05  | [Fe II]  4452.10, 
 4453.48  5.6E-05  | Ar II  4453.45, 
 4454.11  1.7E-05  | Ni II  4454.09, 
 4457.09  1.3E-04  | Ne II  4457.05, 
 4457.73  2.8E-05  | [Fe II]  4457.94, 
 4459.90  2.4E-05  | N II  4459.94, [Fe III]  4460.05, 
 4465.40  5.9E-05  | O II  4465.41, 
 4466.39  2.9E-05  | O II  4466.44, 
 4467.92  4.1E-05  | O II  4467.92, 
 4469.37  2.2E-05  | O II  4469.38, 
 4471.50  4.5E-02  | He I  4471.47, He I  4471.47, He I  4471.47, He I  4471.49, He I  4471.49, 
 4474.69  2.6E-05  | [Fe II]  4474.90, 
 4477.74  6.0E-05  | N II  4477.68, 
 4481.21  1.9E-04  | Mg II  4481.13, Mg II  4481.15, 
 4483.49  2.0E-05  | Ca I  4483.40, Ni II  4483.48, 
 4485.23  2.1E-05  | [Ni II]  4485.21, 
 4487.74  9.2E-06  | O II  4487.71, 
 4488.19  2.4E-05  | O II  4488.18, O II  4488.20, 
 4489.47  7.4E-06  | O II  4489.46, 
 4491.28  1.3E-04  | O II  4491.22, 
 4503.29  1.5E-05  | O III  4503.21, N III  4503.47, 
 4507.55  5.1E-05  | N II  4507.45, 
 4530.40  4.2E-05  | N II  4530.41, 
 4545.22  2.4E-05  | Fe II  4545.15, 
 4552.50  2.6E-05  | N II  4552.52, 
 4562.64  4.1E-04  | Ne I  4562.46, Ar II  4562.50, Ti I]  4562.62, Ne II  4562.87, 
 4571.16  4.3E-03  | Mg I]  4571.10, 
 4590.96  1.4E-04  | O II  4590.97, 
 4596.17  9.4E-05  | O II  4596.18, 
 4601.47  2.6E-04  | N II  4601.47, N II  4601.48, 
 4602.12  2.2E-05  | O II  4602.13, 
 4607.14  2.6E-04  | [Fe III]  4607.03, 
 4609.44  6.0E-05  | O II  4609.44, 
 4611.74  6.1E-05  | Ni II  4611.68, 
 4613.86  1.8E-04  | Ne II  4613.87, N II  4613.87, 
 4620.35  1.1E-04  | C II  4620.19, Fe II  4620.52, 
 4621.38  2.6E-04  | N II  4621.39, 
 4627.94  1.3E-05  | Ne II  4627.92, Ne II  4627.95, 
 4630.53  8.0E-04  | N II  4630.54, 
 4634.08  2.6E-05  | N III  4634.12, 
 4637.46  5.6E-05  | Ni II  4637.46, 
 4638.82  3.0E-04  | O II  4638.86, 
 4640.60  5.1E-05  | N III  4640.64, 
 4641.80  4.3E-04  | O II  4641.81, 
 4643.08  3.4E-04  | N II  4643.09, 
 4649.13  6.7E-04  | O II  4649.13, 
 4650.83  2.2E-04  | O II  4650.84, 
 4651.56  5.5E-06  | O II  4651.33, C III  4651.47, Fe III  4651.64, 
 4654.48  3.1E-05  | Ne II  4654.16, Si IV  4654.31, O I  4654.56, O I  4654.56, O I  4654.56, 
 4658.17  2.7E-04  | [Fe III]  4658.05, 
 4661.62  2.3E-04  | O II  4661.63, 
 4667.25  2.8E-05  | [Fe III]  4667.01, C III  4667.21, 
 4669.23  7.6E-05  | O II  4669.26, 
 4673.73  4.1E-05  | O II  4673.73, 
 4674.90  2.1E-05  | [Cr II]  4674.78, Ca I  4674.87, 
 4676.23  1.6E-04  | O II  4676.24, 
 4678.14  1.4E-05  | N II  4678.14, 
 4681.88  2.1E-05  | Ar I  4681.85, 
 4696.33  2.6E-05  | O II  4696.35, 
 4699.13  1.3E-04  | Ar I  4699.09, 
 4703.15  2.1E-05  | O II  4703.16, Cl III  4703.15, 
 4705.34  1.8E-04  | O II  4705.35, 
 4710.01  6.7E-05  | Ne I  4710.07, 
 4711.35  3.0E-05  | [Ar IV]  4711.37, 
 4713.17  6.1E-03  | He I  4713.14, 
 4716.33  3.7E-05  | [Fe III]  4716.33, 
 4726.96  2.7E-05  | Si I  4726.83, Ca I  4726.90, 
 4733.96  4.8E-05  | [Fe III]  4733.91, 
 4740.20  3.6E-05  | [Ar IV]  4740.16, 
 4752.89  1.7E-04  | O II  4752.96, Ar I  4752.94, 
 4754.74  4.7E-05  | [Fe III]  4754.69, 
 4756.45  2.4E-04  | Ca I  4756.47, 
 4757.23  9.7E-06  | Ar II  4757.22, 
 4769.65  6.2E-05  | [Fe III]  4769.43, 
 4772.11  2.5E-05  | [Fe II]  4772.06, 
 4774.26  2.2E-05  | N II  4774.24, 
 4777.79  3.2E-05  | [Fe III]  4777.68, O II  4777.77, 
 4779.71  1.8E-04  | N II  4779.72, 
 4781.31  1.3E-05  | O I  4781.00, Fe II  4781.10, N II  4781.19, N I  4781.40, 
 4788.13  2.0E-04  | N II  4788.14, 
 4789.59  2.7E-04  | N II  4789.57, Ne I  4789.59, 
 4792.04  1.7E-05  | O II  4792.08, 
 4802.45  1.8E-04  | [Co II]  4802.36, 
 4803.28  2.6E-04  | N II  4803.29, 
 4810.21  4.0E-05  | [Cr II]  4810.07, Ne I  4810.13, Ne II  4810.21, 
 4814.69  8.0E-05  | [Fe II]  4814.53, 
 4815.48  1.7E-04  | Ne II  4815.46, 
 4861.33  1.0E+00  | H I  4861.32, 
 4869.38  5.1E-05  | N II  4869.27, 
 4881.14  1.5E-04  | Ne II  4881.05, [Mn III]  4881.09, 
 4890.91  1.4E-04  | N II  4890.77, O II  4890.86, 
 4906.81  4.2E-05  | O II  4906.83, 
 4921.93  1.2E-02  | He I  4921.93, 
 4924.52  8.9E-05  | O II  4924.53, 
 4931.23  2.9E-04  | [O III]  4931.23, 
 4953.01  3.7E-05  | O II  4952.94, O II  4952.95, 
 4958.91  7.3E-01  | [O III]  4958.91, 
 4964.75  2.1E-04  | C II  4964.74, 
 4987.36  1.7E-04  | Fe II  4987.28, C II  4987.30, 
 5006.84  2.2E+00  | [O III]  5006.84, 
 5015.68  2.4E-02  | He I  5015.68, 
 5031.96  4.3E-04  | Fe II  5031.90, 
 5035.81  5.6E-04  | O I  5035.79, 
 5041.02  7.2E-04  | Si II  5041.02, 
 5045.10  2.9E-04  | O II  5045.12, 
 5047.74  1.9E-03  | He I  5047.74, 
 5056.07  1.2E-03  | Ar I  5056.02, 
 5080.62  1.4E-05  | Ni I  5080.53, 
 5099.39  8.6E-06  | Ne II  5099.35, 
 5121.85  2.7E-04  | C II  5121.83, 
 5125.23  5.8E-05  | C II  5125.21, 
 5126.96  3.0E-05  | C II  5126.96, 
 5131.71  1.6E-04  | Fe I  5131.65, 
 5133.11  4.4E-05  | Fe II  5133.04, 
 5143.42  9.4E-05  | [Fe III]  5143.29, 
 5145.17  4.0E-05  | Ne I  5145.13, 
 5146.69  2.8E-04  | O I  5146.70, 
 5151.12  4.6E-05  | C II  5151.09, 
 5158.86  1.0E-04  | [Fe II]  5158.78, 
 5167.18  4.9E-05  | O I  5167.30, 
 5172.79  4.9E-05  | [Fe III]  5172.64, 
 5173.56  4.5E-05  | [Co II]  5173.55, Ar II  5173.61, 
 5175.86  1.8E-05  | C III  5175.90, 
 5179.52  3.3E-05  | N II  5179.52, 
 5183.81  4.9E-05  | Mg I  5183.70, 
 5191.70  3.9E-04  | [Ar III]  5191.82, 
 5198.01  2.0E-03  | [N I]  5197.90, 
 5200.33  1.2E-03  | [N I]  5200.26, 
 5217.99  1.0E-05  | Fe I  5217.92, 
 5259.00  3.1E-05  | O I  5259.01, 
 5259.66  3.2E-05  | C II  5259.66, 
 5261.73  6.2E-05  | [Fe II]  5261.62, 
 5270.56  1.5E-04  | O II  5270.56, 
 5273.35  1.8E-05  | [Fe II]  5273.35, 
 5275.16  1.9E-04  | O I  5275.12, 
 5284.92  1.9E-05  | Ne II  5284.88, 
 5299.06  3.7E-04  | O I  5299.04, 
 5330.52  2.3E-05  | Ne I  5330.67, 
 5332.77  5.6E-05  | C II  5332.89, 
 5334.65  6.3E-05  | C II  5334.79, 
 5342.39  2.8E-04  | Ar II  5342.35, C II  5342.43, 
 5345.94  3.5E-05  | Fe II  5345.95, 
 5368.21  5.7E-05  | C II  5368.08, Ni II  5368.15, 
 5374.84  1.4E-05  | Si I  5374.69, Fe II  5374.87, 
 5376.69  5.3E-05  | N II  5376.76, 
 5380.88  7.2E-05  | Ne II  5380.89, 
 5400.55  2.9E-05  | Ne I  5400.56, 
 5412.26  5.8E-06  | [Fe III]  5411.98, 
 5432.80  1.9E-05  | [Fe II]  5433.13, 
 5452.06  4.2E-05  | N II  5452.07, 
 5454.03  8.2E-05  | Ni II  5453.96, Fe I  5453.99, 
 5462.57  4.5E-05  | N II  5462.58, 
 5463.57  1.6E-05  | Ni II  5463.57, 
 5473.62  2.1E-05  | Fe II  5473.59, 
 5478.09  3.0E-05  | N II  5478.09, 
 5480.05  5.6E-05  | N II  5480.05, 
 5495.66  1.5E-04  | N II  5495.66, 
 5512.79  3.1E-04  | O I  5512.77, 
 5517.69  1.8E-03  | [Cl III]  5517.72, 
 5526.21  1.5E-05  | N II  5526.23, 
 5530.22  2.0E-05  | N II  5530.24, 
 5535.36  5.0E-05  | N II  5535.35, 
 5537.85  3.6E-03  | [Cl III]  5537.89, 
 5543.52  4.5E-05  | N II  5543.47, 
 5545.93  1.5E-05  | [Fe II]  5545.90, 
 5547.99  2.2E-05  | [V II]  5547.78, O I]  5547.83, O I]  5547.83, Fe II  5548.15, Fe II  5548.24, 
 5551.93  6.1E-06  | N II  5551.92, 
 5554.98  1.6E-04  | Fe II  5554.91, 
 5567.47  1.2E-05  | Ne II  5567.48, 
 5577.39  2.6E-04  | [O I]  5577.34, 
 5587.86  1.1E-05  | C I  5587.73, 
 5595.51  1.4E-05  | Fe I  5595.46, 
 5606.13  1.3E-05  | [Fe II]  5606.25, 
 5627.80  1.8E-05  | Ni II  5627.69, Fe I  5627.71, N II  5627.76, 
 5640.19  2.0E-05  | Si I  5640.18, S II  5640.23, 
 5648.07  1.4E-05  | C II  5648.07, 
 5662.34  2.5E-05  | [V II]  5662.23, 
 5664.52  1.5E-05  | Ca I  5664.40, 
 5666.63  4.1E-04  | N II  5666.63, 
 5676.02  2.0E-04  | N II  5676.02, 
 5679.55  6.7E-04  | N II  5679.56, 
 5686.20  1.3E-04  | N II  5686.21, 
 5705.32  1.7E-05  | Si I  5705.24, 
 5708.91  1.9E-05  | Si I  5708.91, 
 5710.76  1.3E-04  | N II  5710.77, 
 5711.60  8.0E-06  | S II  5711.62, 
 5724.96  2.5E-05  | [Fe II]  5724.60, 
 5730.64  1.3E-05  | N II  5730.66, 
 5739.76  3.9E-05  | Si III  5739.73, Si I  5739.72, 
 5744.48  6.9E-05  | Fe I  5744.33, [Co II]  5744.35, Ca I  5744.40, 
 5747.29  3.3E-05  | O II  5747.33, 
 5754.63  2.8E-02  | [N II]  5754.64, 
 5759.78  2.0E-05  | Ni II  5759.68, 
 5764.48  2.6E-05  | Ne I  5764.42, 
 5766.22  2.2E-05  | Si I  5765.97, Ca I  5766.00, 
 5767.46  1.2E-05  | S II  5767.42, 
 5790.94  1.1E-05  | Fe II]  5790.84, 
 5793.20  1.2E-05  | C I  5793.12, 
 5826.54  1.9E-05  | Fe II  5826.51, 
 5832.96  2.8E-05  | O IV  5833.00, C III  5833.20, 
 5846.70  1.3E-04  | Fe I  5846.60, 
 5852.35  2.6E-05  | Si I  5852.29, 
 5855.14  4.2E-05  | Si I  5855.10, 
 5859.58  1.3E-05  | Fe II  5859.61, 
 5867.73  3.5E-05  | Ni II  5867.68, 
 5875.65  1.4E-01  | He I  5875.60, He I  5875.61, He I  5875.61, He I  5875.63, He I  5875.64, 
 5879.03  2.0E-05  | N VII  5879.08, N II  5879.08, 
 5889.96  7.9E-04  | Ne II  5889.96, 
 5891.57  1.8E-04  | Fe I]  5891.53, C II  5891.60, 
 5896.02  3.4E-04  | Fe I  5895.98, 
 5915.61  3.4E-05  | Si I  5915.49, Si I  5915.57, 
 5927.80  1.9E-04  | N II  5927.80, N II  5927.82, 
 5931.77  2.7E-04  | Ne I  5931.76, N II  5931.79, 
 5940.26  1.4E-04  | N II  5940.24, 
 5941.66  3.1E-04  | N II  5941.65, 
 5944.93  7.8E-06  | Ne I  5944.83, Si I  5944.85, N II  5944.96, 
 5952.38  5.2E-05  | N II  5952.39, 
 5957.65  1.4E-04  | Si II  5957.56, 
 5958.63  4.8E-04  | O I  5958.58, 
 5979.02  2.4E-04  | Si II  5978.93, 
 5991.09  9.4E-06  | C I  5990.98, 
 6013.01  2.8E-05  | Fe II  6012.86, Ca I  6012.94, 
 6019.82  3.9E-05  | Ni II  6019.71, 
 6046.47  8.8E-04  | O I  6046.44, 
 6074.32  1.5E-05  | Si I  6074.25, Ne I  6074.34, 
 6096.19  1.4E-05  | [Fe III]  6096.30, 
 6098.54  1.1E-05  | C II  6098.51, 
 6130.47  2.8E-05  | C III  6130.30, C III  6130.30, 
 6147.23  1.9E-05  | Si I  6147.22, Si I  6147.24, 
 6151.34  2.5E-04  | C II  6151.27, 
 6154.41  3.3E-05  | Ne II  6154.31, Fe II]  6154.35, N II  6154.35, 
 6155.98  1.8E-05  | O I  6155.96, O I  6155.97, O I  6155.99, 
 6156.78  3.6E-05  | O I  6156.74, O I  6156.76, O I  6156.78, 
 6158.14  4.2E-05  | O I  6158.17, 
 6161.78  3.9E-05  | Ne II  6161.75, 
