 4651.74  6.5E-04  | O II  4649.13, 
 4660.71  1.6E-03  | [Fe III]  4658.05, 
 4704.74  6.1E-04  | C I  4702.33, 
 4715.32  3.0E-03  | He I  4713.22, 
 4742.68  1.5E-03  | [Ar IV]  4740.16, 
 4757.70  5.3E-04  | [Fe III]  4754.69, 
 4816.80  4.8E-04  | [Fe III]  4813.87, 
 4863.96  1.0E+00  | H I  4861.32, 
 4883.68  8.7E-04  | Ne II  4880.93, Ne II  4881.05, 
 4924.63  9.8E-03  | He I  4921.93, 
 4934.46  4.1E-04  | [O III]  4931.23, 
 4961.64  1.1E+00  | [O III]  4958.91, 
 4988.54  3.1E-03  | [Cr II]  4985.69, 
 5009.58  3.5E+00  | [O III]  5006.84, 
 5018.47  2.3E-02  | He I  5015.68, 
 5043.82  8.7E-04  | O II  5041.26, 
 5050.41  1.6E-03  | He I  5047.74, 
 5056.88  8.1E-05  | C I  5053.51, 
 5194.34  7.5E-04  | [Ar III]  5191.82, 
 5202.71  7.5E-04  | O II  5199.82, 
 5222.90  1.5E-04  | [Fe II]  5220.06, 
 5263.69  1.7E-04  | O II  5260.68, O II  5260.69, 
 5273.41  1.1E-03  | [Fe III]  5270.40, 
 5319.88  6.2E-05  | O II  5317.04, 
 5335.77  2.1E-04  | C II  5332.89, 
 5379.72  3.0E-04  | [Fe II]  5376.45, 
 5436.80  1.2E-04  | Ne I  5433.65, 
 5520.79  3.9E-03  | [Cl III]  5517.72, 
 5540.97  2.9E-03  | [Cl III]  5537.89, 
 5741.79  1.8E-04  | Si I  5738.32, Ar I  5738.39, Cl I  5738.36, 
 5750.12  3.5E-04  | [Fe II]  5746.97, 
 5757.93  2.6E-03  | [N II]  5754.64, 
 5806.01  4.3E-05  | Fe II  5802.77, 
 5870.34  4.6E-03  | O I  5867.12, 
 5878.97  1.3E-01  | He I  5875.66, 
 5961.04  1.8E-04  | Si II  5957.56, 
 5982.33  3.6E-04  | Si II  5978.93, 
 6048.79  1.9E-04  | C I  6044.78, 
 6104.37  1.2E-04  | N III  6101.20, Ne II  6101.42, [K IV]  6101.79, 
 6249.34  1.3E-04  | Ne II  6245.76, Ne II  6245.77, Ne II  6245.77, 
 6264.89  1.3E-04  | Ne II  6261.65, 
 6274.74  4.5E-04  | N II  6270.95, C III  6271.40, 
 6303.98  2.7E-02  | [O I]  6300.30, 
 6315.60  1.9E-02  | [S III]  6312.10, 
 6351.08  3.3E-04  | [V II]  6347.83, 
 6367.47  9.3E-03  | [O I]  6363.78, 
 6375.24  8.5E-04  | Ne II  6371.86, Ne II  6371.92, 
 6438.23  6.3E-05  | N II  6434.64, 
 6459.14  1.1E-04  | N II  6455.52, S II  6455.58, 
 6471.22  2.1E-04  | [Mn III]  6467.65, 
 6505.05  1.9E-04  | O II  6501.40, O II  6501.42, 
 6521.09  1.7E-04  | Ne II  6517.04, 
 6532.76  2.7E-04  | Ne II  6529.18, 
 6551.79  3.7E-02  | [N II]  6548.04, 
 6566.47  3.6E+00  | H I  6562.80, 
 6587.17  1.4E-01  | [N II]  6583.46, 
 6618.80  6.7E-05  | Ne II  6615.46, 
 6633.08  2.7E-04  | N II  6629.02, 
 6640.85  1.9E-04  | O II  6637.28, O II  6637.33, 
 6649.27  1.0E-04  | Cr II  6645.73, 
 6659.65  2.0E-04  | C I  6655.52, Fe II]  6656.00, 
 6671.56  1.8E-04  | C II  6667.70, 
 6681.89  3.3E-02  | He I  6678.15, 
 6702.11  3.3E-05  | O II  6698.23, O II  6698.25, O II  6698.39, 
 6720.26  2.3E-01  | [S II]  6716.44, 
 6734.65  1.7E-01  | [S II]  6730.81, 
 6780.65  2.2E-04  | Ni II  6776.84, 
 6841.83  9.2E-05  | S II  6837.46, 
 6852.28  8.6E-05  | N II  6848.18, 
 6991.72  2.0E-04  | He I  6989.45, 
 7006.89  1.3E-04  | S IV  7003.30, 
 7013.06  2.1E-04  | S II  7008.72, Ne II  7009.55, 
 7020.21  2.8E-04  | N II  7015.90, [Co IV]  7016.60, [Fe II]  7017.94, 
 7029.41  1.4E-04  | O III  7025.73, 
 7042.19  2.7E-04  | Si I  7038.22, 
 7047.55  1.6E-04  | Ar II  7043.52, 
 7059.29  5.2E-04  | Si I  7054.99, 
 7069.23  2.5E-02  | He I  7065.37, 
 7082.99  1.6E-04  | Cl I  7078.90, Cr II  7078.99, [V II]  7078.93, 
 7096.65  2.8E-04  | [Fe II]  7093.97, 
 7109.66  2.5E-04  | Si I  7105.42, Al II  7105.79, 
 7115.88  2.4E-04  | [Fe IV]  7111.50, Ne II  7112.38, 
 7139.78  1.1E-01  | [Ar III]  7135.80, 
 7148.78  3.8E-04  | N II  7144.50, Fe I  7144.67, 
 7165.11  2.0E-04  | He I  7160.58, 
 7173.95  1.4E-04  | [Ar IV]  7170.50, N II  7170.40, 
 7183.02  2.3E-04  | O II  7179.30, Fe II  7179.16, 
 7188.72  3.7E-04  | [Fe IV]  7184.00, [Cr IV]  7184.10, 
 7198.23  8.6E-05  | [Co II]  7193.90, [V II]  7194.61, 
 7202.65  1.6E-04  | Fe I  7198.54, 
 7227.41  1.5E-04  | [Fe IV]  7222.80, 
 7258.90  2.9E-04  | 
 7267.68  3.7E-04  | N II  7263.50, 
 7285.37  8.5E-03  | He I  7281.35, 
 7294.97  1.2E-03  | [Cr IV]  7290.20, S I  7291.00, [Ca II]  7291.47, O II  7292.10, 
 7310.25  7.7E-04  | Fe II  7308.07, 
 7324.02  4.5E-02  | [O II]  7319.99, 
 7334.37  2.9E-02  | [Fe II]  7330.22, [O II]  7330.73, 
 7381.58  2.9E-05  | [Cr III]  7377.29, 
 7429.28  1.1E-04  | [Co IV]  7424.80, Fe II  7425.09, 
 7445.79  7.3E-05  | N III  7442.00, 
 7466.93  3.5E-04  | O II  7463.17, 
 7472.07  2.4E-04  | Ne II  7467.87, N II  7467.90, N I  7468.31, 
 7493.13  2.0E-04  | Ne I  7488.87, 
 7504.05  5.0E-04  | He I  7499.85, 
 7517.88  2.9E-04  | Ne II  7513.85, C III  7514.30, C III  7514.30, 
 7530.50  4.0E-04  | Al II  7526.10, 
 7534.60  1.4E-04  | [Cl IV]  7530.80, 
 7633.11  1.4E-03  | Ar I  7628.88, 
 7642.06  1.2E-03  | [Fe II]  7637.54, 
 7667.70  6.6E-04  | O I  7663.44, 
 7710.73  1.1E-03  | C III  7706.90, C III  7706.90, 
 7743.90  1.3E-03  | O II  7739.73, 
 7755.47  2.4E-02  | [Ar III]  7751.10, 
 7773.12  3.3E-04  | S II  7769.21, 
 7787.04  4.8E-04  | O II  7783.11, 
 7821.36  2.3E-03  | Ar I  7817.10, 
 7841.72  7.2E-04  | C I  7837.09, Ni II  7837.28, 
 7851.68  1.1E-03  | [Co II]  7847.10, [Cr II]  7847.78, 
 7866.83  4.2E-04  | Ar II  7862.40, Ne II  7862.94, 
 7895.08  4.1E-04  | [Ni III]  7889.90, N II  7890.30, 
 8003.40  9.3E-05  | [Fe II]  7999.49, [Cr II]  8000.08, 
 8012.81  5.3E-04  | [Fe II]  8009.55, Fe II  8012.51, 
 8051.08  7.3E-04  | [Cl IV]  8046.30, 
 8075.25  4.6E-05  | C III  8070.30, C III  8070.30, C I  8070.43, 
 8088.04  2.2E-04  | Ar II  8083.76, 
 8132.38  1.7E-04  | He I  8127.16, 
 8155.66  5.2E-04  | Ne II  8151.43, 
 8192.28  2.5E-04  | Ar I  8187.69, Ar I  8187.70, 
 8194.56  2.8E-04  | N II  8190.50, 
 8211.78  6.5E-05  | [Fe III]  8207.40, 
 8214.60  3.9E-04  | C II  8209.72, 
 8222.59  2.1E-04  | He I  8220.29, 
 8234.34  9.2E-05  | Ne II  8229.65, Ne II  8229.89, Ne II  8229.91, Ne II  8230.15, 
 8247.79  2.0E-04  | Fe II  8242.98, N II  8243.50, 
 8271.97  5.4E-04  | H I  8267.94, 
 8277.23  6.3E-04  | H I  8271.93, 
 8291.71  1.2E-03  | H I  8286.43, 
 8296.75  1.6E-03  | H I  8292.31, 
 8303.76  2.6E-03  | H I  8298.83, 
