 7878.77  3.9E-04  | [Fe II]  7874.25, [Fe II]  7874.65, 
 7921.92  1.1E-03  | [Fe II]  7916.99, 
 7964.94  3.9E-03  | Ne II  7960.54, Ne II  7960.54, 
 8003.63  8.1E-04  | [Fe II]  7999.49, 
 8050.89  5.5E-04  | [Cl IV]  8046.30, 
 8073.22  4.3E-04  | C III  8068.40, C III  8068.40, C III  8069.00, 
 8087.99  5.1E-04  | Ar II  8082.99, O III  8083.50, Ar II  8083.76, 
 8132.03  3.0E-03  | He I  8127.16, 
 8192.09  3.3E-03  | Ar I  8187.42, 
 8194.42  1.7E-03  | Fe II  8190.04, N II  8190.50, 
 8212.01  1.9E-03  | [Fe III]  8207.40, 
 8213.75  4.5E-03  | Fe II  8208.96, 
 8219.57  1.3E-03  | C II  8214.50, Si I  8214.75, N II  8215.20, Ne II  8215.48, 
 8233.12  7.6E-04  | [Fe II]  8228.10, 
 8248.94  2.3E-03  | Ne II  8244.83, Ne II  8245.08, [Fe II]  8245.14, 
 8291.84  5.0E-03  | H I  8286.43, 
 8296.89  2.0E-03  | H I  8292.31, 
 8303.00  2.0E-03  | H I  8298.83, 
 8319.12  2.3E-03  | H I  8314.26, 
 8325.35  3.0E-03  | H I  8323.42, 
 8337.43  4.9E-03  | H I  8333.78, 
 8350.59  7.3E-04  | H I  8345.55, 
 8364.31  2.4E-03  | H I  8359.00, 
 8379.23  3.0E-03  | H I  8374.48, 
 8418.21  1.9E-03  | H I  8413.32, 
 8442.84  4.2E-03  | H I  8437.95, 
 8452.20  7.4E-04  | S II  8447.32, 
 8472.08  4.0E-03  | H I  8467.25, 
 8481.79  4.3E-04  | Fe II  8477.11, 
 8507.17  1.9E-04  | H I  8502.48, 
 8507.24  5.8E-03  | H I  8502.48, 
 8523.38  1.3E-03  | He I  8518.04, 
 8526.92  3.0E-04  | Ar III  8522.20, Ne II  8522.58, Ne II  8522.71, 
 8533.63  4.2E-04  | Fe I  8528.79, 
 8550.26  1.1E-02  | H I  8545.38, 
 8565.22  4.1E-04  | [Cr II]  8560.29, Cl I  8560.50, Ar II  8560.57, N II  8560.77, 
 8583.14  2.3E-04  | [Cl II]  8578.69, 
 8588.30  2.2E-04  | He I  8583.64, 
 8603.32  6.4E-03  | H I  8598.39, 
 8622.90  2.0E-04  | Fe I  8618.15, 
 8655.53  1.0E-03  | He I  8649.88, 
 8663.31  2.6E-03  | He I  8662.22, 
 8670.08  1.2E-02  | H I  8665.02, 
 8687.26  1.2E-03  | Ne II  8682.01, S II  8681.88, Ne I  8681.92, [V II]  8682.13, C II  8682.53, 
 8697.14  8.0E-04  | [Co II]  8691.64, Fe II  8692.17, Cl I  8692.20, [V II]  8692.51, 
 8700.29  4.5E-04  | [Co II]  8695.33, 
 8709.80  3.1E-04  | Ne I  8704.11, O II  8705.88, 
 8731.94  6.2E-04  | [C I]  8727.12, 
 8738.25  3.5E-04  | He I  8734.82, 
 8744.06  3.2E-04  | [Fe II]  8739.07, 
 8755.44  1.1E-02  | 
 8792.75  8.4E-04  | Fe II  8787.79, 
 8816.19  1.2E-03  | Fe II  8810.99, 
 8845.59  5.2E-04  | Ca I  8840.60, Ar I  8840.80, Ar I  8840.81, 
 8855.64  5.3E-04  | [Mn III]  8850.89, [Fe II]  8851.15, 
 8867.93  1.6E-02  | H I  8862.78, 
 8893.80  3.3E-04  | Ar II  8889.29, 
 8898.46  1.4E-03  | N II  8893.29, O II  8894.21, 
 9020.13  2.4E-02  | H I  9014.91, 
 9036.44  3.1E-03  | O I  9032.00, 
 9038.20  3.0E-03  | O II  9033.29, [Fe II]  9033.50, 
 9066.03  1.2E-02  | He I  9063.32, 
 9074.22  1.1E-01  | [S III]  9068.60, 
 9103.12  1.4E-02  | Ne II  9097.60, S IV  9098.30, C II  9098.30, C II  9098.30, 
 9125.30  3.6E-03  | Ne II  9119.24, 
 9147.24  2.7E-03  | Fe I  9141.91, Si I  9142.05, Si I  9142.37, O II  9143.50, Ne II  9143.93, 
 9234.28  2.2E-02  | H I  9229.01, 
 9265.89  2.1E-03  | O II  9260.50, 
 9302.43  4.2E-03  | Fe II  9297.27, Fe II  9297.30, 
