H   13.60] 
He  24.59  54.42]
Li   5.39  75.64 122.45]
Be   9.32  18.21 153.90 217.71]
B    8.30  25.15  37.93 259.37 340.22]
C   11.26  24.38  47.89  64.49 392.08 489.98]
N   14.53  29.60  47.45  77.47  97.89 552.06 667.03]
O   13.62  35.12  54.94  77.41 113.90 138.12 739.29 871.41]
F   17.42  34.97  62.71  87.14 114.24 157.17 185.19 953.91]
Ne  21.56  40.96  63.45  97.12 126.21 157.93 207.28 239.10]
Na   5.14  47.29  71.62  98.91 138.40 172.18 208.50 264.25]
Mg   7.65  15.04  80.14 109.27 141.27 186.76 225.02 265.96]
Al   5.99  18.83  28.45 119.99 153.83 190.49 241.76 284.66]
Si   8.15  16.35  33.49  45.14 166.77 205.27 246.49 303.54]
P   10.49  19.77  30.20  51.44  65.03 220.42 263.57 309.60]
S   10.36  23.34  34.79  47.22  72.59  88.05 280.95 328.75]
Cl  12.97  23.81  39.61  53.47  67.80  97.03 114.20 348.20]
Ar  15.76  27.63  40.74  59.81  75.02  91.01 124.32 143.46]
K    4.34  31.63  45.81  60.91  82.66  99.40 117.56 154.88]
Ca   6.11  11.87  50.91  67.27  84.50 108.78 127.20 147.24]
Sc   6.56  12.80  24.76  73.49  91.65 111.68 138.00 158.10]
Ti   6.83  13.58  27.49  43.27  99.30 119.53 140.80 170.40]
V    6.75  14.66  29.31  46.71  65.28 128.10 150.60 173.40]
Cr   6.77  16.49  30.96  49.16  69.46  90.64 161.18 184.70]
Mn   7.43  15.64  33.67  51.20  72.40  95.60 119.20 194.50]
Fe   7.90  16.19  30.65  54.80  75.00  99.10 124.98 151.06]
Co   7.88  17.08  33.50  51.30  79.50 103.00 131.00 160.00]
Ni   7.64  18.17  35.19  54.90  75.50 108.00 134.00 164.00]
Cu   7.73  20.29  36.84  55.20  79.90 103.00 139.00 167.00]
Zn   9.39  17.96  39.72  59.40  82.60 108.00 136.00 175.00]
Ga   6.00  20.51  30.71  64.00  87.00 116.00 140.00 170.00]
Ge   7.90  15.94  34.22  45.71  93.50 112.00 144.00 174.00]
Rb   4.18  27.29  40.00  52.60  71.00  84.40  99.20 136.00]
Sr   5.69  11.03  42.89  57.80  71.60  90.80 106.00 122.30]
Y    6.22  12.24  20.52  61.80  77.00  93.00 116.00 129.00]
Zr   6.63  13.13  22.99  34.34  81.50  99.00 117.00 140.00]
Nb   6.76  14.32  25.04  38.30  50.55 102.60 125.00 142.00]
Mo   7.09  16.16  27.13  46.40  61.20  68.00 126.80 153.00]
Ru   7.36  16.76  28.47  50.00  60.00  92.00]
Rh   7.46  18.08  31.06  48.00  65.00  97.00]
Pd   8.34  19.43  32.93  53.00  62.00  90.00 110.00 130.00]
Ag   7.58  21.49  34.83  56.00  68.00  89.00 115.00 140.00]
Cd   8.99  16.91  37.48  59.00  72.00  94.00 115.00 145.00]
In   5.79  18.87  28.03  54.40  77.00  98.00 120.00 145.00]
Sn   7.34  14.63  30.50  40.73  72.28 103.00 125.00 150.00]
Sb   8.64  16.53  25.30  44.20  56.00 108.00 130.00 155.00]
Ba   5.21  10.00  20.00  49.00  62.00  80.00  95.00 120.00]
Pt   9.00  18.56  28.00  41.00  55.00  75.00  92.00 110.00]
Au   9.23  20.50  30.00  44.00  58.00  73.00  96.00 115.00]
Pb   7.42  15.03  31.94  42.32  68.80  84.00 103.00 120.00]
