! 100 10000
H  0.10E+01
He 0.98E-01
Li 0.14E-10
Be 0.14E-10
B  0.40E-09
C  0.36E-03
N  0.11E-03
O  0.85E-03
F  0.36E-07
Ne 0.12E-03
Na 0.21E-05
Mg 0.38E-04
Al 0.30E-05
Si 0.35E-04
P  0.28E-06
S  0.16E-04
Cl 0.32E-06
Ar 0.36E-05
K  0.13E-06
Ca 0.23E-05
Sc 0.13E-08
Ti 0.98E-07
V  0.10E-07
Cr 0.47E-06
Mn 0.20E-06
Fe 0.35E-04
Co 0.83E-07
Ni 0.18E-05
Cu 0.16E-07
Zn 0.40E-07
Ga 0.76E-09
Ge 0.26E-08
Rb 0.40E-09
S  0.79E-09
Y  0.17E-09
Zr 0.40E-09
Nb 0.26E-10
Mo 0.83E-10
Ru 0.69E-10
Rh 0.13E-10
Pd 0.49E-10
Ag 0.87E-11
Cd 0.72E-10
In 0.46E-10
Sn 0.10E-09
Sb 0.10E-10
Ba 0.13E-09
Pt 0.63E-10
Au 0.10E-10
Pb 0.71E-10
