 EMILI Output File
 ------------------------------------
 Input Line List: zone-0-emi.in
 Input Matched List: zone-0-emi.match
 Results List: zone-0-emi.out
 Short Results List: zone-0-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       50.00
 Ni                         I     - XXIX        50.00
 Si                         I     - XV          50.00
 Ca                         I     - XXI         50.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    165.700958    
 irvcor 2:    170.145630    
 irvcor 3:    164.595108    
 irvcor 4:    161.649811    
 irvcor 5:    161.649811    

   6459.40 |    6460.500  C  II      403939480    261  5.8E-04 -51.2 7/0 8 
   6459.40 | >  6462.040* C  II      403755037    262  5.8E-04-122.7 0/0 0<

Observed Line:  6471.77  6.4E-04  S/N:     4.29 FWHM:  71.5
   6468.22 |    6467.650 [Mn III]   1679844364     54  1.7E-04  26.5 4/0 6C
+  6468.22 |    6468.113$ Fe II     1746374964      7  2.3E-06   5.0 0/0 4A
+  6468.22 |    6468.220  Cr II     1612125476      6  1.5E-06   0.1 8/0 6C
+  6468.28 |    6468.600  N  III     471910437    261  7.2E-07 -14.6 7/0 7 
   6468.22 |    6468.800  C  II      403938456    261  5.8E-04 -26.8 8/1 5B 6459.810 -19.2
   6468.28 |    6469.000  Mg XI      815805450    260  2.3E-06 -33.2 3/0 9 
   6468.10 |    6469.192  Fe I      1745288315      8  6.7E-07 -50.6 6/0 * 
   6468.10 |    6469.250 [Co II]    1813031963     54  7.3E-05 -53.3 5/0 8 
   6468.28 |    6469.450* N  V       474023979      5  1.7E-06 -54.0 0/0 8 
   6468.28 |    6469.750* N  III     471949384    261  7.2E-07 -67.9 0/0 8 
   6468.22 |    6469.800$ Cr II     1612394972      6  9.1E-07 -73.2 0/0 8 
   6468.22 |    6469.820$ Cr II     1612393948      6  9.1E-07 -74.1 0/0 8 
   6468.28 |    6470.000  S  IX     1082181680    259  6.8E-07 -79.5 5/0 * 
   6468.22 |    6470.300  Cr II     1611970759      6  4.0E-06 -96.4 8/0 9 
   6468.22 | >  6471.990  C  II      403940507    262  5.8E-04-174.7 2/0 0<

Observed Line:  6489.97  2.5E-04  S/N:     7.15 FWHM:  50.8
   6486.48 |    6485.700  N  III     472018043    261  7.2E-07  35.9 4/0 9 
   6486.41 |    6485.650  N  II      471058527      6  3.6E-07  35.2 5/0 9 
   6486.41 |    6486.020$ Ni II     1880447162      6  6.3E-08  18.1 0/0 6 
   6486.41 |    6486.050$ Ni II     1880704287      6  6.1E-08  16.7 0/0 6 
+  6486.41 |    6486.080$ Ni II     1880703263      6  6.1E-08  15.3 0/0 5 
+  6486.41 |    6486.160$ Ni II     1880629496      6  6.1E-08  11.6 0/0 5 
+  6486.41 |    6486.200$ Cr II     1612394980      6  9.1E-07   9.8 0/0 4D
+  6486.41 |    6486.220$ Cr II     1612393956      6  9.1E-07   8.9 0/0 4D
+  6486.29 |    6486.109$ Cl I      1140972560      7  1.6E-07   8.4 0/0 5 
+  6486.29 |    6486.137$ Si I       939953178      7  4.6E-07   7.1 0/0 3A
+  6486.41 |    6486.320  S  II     1074877498    262  2.6E-05   4.2 2/0 4D
+  6486.41 |    6486.384  Fe II]    1746299132     23  6.1E-08   1.3 2/0 6 
+  6486.48 |    6486.462$ O  II      538129515      7  2.8E-06   0.6 0/0 3A
+  6486.41 |    6486.520$ Ni II     1880710433      6  6.1E-08  -5.0 0/0 4D
+  6486.41 |    6486.540$ Ni II     1880636665      6  6.1E-08  -5.9 0/0 4D
+  6486.41 |    6486.550$ Ni II     1880709409      6  6.1E-08  -6.4 0/0 4D
+  6486.29 |    6486.450$ Si I       939952154      6  4.6E-07  -7.4 0/0 3A
   6486.41 |    6486.780$ Ni II     1880757555      6  6.1E-08 -17.0 0/0 6 
   6486.41 |    6486.790$ Ni II     1880756531      6  6.1E-08 -17.5 0/0 6 
   6486.29 |    6486.723$ Fe I      1745664174      7  5.3E-07 -20.0 0/0 5 
   6486.41 |    6486.860 [Ni III]   1881188385     54  2.1E-07 -20.7 4/0 8 
   6486.41 |    6487.000$ S  II     1075026055      6  2.6E-05 -27.2 0/0 5 
   6486.29 |    6486.976  Fe I      1745497238      8  5.7E-07 -31.7 9/0 8 
   6486.41 |    6487.116  O  I]      537071768     23  3.9E-07 -32.6 1/0 8 
   6486.41 |    6487.170$ Ni II     1880746289      6  6.1E-08 -35.1 0/0 8 
   6486.48 |    6487.300$ Ne II      672357451      6  3.9E-07 -38.1 0/0 7 
   6486.41 |    6487.339  Fe II     1746074734      7  3.4E-05 -42.9 2/0 8 
   6486.48 |    6487.430$ Ne II      672356427      6  3.9E-07 -44.2 0/0 7 
   6486.48 |    6487.480  Fe III]   1746989098     22  6.1E-07 -46.5 5/1 8  6102.590 -82.9
   6486.41 |    6487.460  V  II     1544708183      6  2.4E-06 -48.5 2/0 9 
   6486.41 |    6487.476* Na I       738315268      7  3.6E-06 -49.2 0/0 6 
   6486.41 |    6487.540$ Ni II     1880757556      6  6.1E-08 -52.2 0/0 8 
   6486.41 |    6487.670$ Ni II     1880637690      6  6.1E-08 -58.2 0/0 8 
   6486.48 |    6487.780$ Ne II      672408688      6  3.9E-07 -60.3 0/0 7 
   6486.48 |    6487.800  N  III     471911462    261  7.2E-07 -61.3 5/0 9 
   6486.41 |    6487.792  Fe II     1746463089      7  1.9E-06 -63.8 2/0 9 
   6486.41 |    6488.000$ Ni II     1880746290      6  6.1E-08 -73.4 0/0 8 
   6486.41 |    6488.060$ Ni II     1880632569      6  6.1E-08 -76.2 0/0 8 
   6486.41 |    6488.100$ Ni II     1880631545      6  6.1E-08 -78.1 0/0 8 
   6486.41 |    6488.150$ Ni II     1880636666      6  6.1E-08 -80.4 0/0 8 
   6486.41 |    6488.160$ Ni II     1880635642      6  6.1E-08 -80.8 0/0 8 
   6486.41 | >  6489.700 [V  III]   1545611266     53  2.1E-04-152.0 4/0 0<

Observed Line:  6505.46  5.5E-04  S/N:    20.89 FWHM:  33.5
   6501.87 |    6500.850* Ca I      1342735452      7  1.0E-08  47.0 0/0 8 
   6501.87 |    6501.125  Ca I      1342822501      7  9.6E-09  34.3 1/0 9 
   6501.87 |    6501.145  Ca I      1342817380      7  9.6E-09  33.4 1/0 9 
   6501.89 |    6501.280  Cr II     1612294540      6  1.0E-06  28.3 6/0 7 
   6501.77 |    6501.190  Cr I]     1610632197     22  1.4E-07  26.9 7/0 8 
   6501.96 |    6501.404$ O  II      538128489      7  2.8E-06  25.5 0/0 5D
   6501.77 |    6501.220  Cr I]     1610948709     22  9.1E-09  25.5 7/0 9 
   6501.96 |    6501.421$ O  II      538127465      7  2.8E-06  24.7 0/0 5D
   6501.77 |    6501.440  Cr I]     1610725386     22  4.0E-08  15.3 7/1 7  6371.230   7.4
   6501.89 |    6501.570  Cr II     1612183866      6  1.4E-06  14.9 7/1 5D 6636.430  21.2
+  6501.89 |    6501.590  Cr II]    1611907231     22  1.9E-07  14.0 5/0 6 
+  6501.87 |    6501.567  Ca I      1342808162      7  9.6E-09  13.9 0/0 5D
+  6501.89 |    6501.670  Cr II     1612392951      6  9.0E-07  10.3 4/0 5D
+  6501.89 |    6501.730  Cr II]    1611971782     22  9.6E-08   7.5 4/0 6 
+  6501.89 |    6501.785* Na I       738309124      7  3.6E-06   5.0 0/0 2A
+  6501.89 |    6501.790$ Ni II     1880547535      6  6.2E-08   4.8 0/0 4C
+  6501.77 |    6501.710  Cu I      1946362936      6  9.0E-09   2.9 2/0 6 
+  6501.77 |    6501.803  P  I      1006828565      7  1.5E-07  -1.4 6/0 5D
+  6501.87 |    6501.905  Ca I      1342816356      7  9.6E-09  -1.7 1/0 5D
+  6501.77 |    6501.850  Cr I      1610909793      6  5.9E-07  -3.6 3/0 5D
+  6501.89 |    6502.075  F  I       604041231    263  1.8E-08  -8.4 2/0 7 
+  6501.96 |    6502.187$ O  II      538132588      7  2.8E-06 -10.6 0/0 3B
+  6501.89 |    6502.182  Ar II     1209094199    264  1.3E-08 -13.3 3/0 7 
   6501.77 |    6502.180  Cr I      1610909794      6  5.9E-07 -18.8 4/0 7 
   6501.89 |    6502.333  Fe II]    1746073707     23  1.1E-06 -20.3 4/1 5D 6520.118 -49.9
   6501.77 |    6502.233$ Cl I      1140966411      7  1.6E-07 -21.3 0/0 5D
   6501.96 |    6502.451$ O  II      538133613      7  2.8E-06 -22.8 0/0 5D
   6501.77 |    6502.311  Fe I      1745495191      8  5.7E-07 -24.9 */1 7  6699.640 -15.7
   6501.96 |    6502.502$ O  II      538132589      7  2.8E-06 -25.2 0/0 5D
   6501.89 |    6502.490  C  II]     403956908     22  5.8E-08 -27.5 1/0 8 
   6501.89 |    6502.590$ Ni II     1880779019      6  6.0E-08 -32.2 0/0 8 
   6501.89 |    6502.610  V  II]    1544759449     22  1.5E-08 -33.1 2/0 * 
   6501.87 |    6502.600  Ca I      1342821477      7  9.6E-09 -33.7 1/0 9 
   6501.77 |    6502.510* Cu I      1946357823      6  8.9E-09 -34.0 0/0 8 
   6501.89 |    6502.720  Cr II]    1611739172     22  6.8E-06 -38.2 5/0 8 
   6501.87 |    6502.771* Ca I      1342706768      7  1.1E-08 -41.6 0/0 8 
   6501.89 |    6502.820  Mn II]    1678919776     22  2.7E-07 -42.8 4/0 9 
   6501.89 |    6502.840$ V  II     1544869100      6  7.8E-08 -43.7 0/0 7 
   6501.89 |    6502.900  Co II     1813232848      6  2.0E-07 -46.5 2/0 9 
   6501.89 |    6503.050$ V  II     1544875248      6  7.8E-08 -53.4 0/0 7 
   6501.89 |    6503.240$ Cr II     1612401126      6  9.0E-07 -62.1 0/0 6 
   6501.87 |    6503.353  Ca I      1342820453      7  9.6E-09 -68.5 1/0 9 
   6501.89 |    6503.390  P  II     1007706130      6  9.5E-07 -69.1 5/0 8 
   6501.89 |    6503.420$ Ni II     1880508608      6  6.3E-08 -70.4 0/0 8 
   6501.77 | >  6504.255*[Cr II]    1611731988     54  4.3E-04-114.5 0/0 0<

Observed Line:  6522.61  3.9E-04  S/N:     1.46 FWHM: 118.4
+  6518.91 |    6518.366  Fe I      1744954403      8  2.0E-06  25.1 2/0 7 
+  6519.03 |    6518.700  C  II      403942570    261  5.8E-04  15.4 1/0 3A
+  6519.03 |    6518.750* Na I       738302980      7  3.6E-06  13.1 0/0 4B
+  6519.03 |    6518.780  Fe II     1746393393      6  2.3E-06  11.7 4/0 6 
+  6519.10 |    6519.000 [Mn VI]    1682968577     36  2.2E-05   4.5 1/0 4B
+  6518.91 |    6519.480 [Co II]    1813017609     38  3.4E-04 -26.1 1/0 4B
+  6519.03 |    6519.760  Fe II     1746192591      7  6.8E-06 -33.4 2/0 7 
   6519.03 |    6520.118  Fe II]    1746072682     23  1.1E-06 -49.9 2/0 8 
   6519.10 |    6520.300  N  IV      473021523    261  1.2E-06 -55.3 0/0 6 
   6518.91 |    6520.560 [Cr II]    1611712522     54  7.1E-04 -75.8 2/0 7 
   6519.03 |    6520.966  Fe II]    1746072683     23  1.1E-06 -88.9 4/0 * 
   6519.03 |    6521.110  N  I       469833746    263  6.5E-05 -95.5 5/0 9 
   6519.03 |    6521.530  Cr II     1612292490      6  1.0E-06-114.8 9/0 * 
   6519.03 |    6522.010  Cr II     1611971793      6  4.0E-06-136.9 4/0 * 
   6519.03 |    6522.573  Fe II]    1746047070     23  1.7E-06-162.8 4/0 * 
   6519.03 |    6522.580  Cr II     1611878518      6  1.5E-05-163.1 3/0 9 
   6519.03 |    6522.640  C  II      403752988    262  5.8E-04-165.9 2/0 8 
   6519.10 |    6523.000  O  IV      540163208    260  9.1E-06-179.5 3/0 9 
   6519.03 |    6522.940  C  II      403751964    262  5.8E-04-179.7 2/0 8 
   6519.03 |    6523.320$ Cr II     1612402172      6  9.0E-07-197.1 0/0 8 
   6518.91 |    6523.200 [V  II]    1544587273     54  8.2E-05-197.2 5/0 8 
   6518.91 |    6523.230 [Mn II]    1678787588     38  5.2E-04-198.6 5/0 8 
   6519.03 |    6523.380$ Cr II     1612401148      6  9.0E-07-199.9 0/0 8 
   6519.03 | >  6526.110  C  II      403914899    262  5.8E-04-325.3 2/0 0<

Observed Line:  6533.00  6.2E-04  S/N:    20.52 FWHM:  20.9
   6529.39 |    6528.248* Ca I      1342731356      7  1.0E-08  52.7 0/0 8 
   6529.42 |    6528.660$ Cr II     1612410362      6  9.0E-07  34.8 0/0 6 
   6529.42 |    6528.697  Fe II     1746441537      7  2.1E-06  33.1 5/0 8 
   6529.42 |    6528.711* Cl II     1142151283      6  5.2E-07  32.5 0/0 7 
   6529.48 |    6528.810  Fe III]   1747071074     22  1.3E-08  30.9 2/0 * 
   6529.42 |    6528.750  Ni II     1880797503      6  6.0E-08  30.7 1/1 7  6519.090  -2.6
   6529.42 |    6528.770  Cr II]    1611906206     22  1.9E-07  29.8 5/0 9 
   6529.42 |    6528.780$ Cr II     1612409338      6  9.0E-07  29.3 0/0 6 
   6529.42 |    6528.780$ Cr II     1612394994      6  9.1E-07  29.3 0/0 6 
   6529.30 |    6528.674$ Fe I      1745551522      7  5.5E-07  28.6 0/0 7 
   6529.30 |    6528.710  Cr I      1610836047      6  7.0E-07  26.9 */0 8 
   6529.48 |    6528.928$ O  II      538127466      7  2.8E-06  25.5 0/0 5 
   6529.30 |    6528.749$ Fe I      1745602726      7  5.4E-07  25.2 0/0 6 
   6529.42 |    6528.920  Cr II]    1611834471     22  7.9E-07  22.9 5/0 8 
   6529.42 |    6529.030$ Cr II     1612393949      6  9.1E-07  17.8 0/0 4A
+  6529.48 |    6529.180$ Ne II      672376915      6  3.9E-07  13.9 0/0 4A
+  6529.42 |    6529.167$ Cu II     1947484291      7  2.6E-08  11.5 0/0 5 
+  6529.42 |    6529.175$ Cu II     1947483267      7  2.6E-08  11.2 0/0 5 
+  6529.39 |    6529.172  Ca I      1342791780      7  9.6E-09  10.2 1/0 6 
+  6529.42 |    6529.320  Cr II]    1612216646     22  1.7E-08   4.5 4/0 6 
+  6529.30 |    6529.200  Cr I      1610839121      6  7.0E-07   4.4 3/0 5 
+  6529.42 |    6529.370$ V  II     1544871150      6  7.9E-08   2.2 0/0 4A
+  6529.30 |    6529.405  Si I       939721746    263  4.8E-07  -5.0 4/0 5 
+  6529.30 |    6529.410  Cl I      1141214276      6  1.6E-07  -5.2 1/0 4A
+  6529.30 |    6529.521$ Fe I      1745633450      7  5.4E-07 -10.3 0/0 4A
+  6529.42 |    6529.680  Fe II]    1746301183     22  5.9E-08 -12.0 */1 6  6486.384   1.3
   6529.42 |    6529.728  N  I]      469831696     23  3.1E-07 -14.2 4/1 6  6520.099 -49.0
   6529.39 |    6529.800  Ca I      1342689345      5  1.2E-08 -18.7 0/0 6 
   6529.30 |    6529.749$ Cl I      1141024790      7  1.6E-07 -20.8 0/0 5 
   6529.30 |    6529.760  Cr I      1610838096      6  7.0E-07 -21.3 7/0 7 
   6529.48 |    6530.000  Ne VI      676399163    259  2.5E-06 -23.8 1/0 6 
   6529.48 |    6530.000  Na VI      743480355    259  4.5E-08 -23.8 2/0 9 
   6529.42 |    6529.950  Cr II     1612139823      6  1.5E-06 -24.4 4/0 7 
   6529.42 |    6530.000  C  II]     403950764     21  5.8E-08 -26.7 4/0 9 
   6529.42 |    6530.083$ Cu II     1947482243      7  2.6E-08 -30.6 0/0 8 
   6529.42 |    6530.090$ Ni II     1880502465      6  6.3E-08 -30.9 0/0 8 
   6529.42 |    6530.090$ Cu II     1947481219      7  2.6E-08 -30.9 0/0 8 
   6529.30 |    6530.006$ Cl I      1141034007      7  1.6E-07 -32.6 0/0 7 
   6529.30 |    6530.084$ Si I       939777043      7  4.7E-07 -36.2 0/0 7 
   6529.48 |    6530.299$ O  II      538128491      7  2.8E-06 -37.5 0/0 6 
   6529.30 |    6530.119$ Fe I      1745593508      7  5.5E-07 -37.8 0/0 7 
   6529.48 |    6530.316$ O  II      538127467      7  2.8E-06 -38.3 0/0 6 
   6529.42 |    6530.300 [Ni III]   1881189415     38  1.5E-07 -40.5 0/0 7 
   6529.30 |    6530.490$ Si I       939914266      7  4.6E-07 -54.8 0/0 7 
   6529.42 |    6530.620$ N  II      471073917      6  3.6E-07 -55.2 0/0 7 
   6529.30 |    6530.500  S  I      1073939570      5  8.2E-06 -55.3 0/0 6 
   6529.30 |    6530.590$ Cl I      1141218428      6  1.6E-07 -59.4 0/0 7 
   6529.30 |    6530.733$ Fe I      1745635499      7  5.4E-07 -66.0 0/0 7 
   6529.42 |    6530.880$ Ni II     1880751369      6  6.1E-08 -67.2 0/0 8 
   6529.39 |    6530.878  Ca I      1342790756      7  9.6E-09 -68.2 1/0 9 
   6529.42 | >  6532.470  C  II      403913875    262  5.8E-04-140.2 2/0 0<

Observed Line:  6551.76  3.0E-02  S/N:    20.63 FWHM:  35.7
+  6548.17 |    6548.040 [N  II]     470814722     38  1.2E+00   5.8 1/1 0A 6583.460   2.2
   6548.17 | >  6549.970  O  I       537069721      6  4.4E-04 -82.6 5/0 0<

Observed Line:  6566.38  3.4E+00  S/N:    26.48 FWHM:  42.6
+  6562.66 |    6562.800  H  I        67121158      6  1.0E+00  -6.5 0/0 1A
   6562.66 | >  6565.237  Mg I       805499912      7  2.8E-05-117.9 0/0 0<

Observed Line:  6587.12  1.0E-01  S/N:    33.97 FWHM:  40.1
+  6583.51 |    6583.460 [N  II]     470814723     38  1.2E+00   2.2 1/1 0A 6548.040   5.8
   6583.39 | >  6586.270  C  I       402789398    262  1.9E-04-131.4 0/0 0<

Observed Line:  6618.77  1.0E-04  S/N:     2.95 FWHM:  39.8
+  6615.02 |    6614.636 [Fe II]    1745932306     55  1.6E-03  17.3 3/0 5A
+  6615.14 |    6614.774  Fe II     1746089071      7  2.8E-05  16.6 4/0 6B
+  6615.14 |    6615.295  Fe II     1746434368      7  2.2E-06  -7.0 6/0 6B
   6615.12 |    6616.250 [Ti II]    1477477394     38  8.3E-06 -51.4 2/0 * 
   6615.14 |    6616.800  C  II      403792934      5  5.8E-04 -75.2 0/0 6B
   6615.14 |    6616.800  Cr II]    1611742245     22  6.4E-06 -75.2 2/0 * 
   6615.12 |    6617.130 [Ti I]     1476415489     39  2.2E-06 -91.3 5/0 * 
   6615.02 |    6617.040 [Mn II]    1678786565     38  5.2E-04 -91.7 5/0 8 
   6615.14 |    6617.550* C  II      403787812      5  5.8E-04-109.2 0/0 6B
   6615.02 | >  6619.710 [V  II]    1544585224     38  8.5E-05-212.6 2/0 0<

Observed Line:  6632.57  7.7E-04  S/N:     3.89 FWHM:  51.9
   6628.93 |    6628.200  Cr II     1612074241      6  1.8E-06  33.2 2/0 8 
   6628.93 |    6628.340$ S  II     1074973781      6  2.6E-05  26.8 0/0 4C
   6628.81 |    6628.231$ Fe I      1745639600      7  5.4E-07  26.2 0/0 5 
+  6628.93 |    6628.590$ Cr II     1612400122      6  9.0E-07  15.5 0/0 4C
+  6628.81 |    6628.480  Cr I      1610947688      6  5.4E-07  14.9 6/0 6 
+  6628.93 |    6628.670$ Cr II     1612399098      6  9.0E-07  11.9 0/0 4C
+  6628.81 |    6628.633  P  I      1006867481      7  1.5E-07   8.0 3/0 6 
+  6628.81 |    6628.670  Cr I      1610944613      6  5.5E-07   6.3 9/0 5 
+  6628.91 |    6628.850  Ti I      1476663384      7  1.5E-07   2.7 3/0 6 
+  6628.81 |    6628.800  Cl I      1141182531      5  1.6E-07   0.5 1/0 5 
+  6628.81 |    6628.800  Cl I      1141181507      5  1.6E-07   0.5 1/0 5 
+  6628.93 |    6629.020  N  II      471161137    262  3.6E-07  -3.9 0/0 3A
+  6628.81 |    6628.900  Al I       872483849      6  4.1E-06  -4.1 1/0 3A
+  6629.00 |    6629.100 [Ni IV]    1882211343     53  1.4E-07  -4.6 2/0 6 
   6628.93 |    6629.610  Mn III    1679946858      6  4.5E-08 -30.6 5/1 8  6452.250 -42.3
   6628.93 |    6629.780  Mn III    1679947884      6  4.4E-08 -38.3 3/1 8  6452.250 -42.3
   6628.93 |    6629.800  N  II      470857761    262  3.7E-07 -39.2 0/0 6 
   6628.81 |    6629.689$ Si I       939857946      7  4.6E-07 -39.8 0/0 6 
   6628.93 |    6630.064  Fe II]    1746160829     23  2.4E-07 -51.2 3/0 * 
   6628.93 |    6630.070$ V  II     1544881394      6  7.7E-08 -51.4 0/0 8 
   6628.81 |    6630.010  Cr I]     1610633223     22  1.4E-07 -54.3 4/0 * 
   6628.91 |    6630.180 [V  I]     1543531521     54  2.3E-07 -57.5 8/0 * 
   6628.93 |    6630.450$ Ni II     1880606963      6  6.1E-08 -68.6 0/0 8 
   6628.93 |    6630.600$ Cr II     1612393958      6  9.1E-07 -75.4 0/0 7 
   6628.81 |    6630.500  S  I      1073920097    261  8.2E-06 -76.5 4/0 8 
   6629.00 |    6630.700  O  IV      540149854    261  9.1E-06 -77.0 2/0 8 
   6628.93 |    6630.710$ V  II     1544851692      6  8.0E-08 -80.4 0/0 8 
   6628.93 |    6630.724  Fe II     1746439489      7  2.2E-06 -81.0 2/0 9 
   6628.81 |    6630.676  Si I       939704336    263  4.9E-07 -84.4 5/1 8  6701.403 -94.6
   6628.81 |    6630.834  Mg I       805367815    263  3.1E-05 -91.6 0/0 6 
   6628.81 |    6630.872  P  I      1006844952      7  1.5E-07 -93.3 3/0 * 
   6628.81 |    6630.874  Mg I       805470216      7  2.8E-05 -93.4 0/0 6 
   6628.93 |    6631.110  C  II]     403748886     22  6.6E-08 -98.5 4/0 * 
   6629.00 |    6631.850* N  V       474018857    261  1.7E-06-129.0 0/0 7 
   6628.81 | >  6631.228 [Fe II]    1745914890     55  3.6E-03-109.4 7/0 0<

Observed Line:  6640.54  7.3E-04  S/N:     8.19 FWHM:  43.6
   6636.96 |    6636.154$ O  II      538133624      7  2.8E-06  36.6 0/0 7 
   6636.96 |    6636.206$ O  II      538132600      7  2.8E-06  34.3 0/0 7 
   6636.96 |    6636.300  N  III     471996508      5  7.2E-07  30.0 1/0 7 
   6636.90 |    6636.314  Fe II     1746323755      7  2.5E-06  26.4 */0 8 
   6636.90 |    6636.321  N  I]      469902362     23  2.3E-07  26.1 4/0 9 
   6636.90 |    6636.430  Cr II     1612181819      6  1.4E-06  21.2 4/1 6  6501.570  14.9
   6636.78 |    6636.320  Cr I      1610898520      6  6.2E-07  20.6 */0 8 
   6636.90 |    6636.550  Cr II     1612063997      6  1.9E-06  15.8 5/1 6  7009.940  10.0
+  6636.78 |    6636.500  C  I]      402755603     22  2.2E-07  12.5 2/0 7 
+  6636.87 |    6636.620 [Co I]     1811958787     38  1.6E-06  11.5 4/0 6 
+  6636.96 |    6636.980$ Ne II      672350290      6  3.9E-07  -0.7 0/0 4A
+  6636.96 |    6637.000  S  XV     1088441362    260  1.6E-06  -1.6 1/0 4A
+  6636.90 |    6636.938  N  I       469828624    263  6.5E-05  -1.8 7/0 4A
+  6636.90 |    6636.940$ V  II     1544879346      6  7.7E-08  -1.9 0/0 4A
+  6636.90 |    6636.945  Fe II     1746428232      7  2.1E-06  -2.1 5/0 5 
+  6636.90 |    6636.990  Cr II     1612126511      6  1.5E-06  -4.1 5/0 5 
+  6636.96 |    6637.279$ O  II      538133625      7  2.8E-06 -14.2 0/0 4A
   6636.96 |    6637.332$ O  II      538132601      7  2.8E-06 -16.6 0/0 5 
   6636.78 |    6637.150 [V  II]    1544619047     54  1.7E-05 -16.9 1/0 5 
   6636.78 |    6637.279$ Cl I      1140984850      7  1.6E-07 -22.7 0/0 6 
   6636.96 |    6637.600  N  IV      473012301    261  1.2E-06 -28.8 0/0 6 
   6636.78 |    6637.532  P  I      1006842906      7  1.5E-07 -34.2 2/0 * 
   6636.90 |    6637.730  V  II]    1544654910     22  1.4E-07 -37.6 4/0 * 
   6636.90 |    6637.780$ S  II     1075025031      6  2.6E-05 -39.8 0/0 6 
   6636.87 |    6637.810 [Co I]     1811956739     54  1.6E-06 -42.3 5/0 9 
   6636.90 |    6637.850$ S  II     1074972757      6  2.6E-05 -43.0 0/0 6 
   6636.87 |    6638.018  Ti I      1476729977      7  1.0E-07 -51.7 2/0 * 
   6636.78 |    6638.000  S  I      1073919073    261  8.2E-06 -55.3 5/0 8 
   6636.90 |    6638.142  Fe II]    1746117787     23  4.4E-07 -56.2 8/1 9  6469.525 -60.4
   6636.78 |    6638.027$ Fe I      1745593514      7  5.5E-07 -56.5 0/0 8 
   6636.90 |    6638.185  Fe II]    1746154686     23  2.4E-07 -58.1 4/0 * 
   6636.78 |    6638.079$ Cl I      1141005332      7  1.6E-07 -58.9 0/0 8 
   6636.90 |    6638.230$ N  II      471065706      6  3.6E-07 -60.2 0/0 8 
   6636.96 |    6638.300  N  III     472013938      5  7.2E-07 -60.4 3/0 9 
   6636.90 |    6638.370$ N  II      471066731      6  3.6E-07 -66.5 0/0 8 
   6636.90 |    6638.410  Cr II]    1611960517     22  1.0E-07 -68.3 4/0 * 
   6636.78 |    6638.381  Mg I       805468168      7  2.8E-05 -72.5 0/0 6 
   6636.78 |    6638.390  Co I      1812107335      6  1.2E-07 -72.9 2/0 * 
   6636.90 |    6638.590  Ni II     1880150050      6  1.7E-06 -76.4 1/0 8 
   6636.78 | >  6639.540 [Cr II]    1611713547     38  6.9E-04-124.9 4/0 0<

Observed Line:  6649.43  4.4E-04  S/N:    15.99 FWHM:  40.4
   6645.85 |    6645.009$ O  II      538132603      7  2.8E-06  37.9 0/0 7 
   6645.66 |    6645.060$ Cl I      1141210229      6  1.6E-07  27.1 0/0 7 
   6645.66 |    6645.110  Cr I      1610827856      6  7.1E-07  24.9 4/0 8 
   6645.76 |    6645.241  Ti I      1476770954      7  8.0E-08  23.4 5/0 9 
   6645.66 |    6645.210  Cr I      1610946662      6  5.5E-07  20.3 */1 7  6628.670   6.3
   6645.66 |    6645.240  Co I      1812109384      6  1.1E-07  19.0 5/0 8 
+  6645.78 |    6645.530$ V  II     1544849644      6  8.0E-08  11.5 0/0 5C
+  6645.85 |    6645.600  N  IV      473131199      5  1.2E-06  11.2 0/0 4B
+  6645.78 |    6645.730$ Cr II     1612396016      6  9.1E-07   2.4 0/0 3A
+  6645.78 |    6645.760  Cr II     1612225866      6  1.3E-06   1.1 2/0 5C
+  6645.78 |    6645.870  Ni II     1880403105      6  6.9E-08  -3.9 1/0 5C
+  6645.66 |    6645.910  Cr I      1610945638      6  5.5E-07 -11.3 */1 6  6628.670   6.3
+  6645.78 |    6646.040  Cr II]    1611772993     22  3.1E-06 -11.5 3/0 6 
   6645.78 |    6646.190$ V  II     1544871153      6  7.9E-08 -18.3 0/0 6 
   6645.66 |    6646.094  P  I      1006816278      7  1.5E-07 -19.6 5/0 8 
   6645.78 |    6646.280$ V  II     1544839405      6  8.2E-08 -22.4 0/0 7 
   6645.85 |    6646.357$ O  II      538130555      7  2.8E-06 -22.9 0/0 6 
   6645.66 |    6646.190  Cl I      1141213231      6  1.6E-07 -23.9 1/0 8 
   6645.78 |    6646.503  N  I       469827599    263  6.5E-05 -32.4 7/1 7  6656.509 -21.6
   6645.78 |    6646.540$ N  II      471065709      6  3.6E-07 -34.1 0/0 8 
   6645.78 |    6646.560  Ni II     1880289392      6  7.8E-08 -35.0 4/0 * 
   6645.76 |    6646.660  Ti I      1476732029      7  9.9E-08 -40.6 2/0 * 
   6645.78 |    6646.690  Cr II]    1611985111     22  8.7E-08 -40.9 3/0 * 
   6645.78 |    6646.850$ Cr II     1612396017      6  9.1E-07 -48.1 0/0 7 
