 EMILI Output File
 ------------------------------------
 Input Line List: zone-0-emi.in
 Input Matched List: zone-0-emi.match
 Results List: zone-0-emi.out
 Short Results List: zone-0-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       50.00
 Ni                         I     - XXIX        50.00
 Si                         I     - XV          50.00
 Ca                         I     - XXI         50.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    165.700958    
 irvcor 2:    170.145630    
 irvcor 3:    164.595108    
 irvcor 4:    161.649811    
 irvcor 5:    161.649811    

   4657.90 |    4659.358 [Cr II]    1611705346     55  8.6E-04 -94.0 */0 8 
   4657.98 | >  4659.700  O  I       537249974      6  4.3E-04-110.4 1/0 0<

Observed Line:  4704.80  3.3E-04  S/N:     1.41 FWHM:  37.9
+  4702.27 |    4701.711  O  II      538006575    263  2.8E-06  35.4 3/0 7 
+  4702.22 |    4701.689  Fe II]    1746070620     23  1.1E-06  33.9 3/0 7 
+  4702.22 |    4701.691  Cr II     1612239109      7  1.3E-06  33.8 8/0 7 
+  4702.27 |    4701.770  O  IV      540150872      6  9.1E-06  31.7 1/0 5 
+  4702.22 |    4702.100  Co II     1813191805      6  4.9E-07   7.7 3/0 6 
+  4702.13 |    4702.330  C  I       402892814      6  1.9E-04 -12.6 0/0 2A
+  4702.22 |    4702.530$ Ne I       671177734    648  6.0E-05 -19.8 0/0 2A
+  4702.22 |    4702.561  Cr II     1612264739      7  1.2E-06 -21.7 7/0 6 
+  4702.22 |    4702.592  Cr II     1612183801      7  1.4E-06 -23.7 4/0 6 
+  4702.13 |    4702.598  Fe I      1745335402      8  6.1E-07 -29.7 4/0 6 
+  4702.22 |    4702.733  Mn II     1678921807      7  9.0E-06 -32.7 5/0 6 
+  4702.22 |    4702.820$ Ar I      1208386572      6  1.8E-06 -38.3 0/0 5 
+  4702.27 |    4703.000 [Zn VI]    2018515971     53  1.7E-06 -46.8 7/0 7 
+  4702.13 |    4702.991  Mg I       805339141    264  3.4E-05 -54.7 0/0 4C
+  4702.27 |    4703.161  O  II      537999397    263  2.8E-06 -57.1 2/0 7 
   4702.22 |    4703.267  O  I]      537044012     24  6.1E-07 -66.8 2/0 8 
   4702.22 |    4703.288  O  I       537044013      8  4.4E-04 -68.1 2/0 6 
   4702.22 |    4703.300  O  I       537159837      5  4.3E-04 -68.9 0/0 4C
   4702.27 |    4703.420  C  III     404905053      6  2.4E-06 -73.6 0/0 6 
   4702.22 |    4703.497  V  II]    1544621076     23  4.8E-07 -81.4 7/0 8 
   4702.22 |    4703.850  O  I       537246902      6  4.3E-04-103.9 1/0 6 
   4702.22 |    4704.028  Cl II     1142024252      7  5.2E-07-115.3 4/0 9 
   4702.27 |    4704.092$ O  II      538157146      7  2.8E-06-116.4 0/0 7 
   4702.22 |    4704.394  O  I]      537042988     24  6.1E-07-138.6 2/0 * 
   4702.22 |    4704.395$ Ne I       671176710    648  6.0E-05-138.7 0/0 6 
   4702.22 |    4704.410  O  I       537246904      6  4.3E-04-139.6 2/0 8 
   4702.22 |    4704.415  O  I       537042989      8  4.4E-04-140.0 2/0 8 
   4702.27 |    4704.600 [Co VII]   1818236929     53  6.1E-06-148.8 7/1 8  4758.100-121.9
   4702.27 |    4704.800  N  III     472111301      5  7.2E-07-161.6 0/0 8 
   4702.22 |    4705.026  Cr II     1611984049      7  3.7E-06-178.9 7/0 * 
   4702.13 |    4704.948  Fe I      1745141839      8  8.0E-07-179.5 8/0 * 
   4702.13 |    4704.984  Cr I      1611049048      7  4.5E-07-181.8 */0 * 
   4702.27 |    4705.346  O  II      537973788    264  2.8E-06-196.4 2/0 * 
   4702.22 |    4705.470$ Ar I      1208385548      6  1.8E-06-207.2 0/0 8 
   4702.22 |    4705.490  O  I       537246903      6  4.3E-04-208.5 2/0 8 
   4702.22 |    4705.594  O  I]      537041964     24  6.1E-07-215.1 1/0 9 
   4702.22 |    4705.615  O  I       537041965      8  4.4E-04-216.4 1/0 7 
   4702.27 |    4706.100  C  IV      405862432      5  3.8E-06-244.4 0/0 8 
   4702.13 |    4706.211  Cr I      1610910779      7  6.0E-07-260.0 1/0 9 
   4702.22 |    4706.300  N  I       470020114    261  6.0E-05-260.1 1/0 7 
   4702.22 |    4706.380 [Mn III]   1679901740     54  6.3E-07-265.2 3/0 * 
   4702.22 |    4706.510$ Ar I      1208301576      6  1.9E-06-273.4 0/0 8 
   4702.13 |    4706.760$ Si I       939658250      8  5.0E-07-294.9 0/0 8 
   4702.22 | >  4707.513$ S  II     1074909239      7  2.6E-05-337.3 0/0 0<

Observed Line:  4714.53  5.5E-03  S/N:     4.60 FWHM:  67.0
   4711.94 |    4710.739* Al II      873553948    263  4.9E-06  76.8 0/0 8 
   4711.94 |    4711.400  N  I       470018063    261  6.0E-05  34.7 3/0 7 
   4711.94 |    4711.460 [Mn III]   1679851535     54  4.1E-05  30.9 6/0 7 
+  4711.94 |    4711.637  Cr II     1612280167      7  1.0E-06  19.6 4/0 7 
+  4711.94 |    4711.820$ Ar I      1208383500      6  1.8E-06   7.9 0/0 4C
+  4711.99 |    4711.900 [Ne IV]     674239490     37  7.4E-05   5.8 2/0 5 
+  4711.86 |    4711.828 [Cr II]    1611706373     55  8.5E-04   1.9 */0 4C
+  4711.94 |    4712.063$ Ne I       671224839      8  6.0E-05  -7.5 0/0 3A
+  4711.94 |    4712.133$ Ne I       671298574      7  6.0E-05 -12.0 0/0 3A
+  4711.94 |    4712.145$ Ne I       671223815      8  6.0E-05 -12.7 0/0 4C
+  4711.86 |    4712.105  Fe I      1745019952      8  1.1E-06 -15.8 4/0 7 
+  4711.94 |    4712.210$ Ar I      1208298504      6  1.9E-06 -16.9 0/0 5 
+  4711.94 |    4712.210$ Ar I      1208299528      6  1.9E-06 -16.9 0/0 5 
   4711.86 |    4712.600* S  I      1073967155      5  8.1E-06 -47.2 0/0 7 
   4711.94 |    4712.800  O  I       537259196      6  4.3E-04 -54.4 1/0 7 
   4711.94 |    4713.000  Cr II     1612172535      7  1.4E-06 -67.2 4/0 * 
   4711.86 |    4712.971 [Mn II]    1678784514     39  4.8E-04 -70.9 1/0 7 
   4711.94 |    4713.193  Fe II]    1745957915     24  1.4E-05 -79.4 1/0 8 
   4711.94 |    4713.224* He I       134236164    265  1.0E-04 -81.4 0/0 6 
   4711.94 |    4713.258  Cr II     1611834450      7  2.7E-05 -83.6 2/0 9 
   4711.94 |    4713.530 [Co III]   1814052871     54  2.1E-04-100.9 1/0 7 
   4711.86 |    4713.756 [V  II]    1544610829     39  2.5E-05-120.8 4/0 9 
   4711.94 |    4713.880$ Ar I      1208410125      6  1.8E-06-123.2 0/0 8 
   4711.94 | >  4714.700  O  I       537140371      5  4.3E-04-175.3 0/0 0<

Observed Line:  4742.76  4.2E-03  S/N:    21.67 FWHM:  57.6
   4740.21 |    4739.650* Mg II      806401035    263  8.4E-05  35.1 0/0 5D
   4740.21 |    4739.662  C  III     404813865    263  2.4E-06  34.4 2/0 9 
+  4740.16 |    4740.094  Mn II     1678916684      7  9.5E-06   4.1 6/0 5D
+  4740.21 |    4740.160 [Ar IV]    1211107329     54  1.3E-04   2.9 1/0 3A
+  4740.16 |    4740.130  Mn II     1679120605      6  6.6E-07   1.8 4/0 6 
+  4740.21 |    4740.206$ O  II      538166371      7  2.8E-06  -0.0 0/0 4B
+  4740.21 |    4740.230  N  IV      473122986      6  1.2E-06  -1.5 2/0 6 
+  4740.21 |    4740.250  N  IV      472951834    262  1.2E-06  -2.8 6/0 6 
+  4740.07 |    4740.340  Fe I      1745017905      8  1.1E-06 -17.0 6/0 7 
+  4740.21 |    4740.480  N  III     472032400    262  7.2E-07 -17.4 7/0 7 
   4740.16 |    4740.477* O  I       537137300      6  4.3E-04 -20.1 0/0 4B
   4740.16 |    4740.730$ Ar I      1208385549      6  1.8E-06 -36.1 0/0 7 
   4740.16 |    4740.900  N  I       470036500      5  6.0E-05 -46.9 2/0 8 
   4740.16 |    4740.917  K  I      1275123714      8  4.5E-07 -47.9 1/0 9 
   4740.16 |    4740.926  Co II     1813051423      7  3.4E-05 -48.5 3/0 9 
   4740.07 |    4741.094  Cr I      1611067488      7  4.4E-07 -64.7 5/0 * 
   4740.21 |    4741.704  O  II      537972764    264  2.8E-06 -94.8 2/0 * 
   4740.16 | >  4741.896* O  I       537018380      6  5.0E-04-109.9 0/0 0<

Observed Line:  4758.73  3.5E-04  S/N:     2.36 FWHM:  70.3
+  4756.12 |    4755.575  Cl II     1141956629      7  5.3E-07  34.4 6/0 7 
+  4756.12 |    4755.600$ Ar I      1208371212      5  1.8E-06  32.8 0/0 5D
+  4756.12 |    4755.727  Mn II     1678880824      7  1.7E-05  24.8 2/0 6 
+  4756.12 |    4755.969$ Fe II     1746387195      7  2.3E-06   9.6 0/0 4B
+  4756.12 |    4756.008$ S  II     1075028099      7  2.6E-05   7.1 0/0 3A
+  4756.03 |    4756.137  Cr I      1610820640      7  7.3E-07  -6.6 2/0 6 
+  4756.12 |    4756.590 [Mn III]   1679844354     54  1.7E-04 -29.6 3/0 5D
   4756.12 |    4756.750  Mn II     1678934100      7  7.3E-06 -39.7 5/0 7 
   4756.12 |    4756.793* O  I       537006092      6  5.0E-04 -42.4 0/0 4B
   4756.12 |    4756.884  Fe II]    1746054230     24  1.5E-06 -48.1 4/0 8 
   4756.12 |    4756.891  Cl II     1142136930      7  5.2E-07 -48.6 5/0 8 
   4756.12 |    4756.936  Mn II     1678933076      7  7.3E-06 -51.4 4/0 7 
   4756.03 |    4757.004  Cr I      1610930236      7  5.8E-07 -61.3 4/0 9 
   4756.03 |    4757.579  Cr I      1610929212      7  5.8E-07 -97.5 4/0 * 
   4756.03 |    4757.580  Fe I      1745306723      8  6.4E-07 -97.6 5/0 * 
   4756.12 |    4757.895  Cr II     1612171512      7  1.4E-06-111.9 4/0 * 
   4756.12 |    4757.918  Mn II     1678933077      7  7.3E-06-113.3 2/0 9 
   4756.17 |    4758.100 [Co VII]   1818235905     53  6.3E-06-121.9 7/1 8  4704.600-148.8
   4756.12 |    4758.083  Fe II     1746109550      8  2.0E-05-123.7 3/0 9 
   4756.12 |    4758.170  Co II     1813189755      6  5.4E-07-129.2 6/0 * 
   4756.12 |    4758.239  Cr II     1612096738      7  1.7E-06-133.6 3/0 * 
   4756.12 |    4758.298  Mn II     1678917710      7  9.5E-06-137.3 3/0 9 
   4756.12 |    4758.470 [Co III]   1814077464     54  3.8E-06-148.1 7/0 * 
   4756.03 |    4758.600* S  I      1073961011      5  8.2E-06-161.9 0/0 7 
