 5520.66  2.3E-03  | [Cl III]  5517.72, 
 5540.65  1.9E-03  | [Cl III]  5537.89, 
 5580.54  5.6E-04  | [O I]  5577.34, 
 5749.85  7.6E-04  | [Fe II]  5746.97, 
 5757.66  4.5E-03  | [N II]  5754.64, 
 5869.92  1.8E-03  | O I  5867.12, 
 5878.78  8.0E-02  | [Fe III]  5875.61, He I  5875.66, 
 5961.06  5.5E-03  | Si I  5957.64, 
 5982.08  7.0E-03  | Si II  5978.93, Ni II  5978.95, 
 6032.88  1.7E-04  | Ni II  6029.52, Si I  6029.62, Si I  6029.64, Si I  6029.78, Ne I  6030.00, 
 6040.47  2.6E-04  | Si I  6037.07, Fe I  6037.10, Si I  6037.22, 
 6049.60  6.5E-03  | O I  6046.39, 
 6087.34  1.6E-04  | Fe I  6084.05, 
 6225.34  2.8E-04  | C II  6221.90, 
 6251.82  5.3E-04  | C I  6248.66, 
 6266.13  1.5E-04  | Si I  6262.74, Fe I  6262.99, S II  6263.17, 
 6274.61  1.0E-03  | Si I  6271.17, 
 6303.67  3.9E-02  | [O I]  6300.30, 
 6315.35  1.6E-02  | [S III]  6312.10, 
 6321.91  1.1E-03  | Fe II  6317.98, 
 6350.40  7.7E-03  | Si II  6347.11, 
 6367.25  1.4E-02  | [O I]  6363.78, 
 6374.68  8.7E-03  | Si II  6371.37, 
 6387.89  3.0E-04  | Fe II  6383.72, Fe II  6384.10, C II  6384.30, 
 6437.00  5.0E-04  | C I  6433.64, 
 6460.22  9.4E-04  | Fe II  6456.38, 
 6460.28  9.7E-04  | Fe II  6456.38, Fe I  6456.62, 
 6470.76  7.5E-04  | [Fe II]  6466.58, [Ni II]  6467.29, 
 6488.09  1.6E-04  | [Fe II]  6485.28, 
 6495.09  2.3E-04  | Fe II  6491.25, 
 6505.60  1.7E-04  | O II  6502.19, 
 6520.17  1.3E-03  | Si II  6516.54, Fe II  6517.02, 
 6532.49  1.7E-04  | Fe I  6528.67, Fe I  6528.75, 
 6551.49  6.6E-02  | [N II]  6548.04, 
 6566.29  3.4E+00  | H I  6562.80, 
 6586.90  1.6E-01  | [N II]  6583.46, 
 6619.82  6.7E-05  | Si I  6616.13, 
 6631.20  1.4E-03  | Fe I  6627.19, Fe II  6627.26, O II  6627.36, O II  6627.38, Ni II  6627.92, Fe I  6628.23, S II  6628.34, 
 6641.36  1.9E-03  | S II  6637.78, S II  6637.85, Fe I  6638.03, 
 6649.49  2.5E-04  | Ni I  6645.96, 
 6659.62  1.0E-04  | Fe II]  6656.00, 
 6670.86  2.1E-03  | [Ni II]  6666.80, 
 6681.69  1.9E-02  | He I  6678.15, Ne I  6678.28, 
 6703.44  1.4E-04  | Fe II  6699.77, 
 6720.07  1.7E-01  | [S II]  6716.44, 
 6734.41  1.4E-01  | [S II]  6730.81, 
 6780.57  3.1E-04  | Ni II  6776.84, Al II  6777.09, Ni II  6777.10, 
 6795.10  4.7E-05  | [Ni II]  6791.48, 
 6841.78  6.2E-05  | Si I  6838.37, 
 6851.46  2.4E-04  | S II  6847.38, Fe I  6847.43, Cr II  6847.82, [Ni II]  6848.42, 
 6991.15  3.7E-04  | Si I  6987.10, 
 7005.88  4.7E-03  | O I  7002.12, 
 7013.47  5.1E-04  | [Co II]  7009.89, 
 7019.68  3.4E-04  | Si I  7016.04, 
 7031.55  6.8E-04  | Ni II  7027.68, Ni II  7027.72, S II  7027.80, S II  7027.84, 
 7042.71  3.2E-04  | Ni II  7038.90, S I  7039.00, O III  7039.00, Fe II  7039.16, 
 7047.06  2.5E-04  | Ni II  7043.11, 
 7061.18  7.4E-04  | Cr II  7057.45, 
 7069.02  1.8E-02  | He I  7065.37, 
 7082.46  2.4E-04  | [Fe III]  7078.10, 
 7096.37  6.7E-04  | [Fe II]  7093.97, 
 7109.39  2.7E-04  | Fe I  7105.32, Si I  7105.42, Ni II  7105.46, Ca I  7105.34, Al II  7105.79, 
 7115.14  4.1E-04  | C I  7111.47, 
 7139.61  5.1E-02  | [Ar III]  7135.80, 
 7147.66  3.7E-04  | Cr I  7143.86, C IV  7144.10, C II  7144.24, 
 7158.88  2.8E-03  | [Fe II]  7155.16, 
 7174.14  2.9E-04  | [Fe II]  7172.00, 
 7182.27  3.3E-04  | Si I  7177.90, [V II]  7178.58, Fe II  7179.16, 
 7188.61  1.3E-03  | C IV  7184.90, 
 7202.62  5.4E-04  | Fe I  7198.54, 
 7227.28  4.5E-04  | [Fe II]  7223.18, 
 7241.82  2.5E-04  | C I  7237.19, Fe I  7237.87, Cr II  7238.01, 
 7258.34  9.4E-03  | 
 7267.74  7.9E-04  | Fe II  7263.28, 
 7285.11  6.0E-03  | [Fe II]  7281.63, 
 7293.30  1.8E-03  | [Fe II]  7288.97, 
 7311.02  5.8E-04  | [Cr III]  7307.09, Fe I  7307.16, Ne I  7307.40, [Ni II]  7307.65, 
 7323.79  1.2E-01  | [O II]  7319.99, 
 7334.11  7.3E-02  | [Fe II]  7330.22, 
