 EMILI Output File
 ------------------------------------
 Input Line List: zone-IV-emi.in
 Input Matched List: zone-IV-emi.match
 Results List: zone-IV-emi.out
 Short Results List: zone-IV-emi.dat
 Abundance Table: abun_smc.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999975E-05
 ix 2:   0.500000000    
 ix 3:   0.500000000    
 ix 4:    2.00000009E-03
 ix 5:    1.99999999E-06

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       10.00
 Ni                         I     - XXIX        10.00
 Si                         I     - XV          10.00
 Ca                         I     - XXI         10.00
 Mg                         I     - XIII        10.00
 Ti                         I     - XXIII       10.00
 Al                         I     - XIV         10.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    166.845306    
 irvcor 2:    166.845306    
 irvcor 3:    173.786911    
 irvcor 4:    160.211288    
 irvcor 5:    160.211288    

+  4740.23 |    4740.377$ Ne II      672448603      7  4.9E-05  -9.4 0/0 4C
+  4740.23 |    4740.480  N  III     472032400    262  1.3E-05 -15.9 7/0 7 
   4740.01 |    4740.477* O  I       537137300      6  1.6E-04 -29.3 0/0 5D
   4740.23 |    4741.193$ Ne II      672446555      7  4.9E-05 -61.1 0/0 8 
   4740.23 |    4741.249$ Ne II      672445531      7  4.9E-05 -64.6 0/0 8 
   4740.23 |    4741.704  O  II      537972764    264  2.5E-04 -93.4 2/0 9 
   4740.01 | >  4741.896* O  I       537018380      6  1.7E-04-119.1 0/0 0<

Observed Line:  4863.97  1.0E+00  S/N:    27.49 FWHM:  56.0
+  4861.27 |    4861.325  H  I        67129350      7  1.0E+00  -3.6 0/0 1A
   4861.15 | >  4863.590 [Mn IV]    1680873474     38  2.3E-03-150.2 3/0 0<

Observed Line:  4924.65  1.0E-02  S/N:    25.97 FWHM:  56.4
+  4921.80 |    4921.931  He I       134244359    265  8.2E-02  -8.1 0/0 1A
+  4921.80 |    4921.960 [Fe III]   1746954247     38  3.6E-03  -9.8 1/0 5B
   4921.80 |    4922.600  O  I       537136285      5  1.6E-04 -48.8 0/0 8C
   4921.80 | >  4923.927  Fe II     1745957924      8  7.0E-04-129.7 2/0 0<

Observed Line:  4935.07  1.0E-03  S/N:     8.45 FWHM:  64.8
   4932.21 |    4931.827* O  I       537125014      6  1.6E-04  23.5 0/0 4 
+  4932.44 |    4932.120  Fe III    1747409262    262  3.4E-06  19.2 4/0 6 
+  4932.44 |    4932.134$ Ne II      672432194      7  4.9E-05  18.3 0/0 3A
+  4932.33 |    4932.049  C  I       402706442    263  5.4E-05  16.9 0/0 3A
+  4932.33 |    4932.084  Fe I      1745467512      8  5.3E-07  14.8 6/0 7 
+  4932.44 |    4932.195$ Ne II      672431170      7  4.9E-05  14.6 0/0 3A
+  4932.21 |    4932.080$ Fe II     1746364669      7  5.3E-06   8.1 0/0 3A
+  4932.21 |    4932.248$ S  II     1074987083      7  8.9E-06  -2.1 0/0 3A
+  4932.44 |    4932.480$ O  III     539104357      6  4.0E-06  -2.7 0/0 3A
   4932.33 |    4932.978  Fe I      1745035324      8  5.5E-07 -39.6 5/0 9 
   4932.21 |    4932.923  Mn III    1679981676      7  4.0E-07 -43.2 5/0 * 
   4932.21 |    4932.925  Mn III    1680122107      7  3.9E-07 -43.3 4/0 * 
   4932.44 |    4933.181$ Ne II      672483566      7  4.9E-05 -45.3 0/0 6 
   4932.21 |    4933.090$ Ar I      1208361998      6  6.7E-07 -53.3 0/0 8 
   4932.44 |    4933.380  Fe III    1747408238    262  3.4E-06 -57.4 5/0 9 
   4932.33 |    4933.300  S  I      1073982526      5  1.4E-06 -59.2 1/0 9 
   4932.21 |    4933.209  Ar II     1209039881    265  2.2E-06 -60.6 6/0 * 
   4932.33 |    4933.341  Fe I      1745286241      8  5.3E-07 -61.7 */0 * 
   4932.21 |    4933.300$ N  II      471008335      6  1.3E-05 -66.1 0/0 7 
   4932.21 |    4933.550  N  I       469986321    262  4.3E-06 -81.3 6/0 9 
   4932.21 |    4933.570  N  I       469985297    262  4.3E-06 -82.5 7/0 9 
   4932.21 |    4933.585  Co II]    1813044260     23  3.2E-07 -83.4 2/0 * 
   4932.21 |    4933.600  N  I       469987345    262  4.3E-06 -84.3 4/0 9 
   4932.44 |    4933.826$ O  II      538160236      7  2.5E-04 -84.5 0/0 6 
   4932.44 |    4933.900 [Zn VI]    2018515972     53  1.0E-06 -89.0 7/0 * 
   4932.44 |    4934.007$ O  II      538160237      7  2.5E-04 -95.5 0/0 6 
   4932.21 | >  4934.470 [Fe III]   1746974749     54  2.1E-04-137.2 5/0 0<

Observed Line:  4961.60  1.8E+00  S/N:    27.02 FWHM:  51.8
+  4958.95 |    4958.911 [O  III]    538972162     39  2.1E+00   2.5 1/1 0A 5006.843   1.4
   4958.73 | >  4960.526 [Cr III]   1612761121     55  2.8E-05-108.7 7/0 0<

Observed Line:  5009.54  5.5E+00  S/N:    41.04 FWHM:  50.9
+  5006.76 |    5006.624 [Fe II]    1745904644     40  6.6E-03   7.9 5/0 5B
+  5006.87 |    5006.843 [O  III]    538972163     39  2.1E+00   1.4 1/1 0A 4958.911   2.5
   5006.87 | >  5009.720$ O  II      538178739      6  2.5E-04-170.9 0/0 0<

Observed Line:  5018.46  1.7E-02  S/N:    30.25 FWHM:  51.9
   5015.78 |    5015.118$ O  II      538175664      7  2.5E-04  39.7 0/0 8D
   5015.78 |    5015.339  O  II      537967646    263  2.5E-04  26.5 3/0 8D
   5015.78 |    5015.387  O  II      538169486    263  2.5E-04  23.6 1/0 7C
+  5015.78 |    5015.626$ O  II      538160251      7  2.5E-04   9.3 0/0 5B
+  5015.55 |    5015.678  He I       134235139    264  8.2E-02  -7.4 0/0 1A
   5015.55 |    5016.082  C  II      403833892    263  3.5E-04 -31.5 3/0 8D
   5015.55 |    5016.233  C  II      403833893    263  3.5E-04 -40.6 3/0 * 
   5015.55 | >  5018.440  Fe II     1745956900      8  7.2E-04-172.5 2/0 0<

Observed Line:  5044.84  9.6E-04  S/N:     6.52 FWHM:  77.9
   5042.15 |    5041.560 [Ni IV]    1882202113     38  1.1E-03  34.9 3/0 7B
+  5041.92 |    5041.776  C  II      403855486    263  3.5E-04   8.5 4/0 5A
   5041.92 |    5042.280  N  II      471076955      6  1.3E-05 -21.5 4/0 8C
   5042.04 |    5043.145 [Co II]    1813035032     55  1.6E-05 -66.0 1/0 9 
   5042.15 |    5043.260 [Fe V]     1749049352     38  1.7E-05 -66.2 1/0 9 
   5042.15 |    5043.277$ Ne II      672432199      7  4.9E-05 -67.2 0/0 8C
   5042.15 |    5043.341$ Ne II      672431175      7  4.9E-05 -71.0 0/0 8C
   5041.92 |    5043.200$ N  II      470996030      6  1.3E-05 -76.2 0/0 8C
   5042.04 |    5043.520 [Fe II]    1745913865     40  5.4E-03 -88.2 9/0 8C
   5041.92 |    5043.565  C  II      403854460    263  3.5E-04 -97.9 7/1 8C 5049.242 -93.6
   5042.04 |    5043.761  C  I       402864143    263  5.4E-05-102.6 6/0 9 
   5041.92 | >  5044.356  C  II      403855487    263  3.5E-04-144.9 2/0 0<

Observed Line:  5050.59  1.6E-03  S/N:    11.32 FWHM:  39.0
+  5047.67 |    5047.738  He I       134237191    264  8.2E-02  -4.3 0/0 1A
+  5047.67 |    5047.747* O  I       536970252    262  1.7E-04  -4.8 0/0 4B
+  5047.67 |    5047.831  C  II      403853436    263  3.5E-04  -9.8 7/1 6C 5041.776   8.5
   5047.78 |    5048.193 [Fe II]    1745942547     40  1.2E-03 -24.4 2/0 7D
