 EMILI Output File
 ------------------------------------
 Input Line List: zone-II-emi.in
 Input Matched List: zone-II-emi.match
 Results List: zone-II-emi.out
 Short Results List: zone-II-emi.dat
 Abundance Table: abun_smc.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.500000000    
 ix 3:   0.500000000    
 ix 4:    9.99999975E-05
 ix 5:    1.00000001E-10

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       10.00
 Ni                         I     - XXIX        10.00
 Si                         I     - XV          10.00
 Ca                         I     - XXI         10.00
 Mg                         I     - XIII        10.00
 Ti                         I     - XXIII       10.00
 Al                         I     - XIV         10.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    168.084412    
 irvcor 2:    171.733643    
 irvcor 3:    168.896362    
 irvcor 4:    161.530304    
 irvcor 5:    161.530304    

Observed Line:  4651.74  6.5E-04  S/N:     2.88 FWHM:  79.1
+  4649.24 |    4648.807  Fe III    1747372344    263  3.4E-06  27.7 1/0 6 
+  4649.08 |    4648.673 [Co II]    1813027859     55  2.2E-05  26.2 0/0 4 
+  4649.12 |    4648.720  O  I       537157784      6  1.6E-04  26.0 0/0 3B
+  4649.24 |    4648.950  Ne II      672247860    263  4.9E-05  18.5 0/0 3B
+  4649.08 |    4648.849  Cr I      1610755082      7  5.0E-07  14.8 0/0 4 
+  4649.08 |    4648.877  Fe I      1745355882      8  1.3E-06  13.1 */0 3B
+  4649.24 |    4649.135  O  II      537941005    264  2.5E-04   6.6 0/0 2A
+  4649.08 |    4648.985  Fe I      1745305693      8  1.4E-06   6.1 7/0 6 
+  4649.24 |    4649.270  Fe III    1747371320    263  3.4E-06  -2.1 1/0 5 
+  4649.12 |    4649.212  S  II     1074914360    263  8.9E-06  -5.8 0/0 3B
+  4649.08 |    4649.448  Cr I      1610755083      7  5.0E-07 -23.8 0/0 5 
+  4649.24 |    4649.619  Fe III    1747374393    263  3.4E-06 -24.7 3/0 7 
   4649.12 |    4649.770  N  II      471162152      6  1.3E-05 -41.8 0/0 5 
   4649.12 |    4649.800  O  I       537272511      5  1.5E-04 -43.7 0/0 4 
   4649.12 |    4649.960  O  I       537157785      6  1.6E-04 -54.0 0/0 5 
   4649.24 |    4650.246  C  III     404765707    263  3.5E-04 -65.1 0/0 5 
   4649.08 |    4650.100  S  I      1073982515      5  1.4E-06 -65.9 0/0 7 
   4649.08 |    4650.200  S  I      1073982517      5  1.4E-06 -72.3 0/0 8 
