 EMILI Output File
 ------------------------------------
 Input Line List: zone-III-emi.in
 Input Matched List: zone-III-emi.match
 Results List: zone-III-emi.out
 Short Results List: zone-III-emi.dat
 Abundance Table: abun_smc.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    1.00000005E-03
 ix 2:   0.500000000    
 ix 3:   0.500000000    
 ix 4:    9.99999975E-05
 ix 5:    1.00000001E-10

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       10.00
 Ni                         I     - XXIX        10.00
 Si                         I     - XV          10.00
 Ca                         I     - XXI         10.00
 Mg                         I     - XIII        10.00
 Ti                         I     - XXIII       10.00
 Al                         I     - XIV         10.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    217.264297    
 irvcor 2:    168.675568    
 irvcor 3:    169.886063    
 irvcor 4:    169.375748    
 irvcor 5:    169.375748    

Observed Line:  4610.21  7.5E-05  S/N:     1.54 FWHM:  57.7
Observed Line:  4652.59  9.9E-04  S/N:     7.67 FWHM:  78.7
   4649.96 |    4649.619  Fe III    1747374393    263  3.4E-06  22.3 */0 8 
+  4649.96 |    4649.770  N  II      471162152      6  1.3E-05  12.1 1/0 5C
+  4649.96 |    4649.800  O  I       537272511      5  1.6E-04  10.1 0/0 2A
+  4649.96 |    4649.960  O  I       537157785      6  1.6E-04  -0.2 2/0 4B
+  4649.98 |    4650.167* S  I      1073982515      5  1.4E-06 -12.4 0/0 5C
+  4649.96 |    4650.246  C  III     404765707    263  3.5E-04 -18.2 2/0 5C
+  4649.98 |    4650.315  Fe I      1745326185      8  6.0E-07 -21.9 1/0 6 
   4649.96 |    4650.750  P  III    1008818228      7  5.4E-07 -51.2 1/0 9 
   4649.96 |    4650.838  O  II      537937931    264  2.5E-04 -56.4 7/0 8 
   4649.96 |    4650.920  N  II      471104660      6  1.3E-05 -62.1 6/0 9 
   4649.96 |    4650.928  Fe III    1747374394    263  3.4E-06 -62.2 */0 * 
   4649.96 |    4651.016  C  III     404797462    263  3.5E-04 -67.8 4/1 7  4659.058 -53.9
   4649.96 |    4651.148 [Cr III]   1612768291     39  2.4E-05 -76.8 3/0 9 
   4649.96 |    4651.172 [Cr III]   1612767267     39  2.4E-05 -78.4 2/0 9 
   4649.98 |    4651.291 [Mn II]    1678807045     39  8.2E-05 -84.9 4/0 8 
   4649.96 |    4651.326$ O  II      538158168      7  2.5E-04 -87.8 0/0 6 
   4649.96 |    4651.378$ Ar I      1208170502      7  6.7E-07 -91.6 0/0 8 
   4649.96 |    4651.473  C  III     404764683    263  3.5E-04 -97.3 2/0 8 
   4649.96 |    4651.635  Fe III    1747458485    263  3.4E-06-107.7 2/0 * 
   4649.96 | >  4652.559  C  II      403840037      7  3.5E-04-167.8 2/0 0<

Observed Line:  4660.85  7.1E-04  S/N:     5.35 FWHM:  67.7
   4658.23 |    4657.788 [Mn II]    1678808070     39  8.1E-05  28.5 6/0 8D
+  4658.21 |    4658.050 [Fe III]   1746939905     38  2.5E-02  10.5 2/1 1A 4701.530  13.9
   4658.22 |    4659.031$ O  II      538036281      7  2.5E-04 -52.2 0/0 7B
   4658.22 |    4659.058  C  III     404796438    263  3.5E-04 -53.9 5/1 8D 4651.016 -67.8
   4658.23 |    4659.358 [Cr II]    1611705346     55  2.6E-04 -72.6 */0 9 
   4658.21 |    4659.700  O  I       537249974      6  1.6E-04 -95.8 1/0 9 
   4658.21 |    4659.700  O  I       537250998      6  1.6E-04 -95.8 1/0 9 
   4658.22 |    4659.891$ O  II      538157144      7  2.5E-04-107.6 0/0 7B
   4658.21 | >  4661.504  C  II      403839012      7  3.5E-04-211.8 2/0 0<

Observed Line:  4704.41  3.7E-04  S/N:     3.33 FWHM:  21.0
+  4701.75 |    4701.530 [Fe III]   1746940930     38  2.4E-02  13.9 5/3 0A 4658.050  10.5 4769.430  42.7 4754.690 -11.5
+  4701.77 |    4701.580  C  I       402894862      6  5.4E-05  11.9 0/0 4B
+  4701.76 |    4701.711  O  II      538006575    263  2.5E-04   2.9 3/0 5C
   4701.77 |    4702.330  C  I       402892814      6  5.4E-05 -36.0 0/0 6D
   4701.76 |    4702.460 [Fe IV]    1748006933     38  1.0E-04 -44.9 4/0 8 
   4701.75 |    4702.530$ Ne I       671177734    648  3.0E-05 -49.9 0/0 7 
   4701.76 |    4702.660 [Fe IV]    1748006934     38  1.0E-04 -57.7 4/0 9 
   4701.76 |    4703.161  O  II      537999397    263  2.5E-04 -89.6 2/0 9 
   4701.75 |    4703.288  O  I       537044013      8  1.6E-04 -98.2 2/0 * 
   4701.75 |    4703.300  O  I       537159837      5  1.6E-04 -99.0 0/0 8 
   4701.76 |    4703.420  C  III     404905053      6  3.5E-04-106.1 0/0 7 
   4701.76 |    4703.690  Ne II      672476283      7  4.9E-05-123.4 3/0 * 
   4701.76 |    4703.718  Ne II      672475259      7  4.9E-05-125.1 3/0 * 
   4701.75 |    4703.850  O  I       537246902      6  1.6E-04-134.1 1/0 9 
   4701.76 |    4704.092$ O  II      538157146      7  2.5E-04-149.0 0/0 7 
   4701.76 | >  4705.346  O  II      537973788    264  2.5E-04-228.9 2/0 0<

Observed Line:  4715.14  4.4E-03  S/N:     2.13 FWHM:  59.4
+  4712.47 |    4712.800  O  I       537259196      6  1.6E-04 -20.9 1/0 5B
+  4712.49 |    4712.971 [Mn II]    1678784514     39  1.4E-04 -30.6 1/0 6C
   4712.47 |    4713.224* He I       134236164    265  8.2E-02 -47.9 0/0 3A
   4712.47 |    4713.530 [Co III]   1814052871     54  1.3E-04 -67.4 1/0 8 
   4712.47 |    4714.070  O  I       537259197      6  1.6E-04-101.7 2/0 * 
   4712.47 |    4714.600  O  I       537149591      6  1.6E-04-135.4 1/0 9 
   4712.47 |    4714.700  O  I       537140371      5  1.6E-04-141.8 0/0 7D
   4712.47 |    4714.800  O  I       537259198      6  1.6E-04-148.1 2/0 * 
   4712.47 | >  4716.330 [Fe III]   1746955277     38  3.0E-03-245.4 2/0 0<

Observed Line:  4742.90  2.7E-03  S/N:    11.27 FWHM:  62.3
+  4740.22 |    4740.160 [Ar IV]    1211107329     54  1.2E-02   4.0 1/0 2A
+  4740.22 |    4740.206$ O  II      538166371      7  2.5E-04   1.1 0/0 3B
+  4740.22 |    4740.377$ Ne II      672448603      7  4.9E-05  -9.7 0/0 4C
+  4740.22 |    4740.480  N  III     472032400    262  1.3E-05 -16.2 7/0 7 
+  4740.22 |    4740.477* O  I       537137300      6  1.6E-04 -16.5 0/0 4C
   4740.22 |    4741.193$ Ne II      672446555      7  4.9E-05 -61.3 0/0 8 
   4740.22 |    4741.249$ Ne II      672445531      7  4.9E-05 -64.9 0/0 8 
   4740.22 |    4741.704  O  II      537972764    264  2.5E-04 -93.7 2/0 9 
   4740.22 |    4741.896* O  I       537018380      6  1.7E-04-106.3 0/0 7 
   4740.22 | >  4741.930  O  I       537018379      6  1.7E-04-108.4 2/0 0<

Observed Line:  4757.20  6.8E-05  S/N:     1.99 FWHM:   2.2
+  4754.52 |    4754.280 [Ni IV]    1882204164     54  7.8E-04  14.9 1/0 4B
+  4754.51 |    4754.690 [Fe III]   1746939906     38  2.5E-02 -11.5 3/1 2A 4701.530  13.9
+  4754.53 |    4754.987 [Cr II]    1611706374     55  2.5E-04 -29.0 7/0 6C
   4754.52 |    4755.704  Ne II      672272440    263  4.9E-05 -74.9 3/0 9 
   4754.51 |    4756.590 [Mn III]   1679844354     54  1.0E-04-131.3 3/0 * 
   4754.51 |    4756.793* O  I       537006092      6  1.7E-04-144.2 0/0 8D
   4754.51 | >  4758.083  Fe II     1746109550      8  3.2E-05-225.4 3/0 0<

Observed Line:  4772.81  1.6E-04  S/N:     2.95 FWHM:  73.3
+  4770.13 |    4770.027  C  I       402702344    263  5.5E-05   6.3 5/0 6C
+  4770.11 |    4770.053* O  I       537000972      6  1.7E-04   3.5 0/0 3A
+  4770.11 |    4770.120* O  I       536999948      6  1.7E-04  -0.7 0/0 3A
   4770.11 |    4771.480 [Cr III]   1612775467     55  6.5E-06 -86.2 3/0 * 
