Index,Type,ID,blend,wave0,wave,e_wave,d_wave,vel,d_vel,flux,s_n
7,"Fe, Ni",[Fe III] 4607.12+,True,4607.12,4610.2133,0.8118802147843804,0.8864,201.28583807922,57.679425491673754,0.0074631654350737,1.5396359921543052
35,High Perm,O II 4641.81+,True,4641.81,4643.1571,0.7267553591824494,1.6513,87.00278989699846,106.64962286164231,0.0179646946638731,1.7199735567222585
42,High Perm,O II 4649.13+,True,4649.13,4652.5889,0.1630253494781648,1.2205,223.0421891786397,78.70218621311943,0.0985654931896056,7.667519217110599
49,"Fe, Ni",[Fe III] 4658.10,False,4658.1,4660.8501,0.23385907296360536,1.0513,176.99474866267104,67.6610229697516,0.0709894352741924,5.345099440270735
71,High Neb,He II  4685.68,False,4685.68,,-0.11251565435190528,,,,-0.0229795302855226,-11.109565217391754
83,"Fe, Ni",[Fe III] 4701.62,False,4701.62,4704.4052,0.37576184449335315,0.3293,177.5945214674256,20.997370357323646,0.0366599154026512,3.326575112184152
91,High Neb,[Ar IV] 4711.37+,True,4711.37,4715.141,0.587625409630338,0.9333,239.95512114691041,59.38746077073124,0.4420133909420527,2.1272054943749743
110,"Fe, Ni",[Fe III] 4734.00,False,4734.0,,1.3603866861919258,,,,0.0376385774127376,0.9188563903834382
114,High Neb,[Ar IV] 4740.17,False,4740.17,4742.8993,0.11093645466228563,0.9847,172.6148124686224,62.27743591318455,0.2703571155026968,11.267711806775042
126,"Fe, Ni",[Fe III] 4754.81,False,4754.81,4757.1989,0.6282255311194338,0.0342,150.62099282961387,2.1563221377089725,0.0068176649603359,1.9897312956584676
138,"Fe, Ni",[Fe III] 4769.53,False,4769.53,4772.8094,0.4242402464971731,1.1668,206.1291965382973,73.34010688566798,0.0159518437211422,2.9464436962803084
174,"Fe, Ni",[Fe II] 4814.534,False,4814.534,,-1.750123639960438,,,,-0.0036368668000412,-0.7142352525609313
211,Med Neb,H I 4861.32,False,4861.32,4864.0034,0.047096368354675885,0.9207,165.48243723868572,56.77859430784232,100.0,26.541324600369016
227,"Fe, Ni",[Fe III] 4881.073,False,4881.073,4884.346,0.46093749999999933,0.2226,201.02561773482358,13.67195310350818,0.0178425908290845,2.711864406779665
260,Med Neb,He I 4921.93,False,4921.93,4924.6649,0.062234159573862226,0.9824,166.58148193575306,59.83752526736463,1.1755604774773951,20.085432318186047
268,"Fe, Ni",[Fe III] 4930.64,False,4930.64,4933.9703,0.159109024305228,0.768,202.48868765054584,46.69588689176252,0.0555616268846922,7.856248289236272
289,Med Neb,[O III] 4958.91,False,4958.91,4961.663,0.046406754553418944,0.8339,166.4334776944753,50.413685815269886,146.8983794484866,26.93573407640738
311,"Fe, Ni",[Fe III] 4987.20+,True,4987.2,4988.7019,0.05842355049394328,0.9588,90.28278245714259,57.63574926419635,0.1653227358350733,21.39548160684939
328,Med Neb,[O III] 5006.84,False,5006.84,5009.6083,0.045396311012479026,0.9026,165.7563376263907,54.044601503303475,476.5381855635561,27.53527703289341
335,Med Neb,He I 5015.68,False,5015.68,5018.5114,0.07701089638196919,0.9783,169.23574980485378,58.47401781242024,2.446516207909595,16.23146929494339
356,Med Perm,Si II 5041.03,False,5041.03,5043.7684,0.449931307681944,0.7958,162.85395385214034,47.32660549062393,0.0543174767761249,2.778201869169824
360,Med Neb,He I 5047.74,False,5047.74,5050.5651,0.06396621665254972,0.8502,167.78670713939428,50.4945872393586,0.1855484173768589,19.54156530453759
367,Med Perm,Si II 5055.98,False,5055.98,5058.3728,0.4537385576182701,0.8954,141.8801881143834,53.092410747906435,0.0210243996170533,2.7548904077304006
428,Stellar,O I 5131.14,False,5131.14,,-1.2081759309228195,,,,-0.0033328952425699,-1.0346175321049764
441,Neutral,O I 5146.61,False,5146.61,5151.8866,0.2463842975206611,0.2399,307.364436761838,13.974288060334862,0.0130581864333824,5.073375262054508
449,"Fe, Ni",[Fe II] 5158.81,False,5158.81,,10.138809829179946,,,,0.0011799471043594,0.12328863259693897
475,Med Neb,[Ar  III] 5191.82,False,5191.82,5194.5719,0.2917134863661797,0.8502,158.90359549642736,49.093294411516574,0.0783519581621296,4.285026433199973
482,Neutral,[N I]  5199.00+,True,5199.0,,-0.7170575692963754,,,,-0.0421783019094791,-1.7432352066607193
498,Med Perm,Si II 5219.31 ,False,,,1.8978628279880276,,,,0.0056602756682656,0.6586355881816583
531,"Fe, Ni",[Fe II] 5261.61,False,5261.61,,1.2545111016052526,,,,0.0049679243526194,0.9964040959067798
539,"Fe, Ni",[Fe III] 5270.40+,True,5270.4,5273.3153,0.15351339534989417,1.0194,165.82896038395018,57.98581354075593,0.0541890707677093,8.14261190139758
576,Stellar,None,False,,,3.964814814814853,,,,0.0012140875816161,0.3152732368052282
589,"Fe, Ni",[Fe II] 5333.646,False,5333.646,,-1.862560911111245,,,,-0.0033038518922065,-0.6711189913538035
