Index,Type,ID,blend,wave0,wave,e_wave,d_wave,vel,d_vel,flux,s_n
7,"Fe, Ni",[Fe III] 4607.12+,True,4607.12,4608.3596,0.32926524491835846,0.7349,80.66269837485558,47.821085056217335,0.047758360836298,3.7963314358001505
35,High Perm,O II 4641.81+,True,4641.81,4643.4405,0.2648228920212614,1.5151,105.30624966743372,97.85311184986027,0.2167874978760972,4.720135749818952
42,High Perm,O II 4649.13+,True,4649.13,4651.9806,0.27162774873139167,1.2033,183.8168390160584,77.5930689637416,0.2142492934360713,4.601886242616931
49,"Fe, Ni",[Fe III] 4658.10,False,4658.1,4663.9481,0.7152740967439,2.0458,376.380127869641,131.66643278942055,0.1338417711295622,1.7475818091138784
71,High Neb,He II  4685.68,False,4685.68,4686.8494,0.8301094400473321,0.8762,74.81887375687853,56.05977183665977,0.076720528089346,1.5058255450374425
83,"Fe, Ni",[Fe III] 4701.62,False,4701.62,,-0.6256420206495551,,,,-0.0835589321005473,-1.997947642171194
91,High Neb,[Ar IV] 4711.37+,True,4711.37,4714.0325,0.14887789212840344,1.117,169.4193874446518,71.07660310822541,1.0649979822439015,8.396142517398799
110,"Fe, Ni",[Fe III] 4734.00,False,4734.0,,-0.5677353455616215,,,,-0.0802910909101776,-2.2017301014849813
114,High Neb,[Ar IV] 4740.17,False,4740.17,4742.7163,0.07670790060499036,0.9818,161.0409617809893,62.094025164582696,0.7795470089045955,16.29558350758304
126,"Fe, Ni",[Fe III] 4754.81,False,4754.81,4759.3469,1.012708047606437,0.2143,286.0531551628656,13.511691055878151,0.0583398916551522,1.2343142754265743
138,"Fe, Ni",[Fe III] 4769.53,False,4769.53,,-2.552992518703253,,,,-0.0095723605608241,-0.4896214896214875
174,"Fe, Ni",[Fe II] 4814.534,False,4814.534,,29.189091125405845,,,,0.0013350800112674,0.042824217945998826
211,Med Neb,H I 4861.32,False,4861.32,4863.8314,0.03945515364991402,0.9248,154.8753793252237,57.03143696740803,100.0,31.68153927599073
227,"Fe, Ni",[Fe III] 4881.073,False,4881.073,4883.4738,0.43760021378941577,0.6323,147.45563796448664,38.835471461582316,0.0595507451680864,2.8564885496183314
260,Med Neb,He I 4921.93,False,4921.93,4924.4596,0.05827272206631915,0.7421,154.0767548008106,45.200964475683314,0.833630861608731,21.45085995085998
268,"Fe, Ni",[Fe III] 4930.64,False,4930.64,4929.2681,1.0671026394443002,3.0357,-83.41417607658006,184.57643728818164,0.2996012690401232,1.1713962216895506
289,Med Neb,[O III] 4958.91,False,4958.91,4961.3919,0.04094137162721883,0.9255,150.04404224116402,55.95139251952546,182.26415287659677,30.531463659340844
311,"Fe, Ni",[Fe III] 4987.20+,True,4987.2,4991.3128,0.7758614997060165,2.1209,247.2301935479555,127.49234523824991,0.1490166631180964,1.6111122932039295
328,Med Neb,[O III] 5006.84,False,5006.84,5009.368,0.014542289785574172,0.6131,151.36799534717989,36.71033146651381,438.3957248866972,85.95620211336934
335,Med Neb,He I 5015.68,False,5015.68,5018.1968,0.10701384437056052,0.7184,150.43177760427824,42.93952202437157,1.750887575939467,11.680731660023183
356,Med Perm,Si II 5041.03,False,5041.03,5045.5525,0.19995751160290157,1.2546,268.9552316302444,74.61166027712589,0.2380168224738675,6.251328044541745
360,Med Neb,He I 5047.74,False,5047.74,5049.8732,0.1344518738649491,0.9338,126.69378205011837,55.45971014362863,0.1927839997237303,9.297006907137412
367,Med Perm,Si II 5055.98,False,5055.98,,2.5134671857621402,,,,0.0161296294384521,0.4973209943144619
428,Stellar,O I 5131.14,False,5131.14,5134.8689,0.59900022983222,0.8788,217.8650546732734,51.34484970014461,0.0346212309228145,2.0868105515587616
441,Neutral,O I 5146.61,False,5146.61,5150.4006,0.27858370989814235,1.4286,220.804236438137,83.21662327217334,0.1163925858660202,4.486981670453859
449,"Fe, Ni",[Fe II] 5158.81,False,5158.81,5160.6221,1.1267946982340011,0.1149,105.30605181070001,6.67715101432307,0.0256692418445434,1.1093413928545242
475,Med Neb,[Ar  III] 5191.82,False,5191.82,,1.4959564745900884,,,,0.0451986680558743,0.8355858082986781
482,Neutral,[N I]  5199.00+,True,5199.0,5202.0317,0.1680319109002972,1.2203,174.81838717416116,70.36675062462011,0.7318644710603165,7.4390631714097175
498,Med Perm,Si II 5219.31 ,False,,5223.4412,0.3836593526225791,1.1529,,,0.1582457918006371,3.2580986008952437
531,"Fe, Ni",[Fe II] 5261.61,False,5261.61,,-1.4221534279673804,,,,-0.0526917469939963,-0.8789487655959656
539,"Fe, Ni",[Fe III] 5270.40+,True,5270.4,5273.1638,1.0579747098083294,1.1443,157.211292391581,65.09041243347754,0.0369941356610505,1.1815027225239243
576,Stellar,None,False,,,330.2941176470745,,,,0.0001352702656143,0.0037845057880674963
589,"Fe, Ni",[Fe II] 5333.646,False,5333.646,5336.0397,0.3197382044834667,1.4536,134.54458858251195,81.70364455173817,0.1382118295385365,3.909448362667077
623,"Fe, Ni",[Fe II] 5376.452,False,5376.452,5379.4774,0.4318720484445901,1.4708,168.6971449634556,82.01221683489409,0.0832562104700855,2.8943757867681894
652,High Neb,He II 5411.52+,True,5411.52,,-5.658713692946172,,,,-0.0038353098838879,-0.22089825847845568
669,Stellar,O II 5433.49,False,5433.49,,-0.4239291520198932,,,,-0.0300082518811626,-2.9486059027649576
737,Med Neb,[Cl III] 5517.71,False,5517.71,5520.5987,0.06705292876644303,0.512,156.95106727690566,27.818377278979867,0.256472423604725,18.641989589358083
753,Med Neb,[Cl III]] 5537.88,False,5537.88,5540.8993,0.08126920482650046,0.8135,163.44943704800014,44.03872322675825,0.2123424887166695,15.3809798270894
785,Low Neb,[O I] 5577.34,False,5577.34,,-0.9136525380842134,,,,-1.9968835322217355,-1.368134983372404
914,High Perm,Si III 5739.73,False,5739.73,5743.1296,0.42196187450357403,0.1948,177.5648750406367,10.174619854662152,0.0200359134598131,2.9623529411764724
920,Stellar?,None,False,,5750.1377,0.10333867825852519,1.4141,,,0.0317624849192233,12.096148519268274
