Index,Type,ID,blend,wave0,wave,e_wave,d_wave,vel,d_vel,flux,s_n
7,"Fe, Ni",[Fe III] 4607.12+,True,4607.12,4609.1234,0.13074421250494495,0.4645,130.36435134256394,30.225736846663423,0.0687294248487587,9.560652636557226
35,High Perm,O II 4641.81+,True,4641.81,4645.0846,0.5420347675080726,1.4555,211.49085873112446,94.00383096658413,0.0444434820153937,2.306125132427753
42,High Perm,O II 4649.13+,True,4649.13,,-0.16932218700347548,,,,-0.0526906608547873,-7.382375707055702
49,"Fe, Ni",[Fe III] 4658.10,False,4658.1,4660.4396,0.1479303338950443,0.7893,150.57522052695327,50.79886372113092,0.7662995647626919,8.44992346794044
71,High Neb,He II  4685.68,False,4685.68,,-0.1829324598854954,,,,-0.1173539800387699,-6.833123004973661
83,"Fe, Ni",[Fe III] 4701.62,False,4701.62,4704.0212,0.07001550790541787,0.9328,153.10927938660998,59.47873388797903,0.2539918582095086,17.853187635067826
91,High Neb,[Ar IV] 4711.37+,True,4711.37,4715.2416,0.5497554868016655,0.7093,246.3564696453302,45.13396113219722,0.100055196503652,2.273738107230498
110,"Fe, Ni",[Fe III] 4734.00,False,4734.0,4736.0096,0.5954326248834941,0.8733,127.26297498878233,55.30391921660329,0.0660364868502442,2.0993139236275176
114,High Neb,[Ar IV] 4740.17,False,4740.17,4742.8164,0.08271157083853001,0.8079,167.37179486201742,51.09570475704457,0.0701717704409672,15.112758557569375
126,"Fe, Ni",[Fe III] 4754.81,False,4754.81,4757.1651,0.08401801838124993,1.0148,148.48989083385658,63.98350015634693,0.1752242803996103,14.877761033685115
138,"Fe, Ni",[Fe III] 4769.53,False,4769.53,4771.8249,0.19724852346151037,0.9591,144.24769565641924,60.28496444467274,0.0914929529861628,6.337183052444577
174,"Fe, Ni",[Fe II] 4814.534,False,4814.534,4817.0036,0.0676317415310872,0.8963,153.77759390148796,55.81100478372361,0.3488877436636418,18.482445841283454
211,Med Neb,H I 4861.32,False,4861.32,4863.8499,0.05121343591240789,0.9665,156.01625474034537,59.60303182201542,100.0,24.40765743852684
227,"Fe, Ni",[Fe III] 4881.073,False,4881.073,4883.5109,0.05121344323253804,0.9739,149.73429681509984,59.81633031224896,0.4347426800642468,24.40765394984852
260,Med Neb,He I 4921.93,False,4921.93,4925.2684,0.2419706084700662,1.1881,203.34038513085136,72.36661621554958,0.4169529253469207,5.165916670224993
268,"Fe, Ni",[Fe III] 4930.64,False,4930.64,4933.4276,0.6180205355271533,0.8191,169.4914769524234,49.802865824274335,0.0560787756452298,2.0225865131387373
289,Med Neb,[O III] 4958.91,False,4958.91,4961.488,0.03762832010185023,0.8878,155.8537978556031,53.672227205656085,45.62168813505012,33.219659995890595
311,"Fe, Ni",[Fe III] 4987.20+,True,4987.2,4989.0025,0.14220758866301086,1.107,108.3525636719872,66.54440387512031,0.2329847211720831,8.78996691915031
328,Med Neb,[O III] 5006.84,False,5006.84,5009.4005,0.01580774282418971,0.7389,153.3139842113744,44.24280528560928,119.7526836276139,79.07517309094848
335,Med Neb,He I 5015.68,False,5015.68,5018.3938,0.09806880297924729,0.8787,162.20667437321782,52.5208212734066,1.056472249615031,12.746153333435887
356,Med Perm,Si II 5041.03,False,5041.03,5043.5692,0.5455339793676593,0.7994,151.0074348602665,47.54069920734453,0.7329610333326361,2.291332982500747
360,Med Neb,He I 5047.74,False,5047.74,5050.342,0.043467397298042464,0.8339,154.53648082428148,49.526507055870546,0.1726327035501717,28.75718533201189
367,Med Perm,Si II 5055.98,False,5055.98,5058.6242,0.05816773225961694,0.9949,156.78685782851022,58.99222632688421,0.9820536486368484,21.489577665172533
428,Stellar,O I 5131.14,False,5131.14,5134.324,0.5117883622158362,0.2118,186.02867711108763,12.374646297781776,0.0167411212776389,2.4424158349127096
441,Neutral,O I 5146.61,False,5146.61,5149.2902,0.7741624727413321,0.2994,156.12291312763324,17.440191101560057,0.084943073492024,1.614648144301949
449,"Fe, Ni",[Fe II] 5158.81,False,5158.81,5161.3058,0.08503083653772728,1.0665,145.03771541815013,61.97721111205878,0.5333491382909459,14.700549246571134
475,Med Neb,[Ar  III] 5191.82,False,5191.82,5191.715,0.6368176862456727,2.0256,-6.0630391827661825,116.96468732059276,0.083975473018228,1.962885182051575
482,Neutral,[N I]  5199.00+,True,5199.0,5201.0249,0.5418907817673378,0.9024,116.76279057593825,52.0355287746105,0.5063387956135641,2.3067378926860775
498,Med Perm,Si II 5219.31 ,False,,5222.9326,0.12968119013016718,0.9076,,,0.0748432842427561,9.639023197931138
531,"Fe, Ni",[Fe II] 5261.61,False,5261.61,5264.3099,0.08818736147877608,0.8059,153.833077205334,45.91802545270364,0.4991634461085159,14.174366701070149
539,"Fe, Ni",[Fe III] 5270.40+,True,5270.4,5273.4603,0.22116650312665462,0.9065,174.07689344592995,51.56380221178658,0.2280544497283868,5.651850448999355
576,Stellar,None,False,,5319.5952,0.4038450557343743,0.5956,,,0.1414038391295949,3.0952465116279075
589,"Fe, Ni",[Fe II] 5333.646,False,5333.646,5336.3935,0.1378770573280179,1.1352,154.4309049297835,63.807083995000795,0.1890564762022297,9.06604785614313
623,"Fe, Ni",[Fe II] 5376.452,False,5376.452,5379.1736,0.1345811435347523,1.0165,151.75717251688582,56.68032255416769,0.1055072373167624,9.288076822420653
652,High Neb,He II 5411.52+,True,5411.52,5416.0191,0.9770563105778478,0.76,249.24535949008768,42.1031924634853,0.0242385960037104,1.2793530797224253
669,Stellar,O II 5433.49,False,5433.49,5435.7899,0.40946375905622806,0.5711,126.89683318717691,31.510405423365096,0.0530259615832059,3.0527732243779564
737,Med Neb,[Cl III] 5517.71,False,5517.71,5520.6567,0.07537975457632642,0.8507,160.10236782803972,46.220885842242524,0.2289685668004666,16.58270190750358
753,Med Neb,[Cl III]] 5537.88,False,5537.88,5540.6485,0.1174945687253964,0.8686,149.87240965370125,47.02155500278084,0.1848566002216646,10.638789635642222
785,Low Neb,[O I] 5577.34,False,5577.34,5580.5426,0.8353291066228359,0.1829,172.1457407995005,9.831217133651526,0.0561024553192721,1.4964161910431244
