Index,wave0,sig_wave0,flux,sig_flux,Type,blend,I / 0,E(I / 0),II / 0,E(II / 0),MYSO / 0,E(MYSO / 0)
100,4722.122651595253,0.6608057508768646,0.0544740299998142,0.001795274335504,Med Neb?,False,1.919061258054055,0.208326790042966,0.8074838788614179,0.1778195561220083,0.2601159926720469,0.22775322830671174
105,4729.842145862441,0.6618860036745964,0.0209584341728415,0.0037296872632107,"Fe, Ni?",False,2.172280742206949,<,0.432971384668403,<,0.8765202086273379,0.8608647415235604
157,4793.121130763387,0.3424496728845725,0.0545318283682297,0.0067057071519903005,"Fe, Ni?",False,4.112177717132088,1.1289800937240981,0.4936111257995319,0.19213902587221696,0.1960399345299203,<
809,5608.429411362954,0.4007002462321602,0.0293671645455411,0.0047944839896507,Deep Neutral??,False,2.3629927462653897,0.8322097573212647,0.2837099785992646,0.11928173461419664,0.4923987800235772,0.1574675963473429
1146,6029.569454877917,0.43078904770530896,0.0304597401549428,0.003949990034198301,Deep Neutral?,False,0.6315071350103764,0.16434004927980292,0.2861628664209183,<,0.5412574582530166,0.08151035309512236
1153,6037.396887541621,0.4313482870155796,0.0417882203643713,0.0018880333969724002,Deep Neutral?,False,0.2757284336484142,<,0.2358122947931377,<,0.5610296589509322,0.0799451131684098
1190,6083.195648898506,0.4346204285737225,0.0100270846883321,0.0015440518773603,Neutral?,False,1.678176163304293,<,0.754521582274374,<,2.756704647427683,0.7509362466574188
1268,6180.999129697196,0.4416081030123089,0.0114499466500122,0.0024523176875722,Deep Neutral,False,0.4934104088601304,<,0.3658059933464176,<,0.3918642895978226,<
1300,6221.819532343622,0.4445245604002862,0.0444335229238367,0.0027905017658426,Deep Neutral,False,0.2392484494334773,<,0.2883870331036008,<,0.6029340898680834,0.06589743937836892
1312,6235.960661602842,0.44553488852614087,0.0029961928401171,0.001229057564457,Deep Neutral?,False,,>,,>,,>
1322,6248.7248767057545,0.4464468415453471,0.0211206424971043,0.0024407228048886,Deep Neutral?,True,4.27814849110794,0.9106877950725419,0.2357725095839067,0.2168004349595481,2.4186458737010645,0.35118200552565804
1332,6261.684680180874,0.8762494225860995,0.0278793226747175,0.0019885223802299,Deep Neutral?,False,2.142021947225209,0.2465868215694169,0.4743956550048473,0.1010873303682515,0.2633858065651316,0.12600452806257176
1339,6270.673849808571,0.448015009437239,0.0944649075528148,0.010984218862222702,Deep Neutral,True,0.5516501055535256,0.21710460117152494,0.3379841499238277,0.10068349394316405,0.8995343271338088,0.21842513630893304
1470,6434.164840894927,0.4596957984032754,0.0471765198714892,0.0041277782353462,Deep Neutral?,False,0.6518259975599343,0.20691809227211766,0.2490617572498795,<,1.1502222295852242,0.13986710980362518
1484,6451.216608970591,0.46091408023682556,0.0249831072221702,0.0066110156100746,Deep Neutral?,False,0.9593165503371638,<,0.2851444217921336,<,0.7166764228637477,<
1490,6459.24392755377,0.461487600610702,0.0563067976176332,0.0022397448383737004,Deep Neutral?,False,0.173984911508867,<,0.0589094366433635,<,1.276495668863479,<
1498,6467.795047188935,0.4620985445117573,0.0489981007083245,0.0080797007499917,Deep Neutral?,False,1.989700939378077,0.6918498609439241,0.4309541546990947,<,0.7725796330572995,0.30566414497569383
1512,6486.270102954226,0.9076775217443472,0.0247619397072777,0.0026977427043742004,Deep Neutral?,False,0.5595741768933291,0.43998019801863664,0.2316431759463506,<,0.5493918156670915,<
1524,6501.744771125228,0.4645241189004132,0.0552766707134095,0.001907358201445,Deep Neutral?,False,1.1575016152346778,0.12080207039576042,0.3477249537906121,0.011998480261198404,0.2973964387429264,0.02419491500742463
1547,6529.277457445634,0.4664912211636007,0.0617775349379903,0.0022706645255298,Neutral?,True,1.9590795015380047,0.14498487076285146,0.3624369110296308,0.03830338649777129,0.144356349904767,0.02546106201062922
1616,6614.995735609869,0.9256911661623666,0.0103048897494258,0.0015769040449637,Deep Neutral?,False,1.6924876614296291,0.7364008690163028,0.8858818932933841,0.23615875216447538,0.8856496322796962,0.19837755888510564
1626,6628.734094741347,0.9276136885938043,0.0739520801558214,0.007217814470513998,Deep Neutral?,False,0.3448258080761626,0.11616980568835944,0.2435247170625279,0.05169675108015189,1.3304146801155732,0.4841515303907719
1632,6636.755816518781,0.47417012764283417,0.0731596831694805,0.0058592807160906,Deep Neutral?,False,0.5329644139797923,0.087557936214865,0.2216691239545486,0.04180546850991988,1.9388961418043045,0.5642448743232735
1640,6645.64104546835,0.4748049423417066,0.0438866309572623,0.002376950950129099,Deep Neutral?,False,0.7422821501479012,0.17722699766149677,0.2379843178148489,0.054433494747946676,0.5677149490631426,0.037707174690509555
1648,6655.885898442192,0.47553689683522543,0.0371774021356161,0.0025953212406694,Deep Neutral?,False,0.1814104124226974,0.1393171880180734,0.5068146743843979,0.05223675488246477,0.2818660869178499,0.06590270250389095
1682,6699.269738062933,0.47863650172341515,0.0341644291240235,0.001646473341065,Deep Neutral?,False,0.8453331948422134,0.05584126905411814,0.1456347152737472,<,0.3691951533707897,0.04441614149994365
1744,6776.7503177137405,0.4841721847225428,0.0686756484585398,0.0035055195313285995,Deep Neutral,False,0.3148037601151457,0.068585788509055,0.3353065971779493,0.03357430010212108,0.4594160595345393,0.03562936269590749
1801,6847.531221058523,0.48922920217226346,0.0476575514537855,0.0028214214529988,Deep Neutral?,False,0.3827116796567762,0.13233391722982302,0.1215774782506052,0.05431967613085985,0.470490780710087,0.04285816485811517
1913,6987.241984190788,0.49921098728218366,0.0711751873530131,0.0020233070282806,Deep Neutral?,False,0.2352179918452095,0.06373981371982217,0.284405204278167,0.04836118584905141,0.5202911398814661,0.04929100888733729
1931,7010.020084087589,0.5008383930259124,0.0671206859018145,0.0033257988497335,Deep Neutral?,False,0.5290027316910544,0.18490270246632654,0.2625433742816975,0.07012983644288583,0.7833983291911717,0.09666892642940939
1936,7015.77459982337,0.5012495305660591,0.0245946786522711,0.0026552281345344,Deep Neutral?,False,0.2853519560988465,0.2702898148287169,0.9624196218189884,0.1543888176354881,1.272038792272672,0.27214830658216654
1944,7025.537727731277,0.9831417089344021,0.0378534270009182,0.0052061023249169005,Deep Neutral?,False,1.3932553435493282,0.38781864799823906,0.3700765256061412,0.12384591928277432,1.1830252086252813,0.42687639951684037
1954,7037.825514745119,0.50282498180039,0.0484891021735691,0.0018590461902635,Deep Neutral?,False,0.946030655316108,0.14720938091561653,0.5393711880944421,0.07588355381067992,0.5842811779393867,0.0965831647042661
1958,7043.506472462535,0.5032308639091299,0.0459679123989607,0.0016039587712253,Deep Neutral?,False,0.4062671710461303,0.04275116243794885,0.3150909224622016,0.03216809273567263,0.4987166987286704,0.053698600216330716
1969,7056.526141770538,0.36927452257173676,0.1011005331396081,0.013801775354327,Deep Neutral?,False,0.3080235468518156,<,0.3405372665294691,0.15085085368635665,0.7959601701173807,0.16896567254416897
1987,7079.436166374192,0.9906841640645099,0.0252522936070604,0.0026822828607961,Neutral?,False,0.535892961561283,0.10811464736847617,0.6393499132392699,0.1097219791924076,0.7552359996449598,0.1957903591353978
1997,7092.291229627506,0.21199799852739692,0.1193815977303661,0.0052776041014655,Deep Neutral,False,0.2635445013511941,0.07107062486031156,0.2251865466014913,0.032945630452667234,0.5577450779498883,0.03974212899943757
2008,7105.366667107043,0.5076505317711882,0.0985313024403664,0.0041954150510002,Deep Neutral,False,0.2591180931666157,0.01416591665665033,0.2444754211219048,0.029513735116191365,0.2808471332127423,0.030773455930737766
2012,7111.536745669416,0.5080913596425716,0.0717874380354878,0.0061588151854158,Deep Neutral,False,0.071837269160055,0.03678386789388043,0.3370406114701821,0.044717360984056896,0.5903676131533605,0.0543772724346932
2039,7143.923661544287,0.5104052775354254,0.0786132388990029,0.0112064541136576,Deep Neutral,False,0.9646486498132518,<,0.4606696151565849,0.1146736716228956,0.4136556025490171,0.11278922903893387
2066,7178.487634911127,0.5128747376325419,0.0900439264400544,0.0041509680007133,Deep Neutral,False,0.2262241485014099,<,0.2512607616914393,0.047200895519541514,0.3613024919814374,0.0972444154056208
2071,7184.692393680529,0.5133180432684608,0.0754150494543003,0.002465845050703,Deep Neutral??,False,1.22866898074435,0.09348102004656492,0.4833941979920356,0.04230883858439598,1.69824166454778,0.09970132279461687
2079,7194.0837337782095,0.513989017620383,0.0326448913737464,0.0011498258661192997,Deep Neutral?,False,0.2963734017370387,<,0.0895835141641166,0.032569557933671875,0.096677214895826,<
2082,7198.891589799357,0.5143325200432929,0.0284684931398557,0.0007652622571147001,Deep Neutral??,False,1.6757448990725494,0.12786743430053518,0.5601833860287935,0.05170134453802666,1.9467987995749283,0.191999027085588
2101,7222.093048073607,1.0106473235977098,0.040458410643824,0.0078420056549788,Neutral?,False,0.7528640028575192,<,0.1883095406110125,0.13628316843800445,0.8345942215868642,0.30425925504499235
2114,7237.817573643953,0.5171136286509463,0.0845646063822972,0.0141805415219899,Deep Neutral,True,1.806991135692312,<,0.5350305696465482,<,0.431857705928764,<
2154,7290.529589411821,0.38152013885258196,0.1193554952414043,0.024714492440001196,"Fe, Ni?",False,0.2572884069360817,0.26405841414512027,0.93560795989815,0.49320938033611933,2.0146891875037705,0.8501902612377318
2168,7305.595290991575,1.0223324843617296,0.0964412388599238,0.015187363835012001,Deep Neutral??,False,2.5717141748177306,0.9003521546649749,0.8346525358548614,0.22027535835819312,0.6212058231840641,0.15542463031979656
2198,7344.00347036177,1.02770725915712,0.0259328227835649,0.0062032622357027995,Deep Neutral?,False,1.1009218212920882,<,0.3329797920710567,0.30933595680782555,0.6705185952705981,0.37126861568751046
2263,7425.079098217305,1.0390528435681454,0.0224966165580914,0.0023267064585003,"Fe, Ni?",False,2.1597187900460617,0.3772408355086546,0.2550975989836236,0.09008778285599868,3.6275868277106,0.5133237059768456
2294,7462.747899571359,0.22307144010310984,0.108794784219813,0.0025489417099351995,Deep Neutral,False,0.4766428330993736,0.0990756244426257,0.3178048540321083,0.019349926633046254,0.2460916405709335,0.022489387564425888
2314,7488.3269009148125,0.5350115358471238,0.077795865365324,0.0021585806595888,Deep Neutral,False,0.2296218706694747,0.049811092477235266,0.2588225253569443,0.035273530269384776,0.1849424572702827,0.023525867202075678
2345,7526.256953165621,0.5377214890553615,0.0874292803949124,0.0002763447039581,Deep Neutral?,True,1.639391075651242,0.20274895213346006,0.3971135471636314,0.05243925492630906,0.4555904095905204,0.006395665730691315
2426,7628.726970640387,0.22803277484315523,0.3048155437786097,0.0043287562018611,Deep Neutral,False,0.7563984498993462,0.0132273362034933,0.3956293982263413,0.014467676072572181,0.956476477261171,0.024228423134511606
2434,7637.597707860794,0.22829793295289738,0.2700177629737751,0.0252671818479174,Deep Neutral,False,0.8949351748083187,0.26970852096564596,0.4463838391810618,0.08457593090954504,1.5222136403961686,0.31882827589739565
2454,7663.093956433584,0.2290600496641809,0.187156866356184,0.0186271790311339,Deep Neutral,False,0.7278659725409174,0.12468768954918254,0.3530943670435982,0.06453283869801911,0.964314396571012,0.11468808394457114
2489,7706.793016149338,0.230366272561313,0.2110945016563869,0.0378379671573402,Deep Neutral,True,0.959736378391179,0.5119904357189358,0.5118748000996652,0.18464417774675648,0.1971960965257534,<
2501,7720.993911298481,0.5516346796031901,0.030015997842592,0.013745733421356498,Deep Neutral?,True,2.216074250902333,<,0.3441608025244763,<,0.279500568710792,0.15901247887276523
