Index,ID,I / 0,E(I / 0),II / 0,E(II / 0),MYSO / 0,E(MYSO / 0),III / II,E(III / II),IV / III,E(IV / III)
7,[Fe III] 4607.12+,1.5126320677148775,0.4603193622261991,1.5269336511638243,<,2.2964668456105306,0.33195339005341873,0.16987395674108083,>,14.78875284154764,9.641684991315103
35,O II 4641.81+,3.13802913381779,1.1375776158014852,0.4203060295084424,<,0.6433255733793388,0.33709591078850853,0.6186955015946874,>,3.440824304551383,2.467002312350986
42,O II 4649.13+,3.1882812925567543,0.7671938206550493,0.969965562765067,0.35160069573992075,0.21242456134163626,<,1.5121881008429914,0.5611922598168296,1.5977612207326708,0.2443416053894821
49,[Fe III] 4658.10,1.3896870692541832,0.8182226410873498,1.6152250339611283,0.23220879860557686,7.956533953028426,1.450505395138364,0.45633736025644794,0.08711148563135165,0.5472258129001456,<
71,He II  4685.68,3.467902304805597,>,,>,,>,,>,55.20744344981185,>
83,[Fe III] 4701.62,2.5079744183791597,<,1.8313781404517395,1.4140998650943775,7.615599980573013,5.424111402551757,0.6002024460963359,0.2563635263457482,2.2721095306776675,<
91,[Ar IV] 4711.37+,1.9532780286350662,0.48416288358522214,0.5454871387464482,0.3490641042969047,0.18350796925415175,0.09002801774684657,1.4861621322744432,1.1349719348653446,3.6573569873689635,1.7545187712795756
110,[Fe III] 4734.00,,>,,>,0.9434532964657766,>,,>,,>
114,[Ar IV] 4740.17,1.8473948694564668,0.14185289656024228,0.35640630498161185,0.02331172259699035,0.16371214883203986,0.01334810818606657,1.7976694980404415,0.17998627431742767,5.392280288523185,0.5500213966937059
126,[Fe III] 4754.81,1.6780417513986854,1.5347188016093054,1.475925149261911,0.6476775159708369,5.040010360447237,2.165571450750404,0.13286434962216395,0.06840302115757456,5.518788341412547,<
138,[Fe III] 4769.53,,>,,>,5.085373498834165,>,0.39669230461287974,>,1.356142238498574,<
174,[Fe II] 4814.534,4.511119798779108,<,3.287429458231539,1.860375625077803,24.712758359065177,13.142580298953792,0.2194295822152151,<,,>
211,H I 4861.32,1.0,0.04878410860107512,1.0,0.051930520928781886,1.0,0.055337127209385585,1.0,0.052275683366602224,1.0,0.05237367754116521
227,[Fe III] 4881.073,1.1425934172770116,0.4365104897704942,1.7503463064308873,0.3015986872862461,8.774649430375698,0.9569664649026143,0.20015735556652556,0.08087846964553583,3.2162912052188037,<
260,He I 4921.93,0.9074203929002151,0.05494791006811179,1.0918476976337557,0.05597702321817111,0.46479041468991883,0.09162320152094407,1.200198423121404,0.07319845749693958,0.873783109310824,0.05499772835827397
268,[Fe III] 4930.64,5.65472561207268,5.258605520326798,0.767317351376894,0.31417593316831677,1.0584404063131339,0.6528778406022647,1.3666830943461954,0.29885500513994046,1.8163156737209094,0.31576566866841654
289,[O III] 4958.91,1.5153812748726176,0.06760202507543575,0.908396142695457,0.039985933325921666,0.3751079497012253,0.01610744225175136,1.3417695433240606,0.06579026253192348,1.2347726059009072,0.06479002816798252
311,[Fe III] 4987.20+,0.9378410257766057,0.5876435644711477,1.9296223973062834,0.1862689364934008,1.4662966229564445,0.20894089364505578,0.5392059116862784,0.03469620092936841,0.07166649944987072,<
328,[O III] 5006.84,1.276423335164517,0.030856834809631216,1.02281054896685,0.034833456435374666,0.34829962731290054,0.00860748789166343,1.3930772294909621,0.06291167943541888,1.1484247671530101,0.0504206008535916
335,He I 5015.68,0.8927314563023016,0.08440693030459688,1.1593879394503896,0.07791701125356014,0.5205956701622079,0.04714257035331975,1.075924744707655,0.08808082314208489,0.6753818323744033,0.047439205301551324
356,Si II 5041.03,3.2891807907032535,0.8849053011544955,1.1953245640935213,0.45539852881346016,10.128869573647075,4.933700348972758,0.6279626812502251,0.29979401894018054,1.770977065985336,0.6929665977200516
360,He I 5047.74,1.2769967104416236,0.144866425096232,1.0478889871617254,0.092187849391083,1.138688848724786,0.05582721968280681,1.179433719310594,0.11305139505963184,0.8667510550348185,0.08848096117329667
367,Si II 5055.98,1.6434072333989491,<,0.32392584145939607,<,19.92592277152895,13.160077442793513,1.3074370405194158,>,3.92738278125841,<
428,O I 5131.14,4.730831661222639,3.7512236922388285,3.614291643211243,<,2.478348200678065,1.7988915355142394,,>,1.9993532252855892,>
441,O I 5146.61,5.089422101509039,1.9864527567140984,0.18186674821479318,<,3.714249944563033,2.5899853875276246,2.6921865121937594,>,1.078282391197341,<
449,[Fe II] 5158.81,0.6970951427722901,0.7531195766973674,0.6238436784315764,<,14.484069921349805,8.681225773237792,,>,,>
475,[Ar  III] 5191.82,2.462629138701257,<,1.2002054932021249,0.295706842654298,1.3482613871477853,0.7419540434339962,1.0481317642712265,0.28099671891694367,1.0195212079212295,0.35030865223455093
482,[N I]  5199.00+,3.8958052725978933,0.8692191839994554,0.400004866780303,0.12362775047946928,2.695304154899492,1.2631865251375196,0.6439681669910887,<,,>
