Index,ID,I / 0,E(I / 0),II / 0,E(II / 0),MYSO / 0,E(MYSO / 0),III / II,E(III / II),IV / III,E(IV / III)
7,[Fe III] 4607.12+,1.6353561900553517,0.4431113362509498,0.637303381077826,<,2.3534536863739257,0.3268674692311998,0.23309892553780864,>,25.228276675696574,20.12490074771979
35,O II 4641.81+,3.3830041136939473,0.8730561581262931,0.19031705956670075,<,0.5321235765288725,0.19804501301843774,1.0498097936534274,>,5.231896732895143,4.089098106234225
42,O II 4649.13+,2.7287848238262815,0.45321693054267664,0.7304486809861807,0.1934138936623798,0.17492181421922676,<,1.876499270154866,0.48153597355399763,1.7220704238702031,0.15874182347766982
49,[Fe III] 4658.10,0.6296857849749932,0.2777893482938025,1.4830871988049734,0.17642528572577784,6.855893614731142,0.9118378118266106,0.45716146949127906,0.08393242462477726,0.5374776480451505,<
71,He II  4685.68,3.301425740071311,>,,>,,>,,>,156.15587482137667,>
83,[Fe III] 4701.62,4.816489156249058,<,3.575193447777062,3.077483432376738,18.312972897100646,15.105490498815575,0.7407498672156854,0.28780647226910355,1.3436018760720607,<
91,[Ar IV] 4711.37+,2.1196487796813384,0.30899666669596904,0.30721191624099425,0.1518016054106841,0.14862560545378814,0.059953163216882016,1.89811556275096,1.0972401301978032,5.696759208381547,1.886137337127885
100,UIL,1.919061258054055,0.208326790042966,0.8074838788614179,0.1778195561220083,0.26011599267204694,0.22775322830671174,0.2723320738312859,0.2122418085197363,7.428397394832098,5.569142562379368
105,UIL,2.1722807422069486,<,0.432971384668403,<,0.8765202086273379,0.8608647415235604,,>,13.082916186542501,>
110,[Fe III] 4734.00,,>,,>,1.0146149687525696,>,,>,,>
114,[Ar IV] 4740.17,1.7998006242809572,0.06363755805863404,0.3641851324583293,0.017201020226054478,0.16701282864738295,0.010871896965621132,1.7034318796043504,0.11535825114797384,5.527167316213304,0.3132818045966757
126,[Fe III] 4754.81,2.5715403131097263,<,2.318872895714008,0.6982832716658122,7.601393130735695,2.1566786964068227,0.0731516213725344,0.024131757255362145,5.467402314760412,<
138,[Fe III] 4769.53,,>,1.0497515413332559,>,4.909455222038196,>,0.724134914775893,0.2357954523216581,1.661269433489064,<
157,UIL,4.112177717132088,1.1289800937240981,0.4936111257995319,0.19213902587221696,0.19603993452992036,<,1.0615075447498539,0.9863911350963865,1.8323357467087988,1.5899855387349375
174,[Fe II] 4814.534,3.863563188931386,<,3.2898485936035877,1.7962882051032443,23.691755343653078,12.110702588238833,0.14394223997657057,<,,>
211,H I 4861.32,1.0,0.020446249076384274,1.0,0.010356038179964529,1.0,0.007641738425985586,1.0,0.01173640076188163,1.0,0.014501598719342246
227,[Fe III] 4881.073,1.1552711949792425,0.4186414066937251,1.6091173043871652,0.24891522522301504,8.43391118093779,0.8201206036056315,0.215113147932761,0.0834495411960567,1.513929930496568,<
260,He I 4921.93,0.9217768876038538,0.04831259854672424,1.0885958472467285,0.032500961194522775,0.4247588168845842,0.0709104509770322,1.1807949651861165,0.02710999730331044,0.8835108880451588,0.01954573622672251
