Index,Type,ID,flux,wave,dwave_nn,dwave_mean,wn,dwn_nn,dwn_mean,mutual
3762,Deep Neutral?,UIL,0.2498465320652809,9302.6743,33.01020000000062,34.9641991935487,10749.59702716884,38.28038901498621,61.137132889937476,True
3736,Deep Neutral??,UIL,0.0367461157046386,9269.6641,33.01020000000062,40.189800000000105,10787.877416183826,38.28038901498621,46.845624506286185,True
3699,Neutral?,UIL,0.0285350062842331,9222.2947,47.36939999999959,50.76894999999968,10843.288276181413,55.41085999758616,59.738402068282994,False
3654,Deep Neutral?,UIL,0.0291765897927233,9168.1262,7.618000000000393,30.89325000000008,10907.354220320392,9.070700297001167,36.5683222179905,True
3649,Deep Neutral?,UIL,0.0797863202260012,9160.5082,7.618000000000393,8.82800000000043,10916.424920617394,9.070700297001167,10.522969962461502,True
3640,Deep Neutral,UIL,0.1637873803074754,9150.4702,10.038000000000466,20.852350000000115,10928.400160245315,11.975239627921837,24.963046214717906,False
3615,Deep Neutral,UIL,0.0947707736140511,9118.8035,14.768899999999121,23.217799999999443,10966.35101304683,17.79001822736791,27.870435514440942,True
3603,Deep Neutral,UIL,0.2781148560477922,9104.0346,14.742300000001705,14.755600000000413,10984.141031274197,17.79001822736791,17.802825970084086,True
3591,Deep Neutral?,UIL,0.085914215724261,9089.2923,14.742300000001705,20.8433500000001,11001.956664986998,17.815633712800263,25.26346356270551,False
3570,Deep Neutral,UIL,0.2794714573217683,9062.3479,7.2542000000012195,17.099299999999857,11034.667958399608,8.840072886692724,20.77568314965174,True
3564,Deep Neutral,UIL,0.130454025072697,9055.0937,7.2542000000012195,11.240450000000237,11043.508031286301,8.840072886692724,13.720847159918776,True
3552,Deep Neutral??,UIL,0.0452374347898966,9039.867,5.4843999999993684,10.355549999999312,11062.109652719446,6.715349223684825,12.658485328414827,True
3548,Deep Neutral,UIL,0.3936269423022791,9034.3826,5.4843999999993684,7.681450000000041,11068.82500194313,6.715349223684825,9.415812907867803,True
3539,Deep Neutral,UIL,0.2463661347797666,9024.5041,9.878500000000713,41.663150000000314,11080.941278535181,12.116276592050781,51.520412890231455,False
3481,Deep Neutral,UIL,0.1876554463115769,8951.0563,52.30019999999968,62.873999999999796,11171.865827723594,65.65983049733222,78.29218984287218,False
3439,Deep Neutral,UIL,0.2813324359924792,8898.7561,5.197799999999916,28.748999999999796,11237.525658220926,6.567721141076618,36.11377581920442,True
3435,Deep Neutral?,UIL,0.1234236612055671,8893.5583,5.197799999999916,17.301400000000285,11244.093379362002,6.567721141076618,21.93384070006323,True
3412,Deep Neutral??,UIL,0.3499722089986879,8864.1533,8.444400000000314,18.924700000000485,11281.393339621052,10.757422019270962,24.0286911391604,True
3405,Deep Neutral,UIL,0.3093050904665599,8855.7089,8.444400000000314,9.361700000000383,11292.150761640323,10.757422019270962,11.939840258927688,True
3397,Deep  Neutral,UIL,0.0048775806488828,8845.4299,10.279000000000451,20.396099999999933,11305.273020138908,13.122258498584415,26.127965128643154,False
3372,Deep Neutral,UIL,0.1094421651696449,8814.9167,20.71259999999893,25.612899999999172,11344.40669189761,26.718979383998885,32.92632557135039,True
3355,Deep Neutral,UIL,0.2665354332078136,8794.2041,20.71259999999893,35.73729999999978,11371.125671281608,26.718979383998885,46.36829072961427,True
3315,Deep Neutral,UIL,0.0872379648306337,8743.4421,43.41619999999966,47.089100000000144,11437.143273356838,57.07538178532377,61.546491930276716,False
3280,Neutral?,UIL+,0.0142153261700405,8700.0259,2.63169999999991,23.023949999999786,11494.218655142162,3.4779767984673526,30.27667929189556,True
3278,Deep Neutral??,UIL+,0.0573676145573442,8697.3942,2.63169999999991,4.947900000000118,11497.69663194063,3.4779767984673526,6.54446410230139,True
3272,Deep Neutral,UIL+,0.1292191700668982,8690.1301,7.264100000000326,9.002449999999953,11507.307583346765,9.610951406135428,11.925659221694332,False
3263,Deep Neutral,UIL+,0.0618393743123026,8679.3893,10.740799999999581,12.837950000000092,11521.547950384018,14.240367037253236,17.05014949350425,False
3252,Deep Neutral,UIL,0.5157171919992373,8664.4542,9.556399999999485,12.245750000000044,11541.407882333773,12.74357165566289,16.301751802709077,True
3244,Deep Neutral,UIL+,0.243173677080894,8654.8978,9.556399999999485,19.612200000000485,11554.151453989436,12.74357165566289,26.243057277142725,True
3221,Deep Neutral,UIL,0.05308330540577,8625.2298,9.41269999999895,19.540350000000217,11593.893996888059,12.666221294843126,26.204382096732843,True
3213,Deep Neutral,UIL,0.1047443052023571,8615.8171,9.41269999999895,30.01574999999957,11606.560218182902,12.666221294843126,40.629464905335226,True
3172,Deep Neutral,UIL,0.1653720142742281,8565.1983,10.2549999999992,30.436899999999696,11675.152926698729,13.995264382790992,41.29398644930916,True
3164,Deep Neutral,UIL,0.2882101339042756,8554.9433,10.2549999999992,18.898449999999684,11689.14819108152,13.995264382790992,25.874505429938836,True
3142,Deep Neutral,UIL,0.14868697809259,8527.4014,24.868599999999788,26.205249999999978,11726.901937558607,34.29938353479338,36.02656500594003,False
3122,Deep Neutral,UIL,0.131683082637154,8502.5328,22.479800000000978,23.674200000000383,11761.2013210934,31.17780672572917,32.738595130261274,False
3104,Deep Neutral,UIL,0.1529036504285101,8480.053,15.974599999999555,19.227200000000266,11792.37912781913,22.256237562172828,26.717022143951,True
3091,Deep Neutral,UIL+,0.6193136038159223,8464.0784,15.974599999999555,37.347099999999955,11814.635365381302,22.256237562172828,52.39647384530144,True
3045,Deep Neutral??,UIL,0.0199547930984011,8405.3588,13.429299999999785,36.07445000000007,11897.172075509732,19.03861238987156,50.78766125915081,True
