Index,Type,ID,flux,wave,dwave_nn,dwave_mean,wn,dwn_nn,dwn_mean,mutual
3299,Neutral,N I 8718.837,0.0078695466289734,8725.2334,8.199299999998402,116.29854062499916,11461.011461309447,10.780303277084386,255.81772757905532,True
3293,Neutral,N I 8711.703,0.0315259289625812,8717.0341,8.199299999998402,8.63130000000001,11471.791764586531,10.780303277084386,11.36010104971956,True
3286,Neutral,N I 8703.247,0.0702450532260645,8707.9708,9.063300000001618,132.59380000000056,11483.731663408886,11.939898822354735,179.97114155767485,False
3081,Neutral,O I 8446.48,0.7337536631386854,8451.8465,204.5007000000005,230.3125,11831.73404770188,293.3789795704797,320.69068193173734,False
2918,Neutral,N I 8242.39,0.1260321021802941,8247.3458,19.214500000000044,111.85760000000028,12125.11302727236,28.314811196867595,160.84689538367365,False
2902,Neutral,N I 8223.14,0.1338141209903406,8228.1313,7.060899999998583,13.137699999999313,12153.427838469228,10.438316964737169,19.376564080802382,True
2897,Neutral,N I 8216.34+,0.1789943897055189,8221.0704,7.060899999998583,11.609399999999368,12163.866155433965,10.438316964737169,17.19628395158543,True
2884,Neutral,N I 8200.357        ,0.0495327884381798,8204.9125,12.54570000000058,14.351800000000367,12187.820406372399,18.664293507004913,21.3092722227193,True
2874,Neutral,N I 8188.012,0.0837243373408077,8192.3668,12.54570000000058,365.86175000000003,12206.484699879404,18.664293507004913,596.673963760466,True
2298,Neutral,N I 7468.31+,0.2093904140964984,7473.189,26.40100000000075,372.7894000000001,13381.16833389333,47.4400809024155,611.0618574581713,True
2277,Neutral,N I 7442.30,0.0830798143105278,7446.788,26.40100000000075,107.11065000000008,13428.608414795746,47.4400809024155,197.4475844551207,True
2127,Neutral,O I 7254.15+,0.0901218251969196,7258.9677,187.8202999999994,219.9926999999998,13776.063502803572,347.4550880078259,421.61824601903754,False
1925,Neutral,O I 7001.92,0.0553414527851471,7006.8026,252.16510000000017,604.7157000000002,14271.844906833821,495.7814040302492,1377.0645337465467,False
1160,Neutral,O I 6046.23,0.0417985120748206,6049.5363,847.5046000000002,902.3854500000002,16530.192570296666,2258.347663462844,2475.7067875198545,False
482,Neutral,[N I]  5199.00+,0.6642167895384841,5202.0317,51.631099999999606,449.5678499999999,19223.25848187353,192.70694807768086,1442.8864298272729,False
441,Neutral,O I 5146.61,0.0973548058700611,5150.4006,15.531699999999546,33.581399999999576,19415.96542995121,58.72846145465519,125.71770476616803,True
428,Stellar,O I 5131.14,0.0346212309228145,5134.8689,15.531699999999546,119.96474062499973,19474.693891405866,58.72846145465519,279.7918066678407,True
