Index,Type,ID,zone-0,zone-I,zone-II,zone-III,zone-IV,zone-MYSO,zone-S
7,"Fe, Ni",[Fe III] 4607.12+,4608.997,4608.3596,4608.2914,4610.2133,4608.7136,4609.1234,4610.2433
35,High Perm,O II 4641.81+,4643.3533,4643.4405,4643.1854,4643.1571,4641.7636,4645.0846,4643.6542
42,High Perm,O II 4649.13+,4652.441,4651.9806,4651.7438,4652.5889,4652.347,4651.9495,4651.7782
49,"Fe, Ni",[Fe III] 4658.10,4660.5449,4663.9481,4660.7091,4660.8501,4661.3764,4660.4396,4660.1106
71,High Neb,He II  4685.68,4688.4446,4686.8494,4688.4292,4688.9086,4688.0969,4688.7758,4688.3235
83,"Fe, Ni",[Fe III] 4701.62,4704.8008,4702.7504,4704.7427,4704.4052,4702.9544,4704.0212,4702.177
91,High Neb,[Ar IV] 4711.37+,4714.5338,4714.0325,4715.3162,4715.141,4714.1308,4715.2416,4711.7818
110,"Fe, Ni",[Fe III] 4734.00,4739.7593,4736.772,4734.3768,4734.6961,4741.7498,4736.0096,4743.2169
114,High Neb,[Ar IV] 4740.17,4742.7556,4742.7163,4742.6751,4742.8993,4742.7564,4742.8164,4742.7743
126,"Fe, Ni",[Fe III] 4754.81,4758.7343,4759.3469,4757.7037,4757.1989,4756.1614,4757.1651,4758.6344
138,"Fe, Ni",[Fe III] 4769.53,4771.7842,4773.0556,4772.057,4772.8094,4772.1621,4771.8249,4771.8205
174,"Fe, Ni",[Fe II] 4814.534,4817.1938,4817.0863,4816.8004,4818.5926,4817.6853,4817.0036,4817.1386
211,Med Neb,H I 4861.32,4863.9262,4863.8314,4863.9622,4864.0034,4863.9693,4863.8499,4864.0079
227,"Fe, Ni",[Fe III] 4881.073,4883.3858,4883.4738,4883.6821,4884.346,4883.3921,4883.5109,4881.5509
260,Med Neb,He I 4921.93,4924.5984,4924.4596,4924.6316,4924.6649,4924.6466,4925.2684,4924.3489
268,"Fe, Ni",[Fe III] 4930.64,4933.7424,4929.2681,4934.4644,4933.9703,4935.0699,4933.4276,4938.0311
289,Med Neb,[O III] 4958.91,4961.5496,4961.3919,4961.6355,4961.663,4961.5986,4961.488,4961.6498
311,"Fe, Ni",[Fe III] 4987.20+,4988.7116,4991.3128,4988.5418,4988.7019,4988.3394,4989.0025,4988.8844
328,Med Neb,[O III] 5006.84,5009.4968,5009.368,5009.5768,5009.6083,5009.5432,5009.4005,5009.5796
335,Med Neb,He I 5015.68,5018.4071,5018.1968,5018.4746,5018.5114,5018.4646,5018.3938,5018.1956
