Index,ID,wave,flux,s_n,d_vel,type,species,sigma_d_vel,fcat
1160,O I 6046.23,6049.7924,0.0222235251434837,29.262086513997406,9.48992448526177,Neutral,O I,16.914446316658967,0.0
1190,UIL,6086.6675,0.0100270846883321,6.494007640128214,-33.173794008162865,Unidentified,UIL,18.628480800496863,0.0
1204,[K IV] 6101.79,6104.1913,0.0111700008121602,3.220131767391816,,High,[K IV],,0.0
1268,UIL,6184.5268,0.0114499466500122,4.669030732860583,,Unidentified,UIL,18.628480800496863,0.0
1300,UIL,6225.3705,0.0444335229238367,15.923130193906136,1.4735981267167166,Unidentified,UIL,18.628480800496863,0.0
1312,UIL,6239.4044,0.0112663610075226,2.195856873822994,,Unidentified,UIL,18.628480800496863,0.0
1322,UIL,6252.2912,0.0211206424971043,8.653437602500826,22.52343857266149,Unidentified,UIL,18.628480800496863,0.0
1332,UIL,6265.2584,0.0278793226747175,14.020120141415894,-41.93463652324044,Unidentified,UIL,37.256961600993726,0.0
1339,UIL+,6274.2527,0.0944649075528148,8.60005693055714,-17.21942056683491,Unidentified,UIL,18.628480800496863,0.0
1363,[O I] 6300.30,6304.0038,2.377820566330401,48.81769490180525,15.789384221446987,Low,[O I],7.142955400455763,1.0
1372,[S III] 6312.06,6315.5058,1.4122117735201882,34.42189101702727,7.2202500489994295,Medium,[S III],2.4071670719722795,1.0
1401,Si II 6347.11,6350.9446,0.0253580084289386,9.352815395580963,25.634174804613874,Fe,Si II,16.914446316658967,0.0
1414,[O I] 6363.78 ,6367.4987,0.8101016009325068,38.7254503464204,11.639040112918115,Low,[O I],10.54541420736827,0.1
1420,Si II 6371.36 ,6374.9976,0.0229694625961259,6.171339563862951,14.945698629810703,Fe,Si II,16.914446316658967,0.0
1470,UIL,6437.837,0.0471765198714892,11.42903450275411,38.772261427676625,Unidentified,UIL,37.256961600993726,0.0
1484,UIL,6454.8985,0.0249831072221702,3.7790119847997583,,Unidentified,UIL,18.628480800496863,0.0
1490,UIL,6462.9304,0.0563067976176332,25.13982693605317,,Unidentified,UIL,18.628480800496863,0.0
1498,UIL,6471.4864,0.0489981007083245,6.064345973255858,26.537384140374662,Unidentified,UIL,18.628480800496863,0.0
1512,UIL,6489.972,0.0247619397072777,9.178762551049791,86.84061407587517,Unidentified,UIL,37.256961600993726,0.0
1524,UIL,6505.4555,0.0552766707134095,28.980749746708465,-6.774083003992384,Unidentified,UIL,18.628480800496863,0.0
1547,UIL,6532.9823,0.0613800027937121,28.692221478285056,-1.0921557995149034,Unidentified,UIL,18.628480800496863,0.0
1561,[N II] 6548.05,6551.7575,3.032710222174691,41.20613174602241,12.071331217233071,Low,[N II],7.142955400455763,1.0
1573,H I 6562.79,6566.3804,344.04052955834663,243.16460766626275,4.2779967732304485,Medium,H I,1.343932039399113,10.0
1590,[N II] 6583.45,6587.1221,10.543130200135792,371.2404735982581,9.899165628559984,Low,[N II],0.17230454436392506,10.0
1603,UIL,6604.1168,0.0249734448199339,6.702800829875561,20.82857406156232,Unidentified,UIL,18.628480800496863,0.0
1616,UIL,6618.7711,0.0103048897494258,6.53488700364328,-47.696343959716025,Unidentified,UIL,37.256961600993726,0.0
1626,UIL,6632.5173,0.0739520801558214,10.245771827182349,63.076871620544,Unidentified,UIL,37.256961600993726,0.0
1632,UIL,6640.5436,0.0731596831694805,12.486120176589482,-36.64034329840179,Unidentified,UIL,18.628480800496863,0.0
1640,UIL,6649.4339,0.0438866309572623,18.46341463414661,-2.3669653711803305,Unidentified,UIL,18.628480800496863,0.0
1648,UIL,6659.6846,0.0371774021356161,14.324778587342465,2.7730121378942267,Unidentified,UIL,18.628480800496863,0.0
1657,[Ni II]  6666.80,6671.431,0.0330401576351681,19.210425997547212,25.638610984136648,Fe,[Ni II],16.914446316658967,0.0
1665,He I 6678.15,6681.7923,3.0724083789586194,40.80062923090996,4.370116541701976,Medium,He I,2.4071670719722795,1.0
1682,UIL,6703.0932,0.0341644291240235,20.750065167726724,-15.31735686894463,Unidentified,UIL,18.628480800496863,0.0
1696,[S II] 6716.44,6720.2441,17.76698753700845,242.04604570345435,7.963159430020391,Low,[S II],0.17230454436392506,10.0
1708,[S II] 6730.816,6734.6266,13.625734115503509,214.0009712273888,9.72686108419606,Low,[S II],0.17230454436392506,10.0
1744,UIL,6780.618,0.0686756484585398,19.59071910590998,1.9851834300604816,Unidentified,UIL,18.628480800496863,0.0
1756,None,6794.2967,0.0029924639131225,2.2940878276826826,-35.348087825131145,Unknown,Unknown,,0.0
1759,[K IV] 6795.1,6798.9564,0.0051326680679211,5.322645290581525,,High,[K IV],,0.0
1794,None,6841.8429,0.0139461869595992,2.666935929150171,2.799964463330124,Unknown,Unknown,,0.0
