Index,Type,ID,blend,wave0,wave,e_wave,d_wave,vel,d_vel,flux,s_n
7,"Fe, Ni",[Fe III] 4607.12+,True,4607.12,4608.7136,0.0706778191031598,1.1712,103.69802850128613,76.21180407925124,0.1103709090348863,17.685888102680803
35,High Perm,O II 4641.81+,True,4641.81,4641.7636,0.5244482484024906,0.2506,-2.996755586991451,16.1850635796812,0.0618133580232991,2.3834572883169987
42,High Perm,O II 4649.13+,True,4649.13,4652.347,0.0998230183418855,0.9671,207.4436157702394,62.36205185309939,0.157484122720742,12.52216192981517
49,"Fe, Ni",[Fe III] 4658.10,False,4658.1,,-0.2652486214569019,,,,-0.0915349984004398,-4.712559835878741
71,High Neb,He II  4685.68,False,4685.68,4688.0969,0.055718166513620916,0.6721,154.6346297100907,43.00133833761588,0.2314364630157585,22.434334763948556
83,"Fe, Ni",[Fe III] 4701.62,False,4701.62,,-1.9954391175222728,,,,-0.026089289836248,-0.6264285334609051
91,High Neb,[Ar IV] 4711.37+,True,4711.37,4714.1308,0.11950399548371168,1.0046,175.67438304493282,63.92440061103245,1.616600763872566,10.45990131911844
110,"Fe, Ni",[Fe III] 4734.00,False,4734.0,,-16.409065977119596,,,,-0.042378215980933,-0.07617740106249617
114,High Neb,[Ar IV] 4740.17,False,4740.17,4742.7564,0.06284802024436141,0.9768,163.57708971856323,61.77779973595883,1.457841344787178,19.889250212494122
126,"Fe, Ni",[Fe III] 4754.81,False,4754.81,,-0.7036632220455741,,,,-0.0334190852242681,-1.7764179807013438
138,"Fe, Ni",[Fe III] 4769.53,False,4769.53,,-0.3020435765510885,,,,-0.0447637583026661,-4.138475693716901
174,"Fe, Ni",[Fe II] 4814.534,False,4814.534,,-0.4311750652505755,,,,-0.0191444237826937,-2.899054469380246
211,Med Neb,H I 4861.32,False,4861.32,4863.9693,0.04547387016495006,0.9073,163.37952633840433,55.952230493651925,100.0,27.488313518638307
227,"Fe, Ni",[Fe III] 4881.073,False,4881.073,,1.7307943858702508,,,,0.0148049925284965,0.7222117255548496
260,Med Neb,He I 4921.93,False,4921.93,4924.6466,0.04813600078649651,0.9257,165.46683748097254,56.383954743484765,1.0271848891931152,25.96808998620965
268,"Fe, Ni",[Fe III] 4930.64,False,4930.64,4935.0699,0.14801620992112804,1.0668,269.346496538832,64.86350538558888,0.1009174537680995,8.445020992403975
289,Med Neb,[O III] 4958.91,False,4958.91,4961.5986,0.04625520747485233,0.8566,162.54015551379672,51.78602142866074,181.017074527913,27.023984287165725
311,"Fe, Ni",[Fe III] 4987.20+,True,4987.2,,-0.31307217512046287,,,,-0.0236528959979766,-3.9926895436141177
