Index,Type,ID,flux,wave,dwave_nn,dwave_mean,wn,dwn_nn,dwn_mean,mutual
3622,Low Neb?,[Cl II] 9123.60,0.0390760317719247,9126.4798,306.2314727272726,424.5680363636362,10957.127193773002,582.7467682866568,637.8883629067493,False
3187,Low Neb,[Cl II] 8578.69+,0.1405644926280316,8583.5752,542.9045999999998,623.8551499999994,11650.157151299843,693.0299575268418,867.6050529261365,False
2623,Low Neb??,[P II] 7875.99+,0.0068848710833488,7878.7695,544.3987999999999,624.6022499999995,12692.337299625275,942.0976219692911,992.1388851473612,False
2187,Low Neb,[O II] 7330.73+,2.7480241285475646,7334.3707,10.35490000000027,277.3768500000001,13634.434921594566,19.276748443062388,480.68718520617676,True
2179,Low Neb,[O II] 7319.99+,4.517104430938709,7324.0158,10.35490000000027,299.8608000000004,13653.711670037628,19.276748443062388,607.0743259863812,True
1708,Low Neb,[S II] 6730.816,17.27648932816945,6734.6491,14.385599999999613,301.87615000000005,14848.583573567328,31.785328634197867,613.3286160819489,True
1696,Low Neb,[S II] 6716.44,23.100524652044005,6720.2635,14.385599999999613,73.73784999999998,14880.368902201526,31.785328634197867,166.21736847858938,True
1590,Low Neb,[N II] 6583.45,13.462694957473122,6587.1734,35.3784999999998,84.23430000000008,15181.018310524507,81.97473585427906,191.31207208862998,True
1561,Low Neb,[N II] 6548.05,3.673463924677365,6551.7949,35.3784999999998,109.85165000000006,15262.993046378786,81.97473585427906,261.90306101183614,True
1414,Low Neb,[O I] 6363.78 ,0.9331243264607904,6367.4701,63.485999999999876,123.9054000000001,15704.82443254818,158.15973963588294,299.9955629026381,True
1363,Low Neb,[O I] 6300.30,2.6584622928117634,6303.9841,63.485999999999876,304.7682499999996,15862.984172184062,158.15973963588294,831.2586061890233,True
926,Low Neb,[N II] 5755.08,0.2578267197409611,5757.9336,306.2314727272726,426.140986363636,17367.341644926226,582.7467682866568,1043.5521205144103,False
