Index,Type,ID,zone-0,zone-I,zone-II,zone-III,zone-IV,zone-MYSO,zone-S
7,"Fe, Ni",[Fe III] 4607.12+,0.7783,0.7349,0.0233,0.8864,1.1712,0.4645,1.3284
35,High Perm,O II 4641.81+,1.6082,1.5151,0.1786,1.6513,0.2506,1.4555,1.2336
42,High Perm,O II 4649.13+,0.9254,1.2033,1.2266,1.2205,0.9671,1.1485,1.2115
49,"Fe, Ni",[Fe III] 4658.10,0.5761,2.0458,0.9641,1.0513,0.948,0.7893,1.0259
71,High Neb,He II  4685.68,1.261,0.8762,0.0374,1.3154,0.6721,1.1948,1.0036
83,"Fe, Ni",[Fe III] 4701.62,0.5942,0.0689,0.9025,0.3293,0.2978,0.9328,0.5892
91,High Neb,[Ar IV] 4711.37+,1.0531,1.117,0.8156,0.9333,1.0046,0.7093,1.4728
110,"Fe, Ni",[Fe III] 4734.00,0.4977,0.1606,1.7158,1.2387,1.4303,0.8733,2.3757
114,High Neb,[Ar IV] 4740.17,0.9112,0.9818,0.7813,0.9847,0.9768,0.8079,0.8525
126,"Fe, Ni",[Fe III] 4754.81,1.1149,0.2143,0.7007,0.0342,0.9254,1.0148,1.1155
138,"Fe, Ni",[Fe III] 4769.53,0.2889,0.2138,0.0179,1.1668,0.5375,0.9591,0.1914
174,"Fe, Ni",[Fe II] 4814.534,0.4143,0.0342,0.5329,1.0586,0.5799,0.8963,0.0325
211,Med Neb,H I 4861.32,0.9388,0.9248,0.9341,0.9207,0.9073,0.9665,0.8624
227,"Fe, Ni",[Fe III] 4881.073,0.6261,0.6323,1.1385,0.2226,0.0124,0.9739,1.8551
260,Med Neb,He I 4921.93,0.8901,0.7421,0.912,0.9824,0.9257,1.1881,1.1817
268,"Fe, Ni",[Fe III] 4930.64,1.3362,3.0357,0.8868,0.768,1.0668,0.8191,1.7448
289,Med Neb,[O III] 4958.91,0.8854,0.9255,0.8354,0.8339,0.8566,0.8878,0.7567
311,"Fe, Ni",[Fe III] 4987.20+,1.0225,2.1209,0.9949,0.9588,1.0882,1.107,1.1176
328,Med Neb,[O III] 5006.84,0.8163,0.6131,0.8694,0.9026,0.8499,0.7389,0.8466
335,Med Neb,He I 5015.68,0.9227,0.7184,0.9537,0.9783,0.8675,0.8787,0.2072
356,Med Perm,Si II 5041.03,1.2717,1.2546,1.166,0.7958,1.3102,0.7994,1.0469
360,Med Neb,He I 5047.74,0.8657,0.9338,0.7849,0.8502,0.657,0.8339,1.0763
367,Med Perm,Si II 5055.98,2.549,0.0191,0.0045,0.8954,2.0288,0.9949,1.6326
428,Stellar,O I 5131.14,0.331,0.8788,0.0876,0.4131,0.212,0.2118,0.1133
441,Neutral,O I 5146.61,1.3202,1.4286,0.956,0.2399,0.2396,0.2994,1.3438
449,"Fe, Ni",[Fe II] 5158.81,1.5853,0.1149,0.1199,0.0075,0.2951,1.0665,2.2442
475,Med Neb,[Ar  III] 5191.82,0.5044,0.1024,0.2978,0.8502,0.25,2.0256,0.0023
482,Neutral,[N I]  5199.00+,1.338,1.2203,1.464,1.3057,1.3368,0.9024,0.5022
498,Med Perm,Si II 5219.31 ,1.292,1.1529,0.1824,0.705,1.6778,0.9076,1.094
531,"Fe, Ni",[Fe II] 5261.61,0.4007,0.9856,0.779,0.0245,1.3741,0.8059,1.2519
539,"Fe, Ni",[Fe III] 5270.40+,0.9835,1.1443,0.8515,1.0194,0.1285,0.9065,0.3201
576,Stellar,None,0.0812,0.003,1.004,0.0764,0.2182,0.5956,0.6086
589,"Fe, Ni",[Fe II] 5333.646,1.6008,1.4536,1.5196,0.0104,1.6455,1.1352,1.6928
623,"Fe, Ni",[Fe II] 5376.452,1.5234,1.4708,1.3295,0.6074,0.111,1.0165,1.7276
652,High Neb,He II 5411.52+,1.0232,0.2734,1.2882,1.3523,1.1154,0.76,1.019
669,Stellar,O II 5433.49,0.233,0.9594,1.0258,0.1638,0.9901,0.5711,0.1247
737,Med Neb,[Cl III] 5517.71,0.8635,0.512,0.9015,0.939,0.8226,0.8507,0.8468
753,Med Neb,[Cl III]] 5537.88,0.9044,0.8135,0.9089,0.9376,0.8192,0.8686,0.9427
785,Low Neb,[O I] 5577.34,2.1795,2.1417,0.1425,2.0816,2.1728,0.1829,2.3141
914,High Perm,Si III 5739.73,0.8043,0.1948,1.3573,1.1724,0.9643,0.1474,1.5324
920,Stellar?,None,1.4427,1.4141,1.271,0.2279,0.9011,1.0953,1.2467
926,Low Neb,[N II] 5755.08,0.9077,0.0456,0.8695,0.7481,0.8647,0.976,0.7845
965,Stellar,None,0.9149,1.8945,0.231,0.0958,0.7419,0.5111,0.2695
1018,"Fe, Ni",Ni II 5867.99,2.0268,1.81,2.112,2.0109,2.0387,1.9226,1.9803
1023,Med Neb,He I 5875.62,0.9389,0.8926,0.9168,0.9173,0.9213,0.9606,0.8458
1089,Med Perm,Si II 5957.56,1.1576,1.1783,0.6808,0.0258,0.177,1.0033,1.6154
1106,Med Perm,Si II 5978.93,0.6533,0.9053,0.9491,1.0964,0.1424,0.8881,1.5033
1146,Deep Neutral?,UIL,0.7835,0.2247,0.6579,1.1807,1.5323,1.2732,0.8632
1153,Deep Neutral?,UIL,1.0875,0.2284,0.1187,0.5491,0.8906,1.2129,1.2791
1160,Neutral,O I 6046.23,0.7775,1.1022,1.2883,0.7829,0.0975,0.911,4.0395
1190,Neutral?,UIL,0.6836,1.6013,0.0198,0.2353,1.1687,0.9337,1.6793
1204,High Neb,[K IV] 6101.79,0.3914,0.0072,0.1779,0.2711,0.9795,0.8036,1.1791
1300,Deep Neutral,UIL,0.6372,0.6168,0.0894,0.5207,1.5004,0.8998,0.2437
1312,Deep Neutral?,UIL,0.0101,2.8055,0.0155,1.3275,1.1118,1.0678,1.0075
1322,"Fe, Ni",Fe II 6248.91,1.0578,1.3408,1.8173,0.2021,0.0301,0.9479,1.0093
1332,Deep Neutral?,UIL,0.8172,0.8841,0.6097,0.16,0.2168,0.9958,1.3651
1339,Deep Neutral,UIL+,1.0,1.0297,1.055,0.5874,0.8752,1.0474,1.0221
1363,Low Neb,[O I] 6300.30,0.862,0.0726,0.8802,1.0493,1.0356,0.9538,0.7492
1372,Med Neb,[S III] 6312.06,0.8244,0.6856,0.7609,0.8165,0.6801,0.8613,0.9066
1377,"Fe, Ni",Fe II 6317.99,1.3022,1.1762,0.1682,0.2485,0.0678,0.9277,0.0909
1401,Med Perm,Si II 6347.11,0.7642,0.9973,1.0748,1.4194,0.3185,0.7604,0.9845
1414,Low Neb,[O I] 6363.78 ,0.9001,0.2426,0.9256,0.9339,0.962,0.9775,0.8702
1420,Med Perm,Si II 6371.36 ,0.7416,0.5255,1.0396,3.1891,1.8349,0.9835,0.1575
1430,"Fe, Ni",Fe II 6383.73+,0.1377,0.0278,0.0717,1.3338,1.5298,1.0035,0.1359
1470,Deep Neutral?,UIL,1.2195,0.9621,1.7137,0.3285,0.6474,0.9575,1.2075
1484,Deep Neutral?,UIL,0.5318,0.1098,0.2373,0.0798,0.9796,0.1178,0.9676
1488,"Fe, Ni",Fe II 6455.8427,0.4964,0.2642,0.4697,6.0009,0.2364,1.0741,0.3151
1490,Deep Neutral?,UIL,1.6094,17.5139,2.158,157.3328,18.0782,2.3604,1.7416
1498,Deep Neutral?,UIL,1.5426,1.3076,1.7005,1.2108,1.0998,1.3372,1.4664
1512,Deep Neutral?,UIL,1.0979,2.0522,0.0425,1.5388,0.0263,0.0953,0.6291
1517,"Fe, Ni",Fe II 6493.04+,0.6752,1.0093,0.7675,0.9357,1.1011,0.889,0.9174
1524,Deep Neutral?,UIL,0.7259,0.0225,0.5353,0.0446,0.9538,0.1997,0.4614
1536,"Fe, Ni",Fe II 6517.03,2.5744,0.7063,1.6808,0.1022,0.3142,1.3553,1.7121
1547,Neutral?,UIL+,0.454,0.4791,0.5211,0.2888,0.324,0.9454,0.057
1561,Low Neb,[N II] 6548.05,0.7788,0.6517,0.7609,0.7762,0.5544,0.9509,0.7545
1573,Med Neb,H I 6562.79,0.9329,0.9076,0.9063,0.907,0.9149,0.9794,0.8607
1590,Low Neb,[N II] 6583.45,0.8812,0.898,0.9191,0.9489,0.6976,0.6966,0.9253
1616,Deep Neutral?,UIL,0.8771,1.1915,0.0939,0.1551,0.3196,0.6351,0.6519
1626,Deep Neutral?,UIL+,1.1484,0.7676,0.8027,0.7017,0.0606,1.9436,1.7179
