Index,Type,ID,flux,wave,wn,dwn,mutual
2913,High Neb,He II 8236.78,0.0068737585864701,8240.7918,12134.75627426966,287.36540771642285,True
2760,High Neb,[Cl IV] 8045.62+,0.2676648234884101,8050.1546,12422.121681986082,287.36540771642285,True
2348,High Neb,[Cl IV] 7530.8,0.1363859964557971,7534.5315,13272.225353361384,488.1104648821911,False
2134,High Neb,[Ar IV] 7262.7+,0.0743273573400108,7267.2645,13760.335818243575,178.1994229035372,True
2060,High Neb,[Ar IV] 7170.5,0.0708428819728275,7174.355,13938.535241147112,178.1994229035372,True
1759,High Neb,[K IV] 6795.1,0.02202259272728,6798.4896,14709.149514621597,770.6142734744844,False
1204,High Neb,[K IV] 6101.79,0.1026370593702136,6104.9698,16380.097408508063,1032.9863159318302,True
914,High Perm,Si III 5739.73,0.0652110488507728,5742.8082,17413.083724439894,1032.9863159318302,True
114,High Neb,[Ar IV] 4740.17,1.4406623177432871,4742.7564,21084.785210558144,128.03306762793727,False
91,High Neb,[Ar IV] 4711.37+,1.538814277307965,4714.1308,21212.81827818608,117.79884280388796,True
71,High Neb,He II  4685.68,0.2314364630157585,4688.0969,21330.61712098997,117.79884280388796,True
42,High Perm,O II 4649.13+,0.1560841297577007,4652.347,21494.527385854923,49.00835129463303,True
35,High Perm,O II 4641.81+,0.0573654448474073,4641.7636,21543.535737149556,49.00835129463303,True
