Index,Type,ID,zone-0,zone-I,zone-II,zone-III,zone-IV,zone-MYSO,zone-S
7,"Fe, Ni",[Fe III] 4607.12+,0.028772400689911153,0.04352205594870125,0.005330484255423527,0.00746316543507374,0.11037090903488632,0.0660748642530024,0.598223323471593
35,High Perm,O II 4641.81+,0.06908396596444258,0.21678749787609725,-0.02560939807696188,0.017964694663873154,0.061813358023299195,0.044443482015393714,0.5691930699454021
42,High Perm,O II 4649.13+,0.06719899336869997,0.21424929343607135,0.06518070942011701,0.0985654931896056,0.15748412272074208,-0.054638398231072825,-0.3860650763191496
49,"Fe, Ni",[Fe III] 4658.10,0.09631072641511475,0.13384177112956228,0.1555634963446746,0.07098943527419246,-0.09201177680559015,0.7662995647626919,0.2905079959376851
71,High Neb,He II  4685.68,-0.07777795925222483,0.07672052808934603,0.00903168622076177,-0.0240327461696748,0.22838717698064387,-0.12705941512740213,-5.164343416353218
83,"Fe, Ni",[Fe III] 4701.62,0.033351523039212724,-0.08355893210054735,0.06107925024478671,0.03665991540265122,-0.05773711712623519,0.25399185820950865,-0.1154086015441933
91,High Neb,[Ar IV] 4711.37+,0.5452362472884175,1.0649979822439015,0.2974193604742097,0.4420133909420527,1.616600763872566,0.10005519650365204,1.2409668488083
110,"Fe, Ni",[Fe III] 4734.00,-0.03683434085211799,-0.0802910909101776,0.037504100576255014,0.037638577412737614,-0.5746536773309759,0.06603648685024424,-0.7375524608661619
114,High Neb,[Ar IV] 4740.17,0.4219709720932324,0.7795470089045955,0.15039311497324787,0.27035711550269687,1.457841344787178,0.06908177458612788,0.4776357729369208
126,"Fe, Ni",[Fe III] 4754.81,0.034766650833642644,0.05833989165515225,0.05131297432098071,0.006817664960335905,-0.04736142572998146,0.17522428039961035,0.05633419072222219
138,"Fe, Ni",[Fe III] 4769.53,-0.002498381086345318,-0.022758456936256836,-0.0020271850459009084,0.015951843721142268,-0.044763758302666136,0.09149295298616286,-0.04224673482229047
174,"Fe, Ni",[Fe II] 4814.534,0.014117717601348318,0.0013350800112674542,0.046411000725666327,-0.007109181303765895,-0.019144423782693782,0.3488877436636418,-0.018469128137672052
211,Med Neb,H I 4861.32,100.0,100.0,100.0,100.0,100.0,100.0,100.0
227,"Fe, Ni",[Fe III] 4881.073,0.04952387941455548,0.056585658617091514,0.08668393941339576,0.017350428083074246,0.014804992528496508,0.43455468029492333,0.19214369741002302
260,Med Neb,He I 4921.93,0.8970772893952373,0.8140262264048863,0.9794717730257202,1.1755604774773953,1.0271848891931152,0.4169529253469207,-1.7427263850031574
268,"Fe, Ni",[Fe III] 4930.64,0.05298245920199619,0.29960126904012324,0.04065436026431008,0.055561626884692204,0.10091745376809956,0.05607877564522988,-0.27018302191338606
289,Med Neb,[O III] 4958.91,120.2761020601352,182.26415287659674,109.25834716987191,146.59952258646072,181.017074527913,45.11652204183264,124.08543590883129
311,"Fe, Ni",[Fe III] 4987.20+,0.15889330816456768,0.14901666311809642,0.306604086216439,0.16532273583507337,-0.023652895997976642,0.2329847211720831,0.3199357712061379
328,Med Neb,[O III] 5006.84,334.1803852026332,426.55564182690796,341.80322324305865,476.158287266521,546.8319701820304,116.39490362135868,407.1852322906018
335,Med Neb,He I 5015.68,1.9612701709780147,1.7508875759394673,2.273872982235714,2.446516207909595,1.6523325994316587,1.0210287590294476,0.3677567434929543
356,Med Perm,Si II 5041.03,0.07236355725614514,0.23801682247386752,0.08649793753345827,0.054317476776124925,0.09619500565270833,0.7329610333326361,0.24014779769046565
360,Med Neb,He I 5047.74,0.15013032972738632,0.19171593719938868,0.15731991916028676,0.1855484173768589,0.16082428652143338,0.17095173231595,-0.4903162698614313
367,Med Perm,Si II 5055.98,0.04928522808690458,0.016129629438452153,0.004374575859795456,0.020872917232853297,-0.05674640870873355,0.9820536486368485,-0.0866798392270212
428,Stellar,O I 5131.14,0.006754951250618722,0.03195653724644249,0.007548380089614765,-0.005196972908171554,0.012881349186522471,0.016741121277638937,0.018851017002429235
441,Neutral,O I 5146.61,0.022869509257546022,0.1163925858660202,-0.024742958940037914,0.011197350977105522,-0.010469840792301404,0.08494307349202405,0.12329203834298197
449,"Fe, Ni",[Fe II] 5158.81,0.03682315407113435,0.025669241844543438,0.00670077658610219,0.0011799471043594848,-0.029177753738774157,0.5333491382909459,-0.13706906996103504
475,Med Neb,[Ar  III] 5191.82,0.06228426758988932,0.04519866805587434,0.07475392010145626,0.07835195816212966,0.079881483028448,0.08397547301822808,0.022866433252917068
482,Neutral,[N I]  5199.00+,0.18785961305819518,0.7318644710603165,0.07514475949474261,-0.06071521938461525,-0.06179837971029162,0.5063387956135641,0.07414003820005281
498,Med Perm,Si II 5219.31 ,0.04239603546448222,0.15824579180063714,0.015125013629346614,0.005660275668265645,0.051587449757121304,0.07484328424275612,0.13058365906480776
531,"Fe, Ni",[Fe II] 5261.61,0.012879713839159295,-0.10026295642756806,0.015694791540041178,0.004967924352619418,-0.08683142026396709,0.4991634461085159,0.10943460906919054
539,"Fe, Ni",[Fe III] 5270.40+,0.04719702896995924,0.0369941356610505,0.1108665382594448,0.05418907076770933,0.023610100817954973,0.2280544497283868,0.025155533173245224
576,Stellar,None,-0.004957608439247911,-0.028766316986960378,0.004438146122558899,-0.00190700274660452,0.010131758870130216,0.13230078849558474,-0.057971176323783694
589,"Fe, Ni",[Fe II] 5333.646,0.047223131458921055,0.13821182953853656,0.02053554932676855,-0.0033038518922065573,0.047222341394911035,0.1890564762022297,0.12735658649419881
