Index,Type,ID,blend,wave0,wave,e_wave,d_wave,vel,d_vel,flux,s_n
7,"Fe, Ni",[Fe III] 4607.12+,True,4607.12,,4.526214309644372,,,,0.0053304842554235,0.27616898239584536
35,High Perm,O II 4641.81+,True,4641.81,,-1.399201127819544,,,,-0.0129700829190566,-0.8933669185558385
42,High Perm,O II 4649.13+,True,4649.13,4651.7438,0.4343011838566003,1.2266,168.54713176883092,79.0955359352825,0.065180709420117,2.878186950585728
49,"Fe, Ni",[Fe III] 4658.10,False,4658.1,4660.7091,0.04740769103530416,0.9641,167.92007517393387,62.04888447173739,0.1555634963446746,26.367029751968605
71,High Neb,He II  4685.68,False,4685.68,,2.792497380429513,,,,0.0090316862207617,0.4476279937665467
83,"Fe, Ni",[Fe III] 4701.62,False,4701.62,4704.7427,0.3792934134978719,0.9025,199.11475376499345,57.54669525503975,0.0610792502447867,3.2956016516933624
91,High Neb,[Ar IV] 4711.37+,True,4711.37,4715.3162,0.7523224526143494,0.8156,251.10339407851538,51.89801029101939,0.2974193604742097,1.6615215931097125
110,"Fe, Ni",[Fe III] 4734.00,False,4734.0,,1.3188872090873338,,,,0.037504100576255,0.9477686881693215
114,High Neb,[Ar IV] 4740.17,False,4740.17,4742.6751,0.056940394818602684,0.7813,158.43526424914998,49.4133854767656,0.1530152846332237,21.952780692550085
126,"Fe, Ni",[Fe III] 4754.81,False,4754.81,4757.7037,0.13585071451694877,0.7007,182.4488119850189,44.17938368107242,0.052716560706534,9.201276595744734
138,"Fe, Ni",[Fe III] 4769.53,False,4769.53,,1.3998845736013068,,,,0.0179533253037467,0.8929307627015864
174,"Fe, Ni",[Fe II] 4814.534,False,4814.534,4816.8004,0.24211112799473197,0.5329,141.12469177937658,33.18273396100225,0.0481331479456644,5.162918410041848
211,Med Neb,H I 4861.32,False,4861.32,4863.9622,0.04529734414878967,0.9341,162.9416768547779,57.6049581220327,100.0,27.595436851531165
227,"Fe, Ni",[Fe III] 4881.073,False,4881.073,4883.6821,0.1744452921144734,1.1385,160.24929399082976,69.92595960621773,0.0866839394133957,7.165570276208617
260,Med Neb,He I 4921.93,False,4921.93,4924.6316,0.043807080452483216,0.912,164.55319448521718,55.549494140713094,0.984497557150708,28.534200113058287
268,"Fe, Ni",[Fe III] 4930.64,False,4930.64,4934.4644,0.22225866405896716,0.8868,232.53092425629413,53.91915689533204,0.04065436026431,5.624077717250942
289,Med Neb,[O III] 4958.91,False,4958.91,4961.6355,0.03969934880488059,0.8354,164.7709565769775,50.504368785317745,109.88463428181616,31.486662568286928
311,"Fe, Ni",[Fe III] 4987.20+,True,4987.2,4988.5418,0.05528332800484363,0.9949,80.65879053265249,59.805806156600894,0.306604086216439,22.610795064480953
328,Med Neb,[O III] 5006.84,False,5006.84,5009.5768,0.03318748855549026,0.8694,163.87022534259188,52.05669903276317,345.06322196217315,37.66479641597377
335,Med Neb,He I 5015.68,False,5015.68,5018.4746,0.06738742139585975,0.9537,167.0361751799515,57.00364999254338,2.273872982235714,18.54945587926591
356,Med Perm,Si II 5041.03,False,5041.03,5043.8163,0.39202473428233686,1.166,165.70258969409016,69.3425760267247,0.0864979375334582,3.1885743186289566
360,Med Neb,He I 5047.74,False,5047.74,5050.4135,0.10131158447000584,0.7849,158.7829675187238,46.61632736317639,0.1573199191602867,12.338174420419545
367,Med Perm,Si II 5055.98,False,5055.98,5056.8789,0.897387496224704,0.0045,53.299941949185296,0.26682583020502454,0.0080721700272549,1.3929322675641589
428,Stellar,O I 5131.14,False,5131.14,,1.396490336797606,,,,0.0075483800896147,0.8951010737864942
441,Neutral,O I 5146.61,False,5146.61,,-0.1050602742182487,,,,-0.0247429589400379,-11.897932013800876
449,"Fe, Ni",[Fe II] 5158.81,False,5158.81,,1.5176520113014287,,,,0.0067007765861021,0.8236407230983671
475,Med Neb,[Ar  III] 5191.82,False,5191.82,5194.3416,0.1649426773292714,0.2978,145.60532955549508,17.195933987002633,0.0747539201014562,7.578390385313395
482,Neutral,[N I]  5199.00+,True,5199.0,5202.7112,0.3157597967753054,1.464,214.00072516436245,84.41934189497981,0.0751447594947426,3.9587053601047875
498,Med Perm,Si II 5219.31 ,False,,5222.9025,0.5393786224887971,0.1824,,,0.0151250136293466,2.317481538723687
531,"Fe, Ni",[Fe II] 5261.61,False,5261.61,5263.6876,0.2691290938463745,0.779,118.37608844839485,44.38533543573165,0.0166002433450858,4.644611186903229
539,"Fe, Ni",[Fe III] 5270.40+,True,5270.4,5273.4103,0.07897257012076857,0.8515,171.2327785969518,48.43527587792198,0.1108665382594448,15.828280605385405
576,Stellar,None,False,,5319.8849,0.582673267326737,1.004,,,0.0061559134155296,2.14528462192012
589,"Fe, Ni",[Fe II] 5333.646,False,5333.646,5335.7668,0.624320104736108,1.5196,119.20548250232201,85.41335873749402,0.0205355493267685,2.0021780341806528
623,"Fe, Ni",[Fe II] 5376.452,False,5376.452,5379.7177,0.56906223950798,1.3295,182.09633975911572,74.13328955805798,0.0302947618880452,2.1965962828262326
652,High Neb,He II 5411.52+,True,5411.52,,-0.2633143914364986,,,,-0.0368964727250005,-4.747176913425381
669,Stellar,O II 5433.49,False,5433.49,5436.7992,0.6077944030824521,1.0258,182.5848951620009,56.598448403585905,0.0114920908351246,2.0566165033119392
737,Med Neb,[Cl III] 5517.71,False,5517.71,5520.7862,0.04981652966052321,0.9015,167.13846129996958,48.9809904628913,0.3868650746365506,25.092073023114544
753,Med Neb,[Cl III]] 5537.88,False,5537.88,5540.9652,0.03979624323463824,0.9089,167.01692550605276,49.20319058488085,0.2909930746339773,31.41000000000032
785,Low Neb,[O I] 5577.34,False,5577.34,,-1.15565056140286,,,,-0.2635998694312479,-1.0816418403177237
914,High Perm,Si III 5739.73,False,5739.73,5741.7893,0.2714620365337544,1.3573,107.55952087635497,70.89328300170914,0.0177149132234128,4.604695433516249
920,Stellar?,None,False,,5750.121,0.24889940774281571,1.271,,,0.0345398427681374,5.02210917790374
926,Low Neb,[N II] 5755.08,False,5755.08,5757.9336,0.08257154385719909,0.8695,148.64915138432667,45.29381732851672,0.2628159474433088,15.138387168366084
965,Stellar,None,False,,5806.0055,0.5693493150684689,0.231,,,0.0042713506154487,2.195488721804605
1018,"Fe, Ni",Ni II 5867.99,False,5867.99,5870.3355,0.7124113869521829,2.112,119.83033547076712,107.90094585982594,0.4566016528880477,1.754604183613225
1023,Med Neb,He I 5875.62,False,5875.62,5878.9655,0.04318396609345509,0.9168,170.69784435329493,46.77799542761444,12.988575039158317,28.945928618387104
1089,Med Perm,Si II 5957.56,False,5957.56,5961.0359,0.18087345435411462,0.6808,174.91197818604206,34.258774633641956,0.0185335658553887,6.910909090909195
1106,Med Perm,Si II 5978.93,False,5978.93,5982.3261,0.07044858430291118,0.9491,170.28551373134988,47.589288031102555,0.0362504065645588,17.743436754176845
1146,Deep Neutral?,UIL,False,,,-1.2752525252525164,,,,-0.0098957831895584,-0.9801980198019871
1153,Deep Neutral?,UIL,False,,,7.787729637069131,,,,0.0014079635975014,0.16050891058801967
1160,Neutral,O I 6046.23,False,6046.23,6048.794,0.6690155666186821,1.2883,127.131760173214,63.878255316354156,0.0190451798330922,1.8684169134026454
1190,Neutral?,UIL,False,,,2.7377036805213604,,,,0.0034563387309901,0.45658703273611906
1204,High Neb,[K IV] 6101.79,False,6101.79,6104.372,0.46814572405106825,0.1779,126.85853275122551,8.740562732935745,0.0115156353768889,2.6701087626801483
1300,Deep Neutral,UIL,False,,,1.304504029671896,,,,0.0075012910060862,0.9582185808305976
1312,Deep Neutral?,UIL,False,,,2.1711180492482134,,,,0.0043204234137377,0.5757402276826145
1322,"Fe, Ni",Fe II 6248.91,False,6248.91,6249.3358,0.9218909161954076,1.8173,20.4278231909876,87.1852585368328,0.0125186328560454,1.355908793589897
1332,Deep Neutral?,UIL,False,,6264.887,0.25069767441860247,0.6097,,,0.0131041721221671,4.986085343228243
1339,Deep Neutral,UIL+,True,,6274.7437,0.5581986804455241,1.055,,,0.0454339022424504,2.2393460317790743
1363,Low Neb,[O I] 6300.30,False,6300.3,6303.9841,0.04426677818189822,0.8802,175.30361959234432,41.88329468939574,2.6584622928117634,28.237880671224364
1372,Med Neb,[S III] 6312.06,False,6312.06,6315.5983,0.08827604880398394,0.7609,168.0522134043682,36.13908633507919,1.8859813655782427,14.160126296268789
1377,"Fe, Ni",Fe II 6317.99,False,6317.99,,-1.490287635412774,,,,-0.0652648721321702,-0.8387642561724534
1401,Med Perm,Si II 6347.11,False,6347.11,6351.076,0.07273990088601627,1.0748,187.32571019378972,50.76592872321419,0.0324690910368413,17.184516129032886
1414,Low Neb,[O I] 6363.78 ,False,,6367.4701,0.043580043057500475,0.9256,,,0.9331243264607904,28.682853717026443
