,#H2 line,Vhi,Jhi,Vlo,Jlo,wl(mic),wl(lab),log L or I,I/Inorm,"Excit(hi, K)",g_u h nu * Aul,wav_air
825,3-0 S(8),3,10,0,8,0.7778332, 7778A,30.035,0.0003269,24321.69,6.132e-18,7778.3319999999985
1148,7-3 S(9),7,11,3,9,0.7779791, 7780A,30.321,0.000632,41557.792,8.648e-17,7779.790999999999
803,3-0 S(7),3,9,0,7,0.7782226, 7782A,30.063,0.0003484,23069.105,1.591e-17,7782.225999999999
842,3-0 S(9),3,11,0,9,0.7790958, 7791A,29.539,0.0001044,25658.904,2.044e-17,7790.957999999999
770,3-0 S(6),3,8,0,6,0.7801782, 7802A,29.813,0.000196,21910.875,4.393e-18,7801.781999999999
764,3-0 S(5),3,7,0,5,0.7837753, 7838A,30.14,0.0004161,20855.734,1.039e-17,7837.752999999998
1013,7-3 S(0),7,2,3,0,0.7847646, 7848A,29.864,0.0002206,35281.012,1.061e-18,7847.645999999999
1178,7-3 S(10),7,12,3,10,0.7866956, 7867A,29.684,0.0001457,42605.524,3.036e-17,7866.955999999999
753,3-0 S(4),3,6,0,4,0.789024, 7890A,29.6,0.0001201,19911.493,2.577e-18,7890.239999999998
912,3-0 S(12),3,14,0,12,0.7921978, 7922A,29.764,0.000175,30096.696,7.562e-18,7921.977999999998
1190,7-3 S(11),7,13,3,11,0.7975857, 7976A,29.772,0.0001785,43693.095,9.221e-17,7975.856999999998
1014,7-3 Q(2),7,2,3,2,0.8038398, 8038A,29.762,0.0001741,35281.012,8.377e-19,8038.397999999998
736,3-0 S(2),3,4,0,2,0.8046446, 8046A,30.043,0.0003331,18385.814,1.13e-18,8046.445999999999
1200,7-3 S(12),7,14,3,12,0.8108393, 8108A,29.785,0.0001837,44812.564,2.99e-17,8108.392999999999
724,3-0 S(1),3,3,0,1,0.8150616, 8151A,29.586,0.0001162,17818.015,1.864e-18,8150.615999999999
999,7-3 O(2),7,0,3,2,0.8192286, 8192A,29.716,0.0001568,34944.885,2.593e-19,8192.285999999998
1142,8-4 S(5),8,7,4,5,0.8266522, 8267A,29.795,0.000188,41354.968,6.311e-17,8266.521999999997
878,4-1 S(7),4,9,1,7,0.8283421, 8283A,30.261,0.0005498,27705.708,4.525e-17,8283.420999999998
898,4-1 S(8),4,10,1,8,0.8285007, 8285A,30.306,0.0006094,28882.656,1.714e-17,8285.006999999998
1128,8-4 S(3),8,5,4,3,0.8287225, 8287A,29.726,0.0001604,40115.576,3.388e-17,8287.224999999999
849,4-1 S(6),4,8,1,6,0.830007, 8300A,29.916,0.0002485,26616.021,1.27e-17,8300.07
917,4-1 S(9),4,11,1,9,0.8303917, 8304A,30.357,0.0006854,30138.752,5.613e-17,8303.916999999998
1120,8-4 S(2),8,4,4,2,0.8329142, 8329A,29.662,0.0001384,39621.673,7.239e-18,8329.142
1181,8-4 S(7),8,9,4,7,0.8332904, 8333A,29.913,0.0002465,42884.301,9.136e-17,8332.903999999999
839,4-1 S(5),4,7,1,5,0.8334648, 8335A,29.701,0.0001515,25622.834,3.054e-17,8334.648
947,4-1 S(10),4,12,1,10,0.834099, 8341A,29.676,0.0001431,31465.304,1.967e-17,8340.989999999998
831,4-1 S(4),4,6,1,4,0.8387661, 8388A,29.671,0.0001413,24733.094,7.706e-18,8387.660999999998
1103,8-4 S(1),8,3,4,1,0.8391766, 8392A,29.586,0.0001162,39219.592,1.206e-17,8391.766
978,4-1 S(11),4,13,1,11,0.8395768, 8396A,29.73,0.0001617,32853.911,5.983e-17,8395.767999999998
821,4-1 S(3),4,5,1,3,0.8459294, 8459A,29.636,0.0001305,23954.888,1.632e-17,8459.294
994,4-1 S(12),4,14,1,12,0.8468573, 8469A,30.09,0.000371,34295.493,1.951e-17,8468.572999999999
1095,8-4 S(0),8,2,4,0,0.8475172, 8475A,29.885,0.0002312,38913.651,1.685e-18,8475.171999999999
